Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node value,Bond strength
Australia,1900,Executive,6.5,6.0,-4,5.5,18.8,10.8
Australia,1900,Army,5.0,4.5,-5,4.0,14.0,8.4
Australia,1900,Priests,7.0,6.0,-3,6.0,19.0,11.4
Australia,1900,Property Owners,7.5,7.0,-2,6.5,20.3,12.2
Australia,1900,Trades/Professions,6.0,5.5,-3,5.0,16.5,9.9
Australia,1900,Proletariat,5.5,6.0,-2,4.5,17.8,10.6
Australia,1900,State Memory,4.0,3.5,-4,3.0,10.5,6.3
Australia,1900,Shopkeepers/Merchants,6.5,6.0,-2,5.5,18.8,11.3
Australia,1901,Executive,7.0,6.5,-3,6.0,20.3,11.7
Australia,1901,Army,5.5,5.0,-4,4.5,16.0,9.5
Australia,1901,Priests,7.5,6.5,-2,6.5,21.3,12.7
Australia,1901,Property Owners,8.0,7.5,-1,7.0,22.5,13.5
Australia,1901,Trades/Professions,6.5,6.0,-2,5.5,18.8,11.3
Australia,1901,Proletariat,6.0,6.5,-1,5.0,19.5,11.7
Australia,1901,State Memory,4.5,4.0,-3,3.5,12.8,7.6
Australia,1901,Shopkeepers/Merchants,7.0,6.5,-1,6.0,20.3,12.2
Australia,1902,Executive,7.5,7.0,-2,6.5,21.8,12.7
Australia,1902,Army,6.0,5.5,-3,5.0,17.5,10.5
Australia,1902,Priests,8.0,7.0,-1,7.0,23.0,13.8
Australia,1902,Property Owners,8.5,8.0,0,7.5,24.0,14.4
Australia,1902,Trades/Professions,7.0,6.5,-1,6.0,20.3,12.2
Australia,1902,Proletariat,6.5,7.0,0,5.5,19.5,11.7
Australia,1902,State Memory,5.0,4.5,-2,4.0,14.0,8.4
Australia,1902,Shopkeepers/Merchants,7.5,7.0,0,6.5,21.0,12.6
Australia,1903,Executive,8.0,7.5,-1,7.0,23.3,13.5
Australia,1903,Army,6.5,6.0,-2,5.5,18.8,11.3
Australia,1903,Priests,8.5,7.5,0,7.5,23.5,14.1
Australia,1903,Property Owners,9.0,8.5,1,8.0,25.5,15.3
Australia,1903,Trades/Professions,7.5,7.0,0,6.5,21.0,12.6
Australia,1903,Proletariat,7.0,7.5,1,6.0,20.0,12.0
Australia,1903,State Memory,5.5,5.0,-1,4.5,15.3,9.1
Australia,1903,Shopkeepers/Merchants,8.0,7.5,1,7.0,22.5,13.5
Australia,1904,Executive,7.5,7.0,-1,6.5,21.8,12.7
Australia,1904,Army,6.0,5.5,-2,5.0,17.5,10.5
Australia,1904,Priests,8.0,7.0,0,7.0,22.0,13.2
Australia,1904,Property Owners,8.5,8.0,0,7.5,24.0,14.4
Australia,1904,Trades/Professions,7.0,6.5,0,6.0,19.5,11.7
Australia,1904,Proletariat,6.5,7.0,0,5.5,19.0,11.4
Australia,1904,State Memory,5.0,4.5,-1,4.0,13.5,8.1
Australia,1904,Shopkeepers/Merchants,7.5,7.0,0,6.5,21.0,12.6
Australia,1905,Executive,7.0,6.5,-1,6.0,20.3,11.7
