Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Hong Kong,1900,Executive,6,7,6,5,9.5,2.89
Hong Kong,1900,Army,7,7,5,4,10,2.95
Hong Kong,1900,Priesthood / Knowledge Workers,5,6,4,6,8,2.71
Hong Kong,1900,Property Owners,6,7,5,5,10.5,2.92
Hong Kong,1900,Trades / Professions,6,7,6,5,9.5,2.90
Hong Kong,1900,Proletariat,4,5,7,4,6,2.55
Hong Kong,1900,State Memory,6,6,4,7,10,2.98
Hong Kong,1900,Merchants / Shopkeepers,7,8,5,6,12,3.05
Hong Kong,1901,Executive,6,7,5,5,10,2.96
Hong Kong,1901,Army,7,7,4,4,11,3.03
Hong Kong,1901,Priesthood / Knowledge Workers,5,6,4,6,8,2.78
Hong Kong,1901,Property Owners,6,7,4,5,11,2.99
Hong Kong,1901,Trades / Professions,6,7,5,5,10,2.97
Hong Kong,1901,Proletariat,4,5,6,4,7,2.62
Hong Kong,1901,State Memory,6,6,4,7,10.5,3.05
Hong Kong,1901,Merchants / Shopkeepers,7,8,4,6,12.5,3.12
Hong Kong,1902,Executive,7,8,4,5,11.5,3.12
Hong Kong,1902,Army,7,7,3,4,12,3.19
Hong Kong,1902,Priesthood / Knowledge Workers,5,6,3,6,9,2.94
Hong Kong,1902,Property Owners,7,8,3,5,12.5,3.15
Hong Kong,1902,Trades / Professions,7,8,4,5,11.5,3.13
Hong Kong,1902,Proletariat,5,6,5,4,8,2.78
Hong Kong,1902,State Memory,7,7,3,7,12,3.21
Hong Kong,1902,Merchants / Shopkeepers,8,9,3,6,14,3.28
Hong Kong,1903,Executive,7,8,3,5,12,3.15
Hong Kong,1903,Army,7,7,3,4,12,3.22
Hong Kong,1903,Priesthood / Knowledge Workers,5,6,3,6,9,2.97
Hong Kong,1903,Property Owners,7,8,3,5,12.5,3.18
Hong Kong,1903,Trades / Professions,7,8,3,5,12,3.16
Hong Kong,1903,Proletariat,5,6,4,4,8.5,2.81
Hong Kong,1903,State Memory,7,7,3,7,12,3.24
Hong Kong,1903,Merchants / Shopkeepers,8,9,3,6,14,3.31
Hong Kong,1904,Executive,7,8,4,5,11.5,3.09
Hong Kong,1904,Army,7,7,4,4,11,3.16
Hong Kong,1904,Priesthood / Knowledge Workers,5,6,3,6,9,2.91
Hong Kong,1904,Property Owners,7,8,4,5,11.5,3.12
Hong Kong,1904,Trades / Professions,7,8,4,5,11.5,3.10
Hong Kong,1904,Proletariat,5,6,5,4,8,2.75
Hong Kong,1904,State Memory,7,7,3,7,12,3.18
Hong Kong,1904,Merchants / Shopkeepers,8,9,4,6,13.5,3.25
Hong Kong,1905,Executive,7,8,4,5,11.5,3.09
Hong Kong,1905,Army,7,7,4,4,11,3.16
Hong Kong,1905,Priesthood / Knowledge Workers,5,6,3,6,9,2.91
Hong Kong,1905,Property Owners,7,8,4,5,11.5,3.12
Hong Kong,1905,Trades / Professions,7,8,4,5,11.5,3.10
Hong Kong,1905,Proletariat,5,6,5,4,8,2.75
Hong Kong,1905,State Memory,7,7,3,7,12,3.18
Hong Kong,1905,Merchants / Shopkeepers,8,9,4,6,13.5,3.25
Hong Kong,1905,Executive,7,8,4,5,11.5,3.09
Hong Kong,1905,Army,7,7,4,4,11,3.16
Hong Kong,1905,Priesthood / Knowledge Workers,5,6,3,6,9,2.91
Hong Kong,1905,Property Owners,7,8,4,5,11.5,3.12
Hong Kong,1905,Trades / Professions,7,8,4,5,11.5,3.10
Hong Kong,1905,Proletariat,5,6,5,4,8,2.75
Hong Kong,1905,State Memory,7,7,3,7,12,3.18
Hong Kong,1905,Merchants / Shopkeepers,8,9,4,6,13.5,3.25
Hong Kong,1906,Executive,7,8,4,5,11.5,3.09
Hong Kong,1906,Army,7,7,4,4,11,3.16
Hong Kong,1906,Priesthood / Knowledge Workers,5,6,3,6,9,2.91
Hong Kong,1906,Property Owners,7,8,4,5,11.5,3.12
Hong Kong,1906,Trades / Professions,7,8,4,5,11.5,3.10
Hong Kong,1906,Proletariat,5,6,5,4,8,2.75
Hong Kong,1906,State Memory,7,7,3,7,12,3.18
Hong Kong,1906,Merchants / Shopkeepers,8,9,4,6,13.5,3.25
Hong Kong,1907,Executive,7,8,4,5,11.5,3.09
Hong Kong,1907,Army,7,7,4,4,11,3.16
Hong Kong,1907,Priesthood / Knowledge Workers,5,6,3,6,9,2.91
Hong Kong,1907,Property Owners,7,8,4,5,11.5,3.12
Hong Kong,1907,Trades / Professions,7,8,4,5,11.5,3.10
Hong Kong,1907,Proletariat,5,6,5,4,8,2.75
Hong Kong,1907,State Memory,7,7,3,7,12,3.18
Hong Kong,1907,Merchants / Shopkeepers,8,9,4,6,13.5,3.25
Hong Kong,1908,Executive,7,8,3,5,12,3.15
Hong Kong,1908,Army,7,7,3,4,12,3.22
Hong Kong,1908,Priesthood / Knowledge Workers,5,6,3,6,9,2.97
Hong Kong,1908,Property Owners,7,8,3,5,12.5,3.18
Hong Kong,1908,Trades / Professions,7,8,3,5,12,3.16
Hong Kong,1908,Proletariat,5,6,4,4,8.5,2.81
Hong Kong,1908,State Memory,7,7,3,7,12,3.24
Hong Kong,1908,Merchants / Shopkeepers,8,9,3,6,14,3.31
Hong Kong,1909,Executive,7,8,3,5,12,3.15
Hong Kong,1909,Army,7,7,3,4,12,3.22
Hong Kong,1909,Priesthood / Knowledge Workers,5,6,3,6,9,2.97
Hong Kong,1909,Property Owners,7,8,3,5,12.5,3.18
Hong Kong,1909,Trades / Professions,7,8,3,5,12,3.16
Hong Kong,1909,Proletariat,5,6,4,4,8.5,2.81
Hong Kong,1909,State Memory,7,7,3,7,12,3.24
Hong Kong,1909,Merchants / Shopkeepers,8,9,3,6,14,3.31
Hong Kong,1910,Executive,7,8,4,6,12.5,3.15
Hong Kong,1910,Army,7,7,4,5,11.5,3.18
Hong Kong,1910,Priesthood / Knowledge Workers,6,7,4,7,10.5,3.03
Hong Kong,1910,Property Owners,7,8,4,6,12.5,3.18
Hong Kong,1910,Trades / Professions,7,8,4,6,12.5,3.18
Hong Kong,1910,Proletariat,5,6,5,5,8.5,2.81
Hong Kong,1910,State Memory,7,7,4,8,12.5,3.24
Hong Kong,1910,Merchants / Shopkeepers,8,9,4,7,13.5,3.25
Hong Kong,1911,Executive,6,7,5,6,10.5,2.99
Hong Kong,1911,Army,6,6,5,5,9.5,3.02
Hong Kong,1911,Priesthood / Knowledge Workers,5,6,5,7,9.5,2.87
Hong Kong,1911,Property Owners,6,7,5,6,10.5,3.02
Hong Kong,1911,Trades / Professions,6,7,5,6,10.5,3.02
Hong Kong,1911,Proletariat,4,5,6,5,7,2.65
Hong Kong,1911,State Memory,6,6,5,8,10.5,3.08
Hong Kong,1911,Merchants / Shopkeepers,7,8,5,7,11.5,3.09
Hong Kong,1912,Executive,6,7,5,6,10.5,2.99
Hong Kong,1912,Army,6,6,5,5,9.5,3.02
Hong Kong,1912,Priesthood / Knowledge Workers,5,6,5,7,9.5,2.87
Hong Kong,1912,Property Owners,6,7,5,6,10.5,3.02
Hong Kong,1912,Trades / Professions,6,7,5,6,10.5,3.02
Hong Kong,1912,Proletariat,4,5,6,5,7,2.65
