Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node value,Bond strength
Iran,1900,Executive,4,5,-2,3,11.5,
Iran,1900,Army,5,4,-3,2,12.0,
Iran,1900,Priests,7,6,-4,4,17.0,
Iran,1900,Property Owners,6,7,-1,5,17.5,
Iran,1900,Trades/Professions,5,6,-2,4,15.0,
Iran,1900,Proletariat,3,4,2,1,6.5,
Iran,1900,State Memory,6,5,-3,3,14.5,
Iran,1900,Shopkeepers/Merchants,4,5,-1,2,11.0,
Iran,1901,Executive,4,5,-2,3,11.5,
Iran,1901,Army,5,4,-3,2,12.0,
Iran,1901,Priests,7,6,-4,4,17.0,
Iran,1901,Property Owners,6,7,-1,5,17.5,
Iran,1901,Trades/Professions,5,6,-2,4,15.0,
Iran,1901,Proletariat,3,4,2,1,6.5,
Iran,1901,State Memory,6,5,-3,3,14.5,
Iran,1901,Shopkeepers/Merchants,4,5,-1,2,11.0,
Iran,1902,Executive,4,5,-2,3,11.5,
Iran,1902,Army,5,4,-3,2,12.0,
Iran,1902,Priests,7,6,-4,4,17.0,
Iran,1902,Property Owners,6,7,-1,5,17.5,
Iran,1902,Trades/Professions,5,6,-2,4,15.0,
Iran,1902,Proletariat,3,4,2,1,6.5,
Iran,1902,State Memory,6,5,-3,3,14.5,
Iran,1902,Shopkeepers/Merchants,4,5,-1,2,11.0,
Iran,1903,Executive,4,5,-2,3,11.5,
Iran,1903,Army,5,4,-3,2,12.0,
Iran,1903,Priests,7,6,-4,4,17.0,
Iran,1903,Property Owners,6,7,-1,5,17.5,
Iran,1903,Trades/Professions,5,6,-2,4,15.0,
Iran,1903,Proletariat,3,4,2,1,6.5,
Iran,1903,State Memory,6,5,-3,3,14.5,
Iran,1903,Shopkeepers/Merchants,4,5,-1,2,11.0,
Iran,1904,Executive,4,5,-2,3,11.5,
Iran,1904,Army,5,4,-3,2,12.0,
Iran,1904,Priests,7,6,-4,4,17.0,
Iran,1904,Property Owners,6,7,-1,5,17.5,
Iran,1904,Trades/Professions,5,6,-2,4,15.0,
Iran,1904,Proletariat,3,4,2,1,6.5,
Iran,1904,State Memory,6,5,-3,3,14.5,
Iran,1904,Shopkeepers/Merchants,4,5,-1,2,11.0,
Iran,1905,Executive,6,6,-4,5,16.5,
Iran,1905,Army,6,5,-5,3,15.5,
Iran,1905,Priests,8,6,-6,5,20.0,
Iran,1905,Property Owners,5,6,-3,4,15.0,
Iran,1905,Trades/Professions,6,6,-4,5,17.0,
Iran,1905,Proletariat,4,5,0,2,11.0,
Iran,1905,State Memory,7,6,-5,4,18.0,
Iran,1905,Shopkeepers/Merchants,5,6,-3,3,14.0,
Iran,1906,Executive,7,7,-5,6,19.0,
Iran,1906,Army,7,6,-6,4,18.0,
Iran,1906,Priests,9,7,-7,6,22.5,
Iran,1906,Property Owners,4,5,-2,3,13.5,
Iran,1906,Trades/Professions,7,7,-5,6,19.0,
Iran,1906,Proletariat,5,6,-1,3,15.5,
Iran,1906,State Memory,8,7,-6,5,20.5,
Iran,1906,Shopkeepers/Merchants,6,7,-4,4,17.0,
Iran,1907,Executive,6,6,-3,5,17.5,
Iran,1907,Army,6,5,-4,3,16.5,
Iran,1907,Priests,7,6,-5,5,18.0,
Iran,1907,Property Owners,5,6,-1,4,16.0,
Iran,1907,Trades/Professions,6,6,-3,5,17.5,
Iran,1907,Proletariat,4,5,1,2,11.0,
Iran,1907,State Memory,7,6,-4,4,18.0,
Iran,1907,Shopkeepers/Merchants,5,6,-2,3,14.5,
Iran,1908,Executive,5,5,-2,4,15.0,
Iran,1908,Army,5,4,-3,2,13.0,
Iran,1908,Priests,6,5,-4,4,15.0,
Iran,1908,Property Owners,6,7,0,5,15.5,
Iran,1908,Trades/Professions,5,5,-2,4,14.0,
