Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Iraq,1900,Army,3,3,5,2,2.0,2.43
Iraq,1900,Executive,4,4,5,3,4.5,2.57
Iraq,1900,Merchants / Shopkeepers,4,4,5,3,4.5,2.54
Iraq,1900,Priesthood / Knowledge Workers,5,4,4,5,7.5,2.79
Iraq,1900,Proletariat,3,3,6,2,1.0,2.11
Iraq,1900,Property Owners,4,5,4,3,6.5,2.61
Iraq,1900,State Memory,5,4,4,5,7.5,2.79
Iraq,1900,Trades / Professions,4,4,5,3,4.5,2.54
Iraq,1901,Army,3,3,5,2,2.0,2.43
Iraq,1901,Executive,4,4,5,3,4.5,2.57
Iraq,1901,Merchants / Shopkeepers,4,4,5,3,4.5,2.54
Iraq,1901,Priesthood / Knowledge Workers,5,4,4,5,7.5,2.79
Iraq,1901,Proletariat,3,3,6,2,1.0,2.11
Iraq,1901,Property Owners,4,5,4,3,6.5,2.61
Iraq,1901,State Memory,5,4,4,5,7.5,2.79
Iraq,1901,Trades / Professions,4,4,5,3,4.5,2.54
Iraq,1902,Army,3,3,5,2,2.0,2.43
Iraq,1902,Executive,4,4,5,3,4.5,2.57
Iraq,3,3,5,2,2.0,2.43
Iraq,1902,Merchants / Shopkeepers,4,4,5,3,4.5,2.54
Iraq,1902,Priesthood / Knowledge Workers,5,4,4,5,7.5,2.79
Iraq,1902,Proletariat,3,3,6,2,1.0,2.11
Iraq,1902,Property Owners,4,5,4,3,6.5,2.61
Iraq,1902,State Memory,5,4,4,5,7.5,2.79
Iraq,1902,Trades / Professions,4,4,5,3,4.5,2.54
Iraq,1903,Army,3,3,5,2,2.0,2.43
Iraq,1903,Executive,4,4,5,3,4.5,2.57
Iraq,1903,Merchants / Shopkeepers,4,4,5,3,4.5,2.54
Iraq,1903,Priesthood / Knowledge Workers,5,4,4,5,7.5,2.79
Iraq,1903,Proletariat,3,3,6,2,1.0,2.11
Iraq,1903,Property Owners,4,5,4,3,6.5,2.61
Iraq,1903,State Memory,5,4,4,5,7.5,2.79
Iraq,1903,Trades / Professions,4,4,5,3,4.5,2.54
Iraq,1904,Army,3,3,5,2,2.0,2.43
Iraq,1904,Executive,4,4,5,3,4.5,2.57
Iraq,1904,Merchants / Shopkeepers,4,4,5,3,4.5,2.54
Iraq,1904,Priesthood / Knowledge Workers,5,4,4,5,7.5,2.79
Iraq,1904,Proletariat,3,3,6,2,1.0,2.11
Iraq,1904,Property Owners,4,5,4,3,6.5,2.61
Iraq,1904,State Memory,5,4,4,5,7.5,2.79
Iraq,1904,Trades / Professions,4,4,5,3,4.5,2.54
Iraq,1905,Army,3,3,5,2,2.0,2.43
