Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node value,Bond strength
Italy,1900,Army,5,5,4,4,8,2.82
Italy,1900,Executive,4,4,5,5,5.5,2.65
Italy,1900,Merchants / Shopkeepers,5,5,5,5,7.5,2.71
Italy,1900,Priesthood / Knowledge Workers,6,5,4,6,10,2.89
Italy,1900,Proletariat,3,4,6,3,2.5,2.48
Italy,1900,Property Owners,4,6,4,5,8.5,2.78
Italy,1900,State Memory,6,5,4,6,10,2.90
Italy,1900,Trades / Professions,5,5,5,5,7.5,2.71
Italy,1902,Army,5,5,3,4,9,2.98
Italy,1902,Executive,4,4,4,5,6.5,2.81
Italy,1902,Merchants / Shopkeepers,5,5,4,5,8.5,2.87
Italy,1902,Priesthood / Knowledge Workers,6,5,3,6,11,3.06
Italy,1902,Proletariat,4,4,5,4,5,2.65
Italy,1902,Property Owners,4,6,3,5,9.5,2.94
Italy,1902,State Memory,6,5,3,6,11,3.07
Italy,1902,Trades / Professions,5,5,4,5,8.5,2.87
Italy,1903,Army,5,5,3,4,9,2.98
Italy,1903,Executive,4,4,4,5,6.5,2.81
Italy,1903,Merchants / Shopkeepers,5,5,4,5,8.5,2.87
Italy,1903,Priesthood / Knowledge Workers,6,5,3,6,11,3.06
Italy,1903,Proletariat,4,4,5,4,5,2.65
Italy,1903,Property Owners,4,6,3,5,9.5,2.94
Italy,1903,State Memory,6,5,3,6,11,3.07
Italy,1903,Trades / Professions,5,5,4,5,8.5,2.87
Italy,1904,Army,6,6,2,5,12.5,3.29
Italy,1904,Executive,5,5,3,5,9.5,3.09
Italy,1904,Merchants / Shopkeepers,6,6,3,5,11.5,3.24
Italy,1904,Priesthood / Knowledge Workers,6,5,3,6,11,3.14
Italy,1904,Proletariat,4,5,4,4,7,2.92
Italy,1904,Property Owners,5,6,3,5,10.5,3.19
Italy,1904,State Memory,6,6,2,6,13,3.32
Italy,1904,Trades / Professions,6,6,3,5,11.5,3.24
Italy,1905,Army,6,6,2,5,12.5,3.29
Italy,1905,Executive,5,5,3,5,9.5,3.09
Italy,1905,Merchants / Shopkeepers,6,6,3,5,11.5,3.24
Italy,1905,Priesthood / Knowledge Workers,6,5,3,6,11,3.14
Italy,1905,Proletariat,4,5,4,4,7,2.92
Italy,1905,Property Owners,5,6,3,5,10.5,3.19
Italy,1905,State Memory,6,6,2,6,13,3.32
Italy,1905,Trades / Professions,6,6,3,5,11.5,3.24
Italy,1906,Army,6,6,2,5,12.5,3.29
Italy,1906,Executive,5,5,3,5,9.5,3.09
Italy,1906,Merchants / Shopkeepers,6,6,3,5,11.5,3.24
Italy,1906,Priesthood / Knowledge Workers,6,5,3,6,11,3.14
Italy,1906,Proletariat,4,5,4,4,7,2.92
Italy,1906,Property Owners,5,6,3,5,10.5,3.19
Italy,1906,State Memory,6,6,2,6,13,3.32
Italy,1906,Trades / Professions,6,6,3,5,11.5,3.24
Italy,1907,Army,6,6,2,5,12.5,3.29
Italy,1907,Executive,5,5,3,5,9.5,3.09
Italy,1907,Merchants / Shopkeepers,6,6,3,5,11.5,3.24
Italy,1907,Priesthood / Knowledge Workers,6,5,3,6,11,3.14
Italy,1907,Proletariat,4,5,4,4,7,2.92
Italy,1907,Property Owners,5,6,3,5,10.5,3.19
Italy,1907,State Memory,6,6,2,6,13,3.32
Italy,1907,Trades / Professions,6,6,3,5,11.5,3.24
Italy,1908,Army,6,6,3,5,12,3.22
Italy,1908,Executive,5,5,4,5,9,3.01
Italy,1908,Merchants / Shopkeepers,6,6,4,5,11,3.16
Italy,1908,Priesthood / Knowledge Workers,6,5,4,6,10.5,3.06
Italy,1908,Proletariat,4,5,5,4,6.5,2.84
Italy,1908,Property Owners,5,6,4,5,10,3.11
Italy,1908,State Memory,6,6,3,6,12.5,3.24
Italy,1908,Trades / Professions,6,6,4,5,11,3.16
Italy,1909,Army,6,6,3,5,12,3.22
Italy,1909,Executive,5,5,4,5,9,3.01
