Society,Year,T_Offset,Society_ID,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime,Regime_Label_Calc
Australia,1875,T+0,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1876,T+1,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1877,T+2,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1878,T+3,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1879,T+4,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1880,T+5,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1881,T+6,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1882,T+7,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1883,T+8,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1884,T+9,Society_C,9.087,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1885,T+10,Society_C,9.337,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1886,T+11,Society_C,9.337,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1887,T+12,Society_C,9.712,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1888,T+13,Society_C,9.337,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1889,T+14,Society_C,9.337,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1890,T+15,Society_C,3.65,0.5,SYSTEMIC_CRISIS,Systemic Crisis
Australia,1891,T+16,Society_C,3.65,-1.5,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1892,T+17,Society_C,3.525,-1.5,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1893,T+18,Society_C,3.15,-1.5,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1894,T+19,Society_C,8.213,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1895,T+20,Society_C,8.213,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1896,T+21,Society_C,8.213,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1897,T+22,Society_C,8.588,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1898,T+23,Society_C,8.588,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1899,T+24,Society_C,8.4,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1900,T+25,Society_C,8.713,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1901,T+26,Society_C,10.588,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1902,T+27,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1903,T+28,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1904,T+29,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1905,T+30,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1906,T+31,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1907,T+32,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1908,T+33,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1909,T+34,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1910,T+35,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1911,T+36,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1912,T+37,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1913,T+38,Society_C,10.65,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1914,T+39,Society_C,7.65,5.5,FRAGMENTED,Fragmented-Capable
Australia,1915,T+40,Society_C,7.65,5.5,FRAGMENTED,Fragmented-Capable
Australia,1916,T+41,Society_C,7.15,3.5,MODERATE_STRESS,Moderate Stress
Australia,1917,T+42,Society_C,7.15,3.5,MODERATE_STRESS,Moderate Stress
Australia,1918,T+43,Society_C,7.65,5.5,FRAGMENTED,Fragmented-Capable
Australia,1919,T+44,Society_C,7.525,4.0,FRAGMENTED,Fragmented-Capable
Australia,1920,T+45,Society_C,7.525,5.5,FRAGMENTED,Fragmented-Capable
Australia,1921,T+46,Society_C,8.025,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1922,T+47,Society_C,8.025,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1923,T+48,Society_C,8.025,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1924,T+49,Society_C,8.025,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1925,T+50,Society_C,8.025,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1926,T+51,Society_C,8.025,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1927,T+52,Society_C,8.025,6.0,STRAINED_COHERENT,Strained-Coherent
Australia,1928,T+53,Society_C,7.65,5.0,FRAGMENTED,Fragmented-Capable
Australia,1929,T+54,Society_C,-0.025,-3.6,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1930,T+55,Society_C,0.0,-3.6,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1931,T+56,Society_C,-0.375,-4.5,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1932,T+57,Society_C,0.425,-2.5,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1933,T+58,Society_C,1.15,-1.7,LOCAL_NODE_FAILURE,Local Node Failure
Australia,1934,T+59,Society_C,7.213,5.0,FRAGMENTED,Fragmented-Capable
Australia,1935,T+60,Society_C,7.213,5.0,FRAGMENTED,Fragmented-Capable
Australia,1936,T+61,Society_C,7.213,5.0,FRAGMENTED,Fragmented-Capable
Australia,1937,T+62,Society_C,7.213,5.0,FRAGMENTED,Fragmented-Capable
Australia,1938,T+63,Society_C,7.213,5.0,FRAGMENTED,Fragmented-Capable
Australia,1939,T+64,Society_C,8.212,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,1940,T+65,Society_C,8.212,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,1941,T+66,Society_C,8.212,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,1942,T+67,Society_C,7.837,4.5,FRAGMENTED,Fragmented-Capable
Australia,1943,T+68,Society_C,8.087,6.5,STRAINED_COHERENT,Strained-Coherent
Australia,1944,T+69,Society_C,11.838,9.5,STRAINED_COHERENT,Strained-Coherent
Australia,1945,T+70,Society_C,11.775,9.5,STRAINED_COHERENT,Strained-Coherent
Australia,1946,T+71,Society_C,10.713,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1947,T+72,Society_C,10.588,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1948,T+73,Society_C,10.463,7.5,STRAINED_COHERENT,Strained-Coherent
Australia,1949,T+74,Society_C,10.463,8.5,STRAINED_COHERENT,Strained-Coherent
Australia,1950,T+75,Society_C,12.312,9.5,HIGH_COHERENCE,Coherent-Capable
