Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node_Value_Calc,Bond_Strength_Calc,Lambda2_Calc,V_Mean_Calc,V_Min_Calc,CAMS_v1_Regime,Regime_Label_Calc
Argentina,1950,Archive,5.0,5.0,4.0,5.0,8.5,0.1972,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1950,Craft,5.0,5.0,4.0,5.0,8.5,0.2493,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1950,Flow,5.0,5.2,4.2,5.0,8.5,0.2464,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1950,Hands,6.0,5.6,4.2,5.0,9.9,0.2583,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1950,Helm,7.0,6.4,4.2,6.0,12.2,0.2763,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1950,Lore,6.2,6.0,4.0,6.0,11.2,0.2143,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1950,Shield,6.0,6.0,4.0,5.0,10.5,0.2613,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1950,Stewards,5.0,5.2,4.2,5.0,8.5,0.1949,1.466,9.725,8.5,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Archive,5.0,5.0,4.0,5.0,8.5,0.1969,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Craft,5.0,5.0,4.0,5.0,8.5,0.2487,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Flow,5.0,5.0,4.4,5.0,8.1,0.243,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Hands,6.0,6.0,4.2,5.0,10.3,0.2578,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Helm,7.0,6.4,4.2,6.0,12.2,0.2757,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Lore,6.2,6.0,4.0,6.0,11.2,0.2139,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Shield,6.0,6.0,4.0,5.0,10.5,0.2607,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1951,Stewards,5.0,5.2,4.2,5.0,8.5,0.1946,1.4618,9.725,8.1,STRAINED_COHERENT,Strained-Coherent
Argentina,1952,Archive,5.0,5.0,5.0,5.0,7.5,0.16,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1952,Craft,5.0,5.0,5.0,5.0,7.5,0.2001,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1952,Flow,4.0,5.0,6.0,4.0,5.0,0.1719,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1952,Hands,5.0,5.0,6.0,5.0,6.5,0.1889,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1952,Helm,6.0,6.0,6.0,5.0,8.5,0.198,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1952,Lore,5.0,5.0,5.0,5.0,7.5,0.16,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1952,Shield,5.8,6.0,5.0,5.0,9.3,0.2077,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1952,Stewards,5.0,5.0,5.0,5.0,7.5,0.16,1.1438,7.412,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Archive,5.0,5.0,5.0,5.0,7.5,0.1554,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Craft,5.0,5.0,5.0,5.0,7.5,0.1954,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Flow,4.0,4.6,5.6,4.0,5.0,0.172,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Hands,4.8,5.0,5.6,4.0,6.2,0.1804,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Helm,5.8,5.0,6.2,5.0,7.1,0.1895,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Lore,5.0,5.0,5.0,5.0,7.5,0.1554,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Shield,5.2,5.8,5.0,5.0,8.5,0.1973,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1953,Stewards,4.0,5.0,5.2,4.0,5.8,0.14,1.0679,6.887,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1954,Archive,5.0,5.0,5.0,5.0,7.5,0.156,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1954,Craft,5.0,5.0,5.0,5.0,7.5,0.1962,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1954,Flow,4.0,4.8,5.2,4.0,5.6,0.1768,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1954,Hands,4.4,5.0,5.2,4.0,6.2,0.1811,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1954,Helm,5.6,5.0,6.0,5.0,7.1,0.1907,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1954,Lore,5.0,5.0,5.0,5.0,7.5,0.156,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1954,Shield,5.0,5.6,5.0,5.0,8.1,0.1962,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1954,Stewards,4.0,4.8,5.0,4.0,5.8,0.1423,1.0817,6.912,5.6,FRAGMENTED,Fragmented-Capable
Argentina,1955,Archive,3.2,4.0,7.6,3.2,1.2,0.0774,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1955,Craft,4.0,4.0,6.2,4.0,3.8,0.1164,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1955,Flow,3.0,4.0,7.2,3.0,1.3,0.0978,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1955,Hands,4.0,4.0,7.0,4.0,3.0,0.1114,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1955,Helm,3.0,3.8,8.2,3.0,0.1,0.0923,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1955,Lore,3.4,4.0,7.6,3.4,1.5,0.0794,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1955,Shield,3.2,4.2,7.8,3.2,1.2,0.0971,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1955,Stewards,3.2,4.0,6.8,3.2,2.0,0.081,0.5783,1.763,0.1,SYSTEMIC_CRISIS,Systemic Crisis
Argentina,1956,Archive,4.0,4.0,6.0,4.0,4.0,0.116,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1956,Craft,4.4,5.0,5.0,4.0,6.4,0.1593,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1956,Flow,4.0,4.0,6.0,4.0,4.0,0.147,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1956,Hands,4.0,4.0,6.0,4.0,4.0,0.147,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1956,Helm,4.0,4.0,7.0,4.0,3.0,0.1387,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1956,Lore,4.0,4.0,6.0,4.0,4.0,0.116,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1956,Shield,5.0,5.0,6.0,4.0,6.0,0.1557,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1956,Stewards,4.0,5.0,6.0,4.0,5.0,0.116,0.8513,4.55,3.0,MODERATE_STRESS,Moderate Stress
Argentina,1957,Archive,4.8,5.0,5.0,4.8,7.2,0.1565,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1957,Craft,5.0,5.0,5.0,5.0,7.5,0.1997,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1957,Flow,4.8,5.0,5.0,4.8,7.2,0.1964,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1957,Hands,5.0,5.0,5.0,5.0,7.5,0.1997,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1957,Helm,4.6,4.8,6.0,4.8,5.8,0.1834,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1957,Lore,5.0,5.0,5.0,5.0,7.5,0.1592,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1957,Shield,5.0,5.0,5.4,4.0,6.6,0.1885,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1957,Stewards,4.8,5.0,5.0,4.8,7.2,0.1565,1.1378,7.062,5.8,FRAGMENTED,Fragmented-Capable
Argentina,1958,Archive,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1958,Craft,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1958,Flow,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1958,Hands,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1958,Helm,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1958,Lore,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1958,Shield,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1958,Stewards,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1959,Archive,5.0,5.0,5.0,5.0,7.5,0.1523,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1959,Craft,5.0,5.0,5.0,5.0,7.5,0.1914,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1959,Flow,4.2,5.0,5.4,4.2,5.9,0.1741,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1959,Hands,4.0,4.4,6.0,4.0,4.4,0.1647,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1959,Helm,5.0,5.0,6.0,5.0,6.5,0.1808,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1959,Lore,5.0,5.0,5.0,5.0,7.5,0.1523,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1959,Shield,5.0,5.0,5.0,5.0,7.5,0.1914,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1959,Stewards,4.0,4.8,6.0,4.0,4.8,0.131,1.01,6.45,4.4,FRAGMENTED,Fragmented-Capable
Argentina,1960,Archive,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1960,Craft,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1960,Flow,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1960,Hands,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1960,Helm,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1960,Lore,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1960,Shield,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1960,Stewards,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Archive,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Craft,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Flow,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Hands,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Helm,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Lore,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Shield,5.0,5.0,5.0,5.0,7.5,0.2071,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1961,Stewards,5.0,5.0,5.0,5.0,7.5,0.1643,1.2,7.5,7.5,FRAGMENTED,Fragmented-Capable
Argentina,1962,Archive,4.0,4.0,7.0,4.0,3.0,0.0973,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1962,Craft,4.0,4.0,6.0,4.0,4.0,0.1282,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1962,Flow,3.0,3.4,7.8,3.0,0.1,0.1025,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1962,Hands,4.0,4.0,6.4,4.0,3.6,0.1253,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1962,Helm,3.0,3.4,8.8,3.0,-0.9,0.0965,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1962,Lore,4.0,4.0,6.6,4.0,3.4,0.0996,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1962,Shield,5.0,5.0,7.0,4.0,5.0,0.1283,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1962,Stewards,4.0,4.0,6.8,4.0,3.2,0.0985,0.6839,2.675,-0.9,LOCAL_NODE_FAILURE,Local Node Failure
Argentina,1963,Archive,5.0,5.0,5.0,5.0,7.5,0.1575,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1963,Craft,5.0,5.0,5.0,5.0,7.5,0.1963,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1963,Flow,4.8,5.0,5.0,4.8,7.2,0.1931,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
Argentina,1963,Hands,5.0,5.0,5.0,5.0,7.5,0.1963,1.1152,6.925,5.0,FRAGMENTED,Fragmented-Capable
