Society_ID,T_Offset,Society,Year,V_Mean,V_Min,B_Mean,Lambda2,s_min,Regime_v11
Society_A,T+0,Russia,1800,7.9625,2.9,0.1928,1.1862,-0.1872,LOCAL_NODE_FAILURE
Society_A,T+1,Russia,1801,7.575,4.4,0.1921,1.2105,-0.1915,LOCAL_NODE_FAILURE
Society_A,T+10,Russia,1810,7.6375,3.5,0.1882,1.1787,-0.3326,LOCAL_NODE_FAILURE
Society_A,T+100,Russia,1900,9.2125,4.3,0.2219,1.3811,-0.2022,LOCAL_NODE_FAILURE
Society_A,T+101,Russia,1901,9.225,4.7,0.223,1.3894,-0.1142,STRAINED
Society_A,T+102,Russia,1902,9.0375,3.1,0.2166,1.3273,-0.3283,LOCAL_NODE_FAILURE
Society_A,T+103,Russia,1903,9.0,3.9,0.2147,1.3418,-0.3192,LOCAL_NODE_FAILURE
Society_A,T+104,Russia,1904,5.65,3.1,0.1535,0.9645,-0.9984,PHANTOM_TYPE_II
Society_A,T+105,Russia,1905,2.45,0.0,0.1074,0.7042,-1.0349,SYSTEMIC_CRISIS
Society_A,T+106,Russia,1906,9.1375,7.7,0.2176,1.3364,0.0454,STRAINED
Society_A,T+107,Russia,1907,8.9625,6.6,0.2137,1.3112,-0.0749,STRAINED
Society_A,T+108,Russia,1908,8.8,6.8,0.2063,1.2576,-0.04,STRAINED
Society_A,T+109,Russia,1909,8.8125,7.4,0.2056,1.2638,0.1152,STRAINED
Society_A,T+11,Russia,1811,7.8875,3.5,0.1946,1.2266,-0.2517,LOCAL_NODE_FAILURE
Society_A,T+110,Russia,1910,8.65,7.1,0.21,1.3198,0.0354,STRAINED
Society_A,T+111,Russia,1911,8.9125,7.4,0.2152,1.3258,0.0416,STRAINED
Society_A,T+112,Russia,1912,8.5875,6.8,0.2035,1.2549,0.0368,STRAINED
Society_A,T+113,Russia,1913,9.0,7.4,0.215,1.2906,0.127,STRAINED
Society_A,T+114,Russia,1914,8.7125,6.4,0.2009,1.2718,-0.1555,STRAINED
Society_A,T+115,Russia,1915,5.7375,3.2,0.1474,0.9502,-0.7776,PHANTOM_TYPE_II
Society_A,T+116,Russia,1916,3.725,-0.2,0.1212,0.7296,-0.7603,SYSTEMIC_CRISIS
Society_A,T+117,Russia,1917,-1.825,-4.1,0.0622,0.3697,-0.9504,FREEZE_COLLAPSE
Society_A,T+118,Russia,1918,-0.3875,-3.5,0.0807,0.4305,-1.4062,FREEZE_COLLAPSE
Society_A,T+119,Russia,1919,0.6875,-3.5,0.0902,0.476,-1.2902,SYSTEMIC_CRISIS
Society_A,T+12,Russia,1812,5.1125,-1.7,0.1364,0.7849,-0.812,SYSTEMIC_CRISIS
Society_A,T+120,Russia,1920,1.65,-3.4,0.0988,0.5226,-0.7539,SYSTEMIC_CRISIS
Society_A,T+121,Russia,1921,2.95,-0.5,0.118,0.718,-1.3133,SYSTEMIC_CRISIS
Society_A,T+122,Russia,1922,7.2,4.0,0.1872,1.1347,-0.3696,LOCAL_NODE_FAILURE
Society_A,T+123,Russia,1923,7.225,5.0,0.1822,1.107,-0.2318,STRAINED
