Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1790,Executive,5.0,4.0,-3.0,4.0,10.0,7.0
USA,1790,Army,4.0,3.0,-2.0,3.0,8.0,5.0
USA,1790,Priests,6.0,5.0,-2.0,5.0,14.0,7.0
USA,1790,Property Owners,7.0,6.0,-1.0,6.0,18.0,7.0
USA,1790,Trades/Professions,4.0,3.0,-2.0,4.0,9.0,5.0
USA,1790,Proletariat,3.0,2.0,-3.0,2.0,4.0,5.0
USA,1790,State Memory,4.0,3.0,-1.0,4.0,10.0,4.0
USA,1790,Shopkeepers/Merchants,5.0,4.0,-2.0,5.0,12.0,6.0
USA,1800,Executive,6.0,5.0,-2.0,5.0,14.0,7.0
USA,1800,Army,4.0,4.0,-1.0,3.0,10.0,5.0
USA,1800,Priests,6.0,5.0,-2.0,5.0,14.0,7.0
USA,1800,Property Owners,7.0,6.0,-1.0,6.0,18.0,7.0
USA,1800,Trades/Professions,5.0,4.0,-1.0,4.0,12.0,5.0
USA,1800,Proletariat,3.0,3.0,-2.0,2.0,6.0,5.0
USA,1800,State Memory,5.0,4.0,-1.0,4.0,12.0,5.0
USA,1800,Shopkeepers/Merchants,6.0,5.0,-1.0,5.0,15.0,6.0
USA,1810,Executive,6.0,6.0,-2.0,5.0,15.0,8.0
USA,1810,Army,5.0,5.0,-1.0,4.0,13.0,6.0
USA,1810,Priests,6.0,5.0,-2.0,5.0,14.0,7.0
USA,1810,Property Owners,7.0,7.0,-1.0,6.0,19.0,8.0
USA,1810,Trades/Professions,5.0,5.0,-1.0,5.0,14.0,6.0
USA,1810,Proletariat,4.0,4.0,-2.0,3.0,9.0,6.0
USA,1810,State Memory,5.0,5.0,-1.0,5.0,14.0,6.0
USA,1810,Shopkeepers/Merchants,6.0,6.0,-1.0,5.0,16.0,7.0
USA,1820,Executive,7.0,6.0,-1.0,6.0,18.0,7.0
USA,1820,Army,5.0,5.0,-1.0,4.0,13.0,6.0
USA,1820,Priests,6.0,5.0,-2.0,5.0,14.0,7.0
USA,1820,Property Owners,8.0,7.0,0.0,7.0,22.0,7.0
USA,1820,Trades/Professions,6.0,6.0,-1.0,5.0,16.0,7.0
USA,1820,Proletariat,4.0,5.0,-2.0,3.0,10.0,7.0
USA,1820,State Memory,6.0,6.0,-1.0,5.0,16.0,7.0
USA,1820,Shopkeepers/Merchants,7.0,7.0,0.0,6.0,20.0,7.0
USA,1830,Executive,7.0,6.0,-1.0,6.0,18.0,7.0
USA,1830,Army,5.0,5.0,-1.0,4.0,13.0,6.0
USA,1830,Priests,6.0,5.0,-2.0,5.0,14.0,7.0
USA,1830,Property Owners,8.0,7.0,0.0,7.0,22.0,7.0
USA,1830,Trades/Professions,6.0,6.0,-1.0,5.0,16.0,7.0
USA,1830,Proletariat,4.0,5.0,-2.0,3.0,10.0,7.0
USA,1830,State Memory,6.0,6.0,-1.0,5.0,16.0,7.0
USA,1830,Shopkeepers/Merchants,7.0,7.0,0.0,6.0,20.0,7.0
USA,1840,Executive,7.0,6.0,-2.0,6.0,17.0,8.0
