Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1900,Army,6,6,4,4,10.0,1.9012276612276613
Russia,1900,Executive,4,5,6,3,4.5,1.4084049284049283
Russia,1900,Merchants / Shopkeepers,6,6,4,6,11.0,2.0276701076701076
Russia,1900,Priesthood / Knowledge Workers,5,5,5,7,8.5,1.8476076304647735
Russia,1900,Proletariat,4,5,7,3,3.5,1.3110308738880168
Russia,1900,Property Owners,3,7,5,4,7.0,1.49029637029637
Russia,1900,State Memory,5,6,3,7,11.5,2.1606637806637807
Russia,1900,Trades / Professions,6,5,4,6,10.0,2.0276701076701076
Russia,1901,Army,6,6,4,4,10.0,1.8120771292199864
Russia,1901,Executive,3,5,7,3,2.5,1.1773607904700343
Russia,1901,Merchants / Shopkeepers,6,6,4,6,11.0,1.9340668854954568
Russia,1901,Priesthood / Knowledge Workers,5,5,6,6,7.0,1.5898784548784552
Russia,1901,Proletariat,4,5,8,3,2.5,1.1742027580262877
Russia,1901,Property Owners,3,7,5,4,7.0,1.420469054754769
Russia,1901,State Memory,5,6,3,6,11.0,1.99006771006771
Russia,1901,Trades / Professions,6,5,4,6,10.0,1.9340668854954568
Russia,1902,Army,6,6,4,4,10.0,1.7563718820861678
Russia,1902,Executive,2,5,8,3,0.5,1.0024704618689582
Russia,1902,Merchants / Shopkeepers,6,6,4,6,11.0,1.874285714285714
Russia,1902,Priesthood / Knowledge Workers,5,5,6,6,7.0,1.5458956309796648
Russia,1902,Proletariat,4,5,9,3,1.5,1.076139929656073
Russia,1902,Property Owners,3,7,6,4,6.0,1.2817627050820326
Russia,1902,State Memory,5,6,3,6,11.0,1.9245104102246962
Russia,1902,Trades / Professions,6,5,4,6,10.0,1.874285714285714
Russia,1903,Army,6,6,4,4,10.0,1.7420861678004536
Russia,1903,Executive,2,5,8,3,0.5,0.9917561761546725
Russia,1903,Merchants / Shopkeepers,6,6,4,6,11.0,1.8599999999999997
Russia,1903,Priesthood / Knowledge Workers,4,5,6,6,6.0,1.4544108552511916
Russia,1903,Proletariat,4,5,9,3,1.5,1.0660558960426276
Russia,1903,Property Owners,3,7,6,4,6.0,1.269517807122849
Russia,1903,State Memory,5,6,3,6,11.0,1.9089259946402806
Russia,1903,Trades / Professions,6,5,4,6,10.0,1.8599999999999999
