Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1800,Helm,6.2,6.4,3.8,5.4,11.5,0.2907
Russia,1800,Shield,6.8,7.2,4.0,4.2,12.1,0.2849
Russia,1800,Lore,5.4,4.2,4.4,4.6,7.5,0.2639
Russia,1800,Stewards,5.4,5.8,3.8,4.0,9.4,0.2679
Russia,1800,Craft,4.0,4.0,4.8,4.4,5.4,0.2365
Russia,1800,Hands,3.6,4.2,6.2,2.6,2.9,0.1932
Russia,1800,Archive,5.0,5.2,3.6,4.2,8.7,0.2672
Russia,1800,Flow,4.4,5.0,5.2,4.0,6.2,0.2328
Russia,1801,Helm,5.8,5.4,4.2,4.8,9.4,0.2732
Russia,1801,Shield,7.2,6.6,4.2,5.2,12.2,0.2933
Russia,1801,Lore,5.2,3.8,4.0,5.2,7.6,0.2721
Russia,1801,Stewards,5.8,5.6,4.2,4.0,9.2,0.2662
Russia,1801,Craft,4.0,3.8,4.8,4.0,5.0,0.2318
Russia,1801,Hands,4.2,4.2,5.6,3.2,4.4,0.2158
Russia,1801,Archive,5.2,5.2,4.4,3.8,7.9,0.2531
Russia,1801,Flow,4.2,4.4,5.6,3.8,4.9,0.2217
Russia,1802,Helm,6.0,6.0,4.0,4.4,10.2,0.2742
Russia,1802,Shield,7.2,6.4,3.8,5.0,12.3,0.297
Russia,1802,Lore,4.8,4.0,3.8,4.6,7.3,0.2629
Russia,1802,Stewards,6.2,6.0,3.6,4.2,10.7,0.2815
Russia,1802,Craft,4.0,3.8,5.2,4.0,4.6,0.2251
Russia,1802,Hands,4.2,4.2,6.2,2.8,3.6,0.2031
Russia,1802,Archive,4.6,5.2,4.6,4.0,7.2,0.2424
Russia,1802,Flow,4.2,4.8,5.2,3.4,5.5,0.2222
Russia,1803,Helm,6.4,6.4,4.0,5.0,11.3,0.2841
Russia,1803,Shield,7.0,6.6,4.0,5.4,12.3,0.2943
Russia,1803,Lore,4.6,3.8,4.2,5.0,6.7,0.2577
Russia,1803,Stewards,6.0,5.6,4.4,4.0,9.2,0.2644
Russia,1803,Craft,4.2,4.2,5.6,4.0,4.8,0.2225
Russia,1803,Hands,4.0,3.8,6.6,3.0,2.7,0.1971
Russia,1803,Archive,5.0,5.0,4.2,4.2,7.9,0.2558
Russia,1803,Flow,4.4,4.8,5.0,3.8,6.1,0.2318
Russia,1804,Helm,6.2,6.0,4.2,4.6,10.3,0.2745
Russia,1804,Shield,7.0,6.6,4.4,5.0,11.7,0.284
Russia,1804,Lore,5.0,3.4,4.2,5.0,6.7,0.2625
Russia,1804,Stewards,5.8,6.4,4.0,4.4,10.4,0.2709
Russia,1804,Craft,4.2,4.4,5.0,3.4,5.3,0.2243
Russia,1804,Hands,4.0,4.2,6.0,3.0,3.7,0.2041
Russia,1804,Archive,4.8,5.2,4.0,4.0,8.0,0.2535
Russia,1804,Flow,4.2,5.2,4.8,3.4,6.3,0.227
Russia,1805,Helm,6.0,5.8,4.8,4.8,9.4,0.2587
Russia,1805,Shield,7.0,6.6,6.4,5.0,9.7,0.2474
Russia,1805,Lore,5.0,3.8,4.2,4.8,7.0,0.2553
Russia,1805,Stewards,6.6,5.8,4.2,4.2,10.3,0.2704
Russia,1805,Craft,4.0,4.0,5.0,3.8,4.9,0.2207
Russia,1805,Hands,4.2,4.2,6.0,3.6,4.2,0.2086
Russia,1805,Archive,5.0,5.0,4.4,3.4,7.3,0.2396
Russia,1805,Flow,4.2,5.0,4.8,4.2,6.5,0.2302
Russia,1806,Helm,5.2,5.6,6.2,5.4,7.3,0.227
Russia,1806,Shield,6.0,5.8,7.2,4.8,7.0,0.2179
Russia,1806,Lore,5.0,4.0,4.0,4.6,7.3,0.249
Russia,1806,Stewards,6.2,5.6,4.2,3.6,9.4,0.2528
Russia,1806,Craft,4.0,4.0,5.0,4.2,5.1,0.2182
Russia,1806,Hands,4.2,4.2,5.8,2.6,3.9,0.1958
Russia,1806,Archive,5.2,5.2,3.4,4.4,9.2,0.2587
Russia,1806,Flow,4.0,5.0,5.0,3.8,5.9,0.2144
Russia,1807,Helm,4.6,6.2,5.0,5.0,8.3,0.2397
Russia,1807,Shield,6.0,5.6,4.8,5.0,9.3,0.2599
Russia,1807,Lore,4.8,4.4,4.0,5.0,7.7,0.257
Russia,1807,Stewards,6.4,5.6,3.8,4.4,10.4,0.2754
Russia,1807,Craft,4.2,4.4,5.4,4.4,5.4,0.2236
Russia,1807,Hands,4.0,4.6,6.6,2.6,3.3,0.1886
Russia,1807,Archive,4.8,4.6,3.6,4.2,7.9,0.2557
Russia,1807,Flow,4.0,5.0,5.0,4.2,6.1,0.2243
Russia,1808,Helm,6.2,6.4,4.0,5.0,11.1,0.2852
Russia,1808,Shield,7.4,7.4,4.2,4.8,13.0,0.2947
Russia,1808,Lore,5.0,4.0,4.6,4.8,6.8,0.2584
Russia,1808,Stewards,6.0,6.0,3.6,4.0,10.4,0.2805
Russia,1808,Craft,4.6,3.4,5.0,4.0,5.0,0.2395
Russia,1808,Hands,4.0,4.2,6.6,3.6,3.4,0.2053
Russia,1808,Archive,4.8,4.6,3.8,4.4,7.8,0.2642
Russia,1808,Flow,4.0,4.2,5.6,4.2,4.7,0.2243
Russia,1809,Helm,6.4,5.8,4.2,4.8,10.4,0.2817
Russia,1809,Shield,7.4,7.2,3.8,4.6,13.1,0.2988
Russia,1809,Lore,4.6,4.2,4.2,4.8,7.0,0.258
Russia,1809,Stewards,6.0,6.0,3.4,4.2,10.7,0.2845
Russia,1809,Craft,4.2,4.0,5.4,4.2,4.9,0.2291
Russia,1809,Hands,4.0,4.2,6.0,2.8,3.6,0.2042
Russia,1809,Archive,4.8,4.8,3.8,4.0,7.8,0.2593
Russia,1809,Flow,4.0,4.8,5.4,3.8,5.3,0.2223
Russia,1810,Helm,6.0,5.6,4.0,5.0,10.1,0.2773
Russia,1810,Shield,6.6,6.8,4.2,5.4,11.9,0.2844
Russia,1810,Lore,4.8,4.4,4.6,5.0,7.1,0.2526
Russia,1810,Stewards,5.6,5.8,4.0,4.2,9.5,0.2653
Russia,1810,Craft,4.2,3.6,5.4,4.4,4.6,0.2275
Russia,1810,Hands,4.0,4.2,6.4,3.4,3.5,0.2022
Russia,1810,Archive,5.2,5.2,4.2,4.0,8.2,0.255
Russia,1810,Flow,4.0,5.6,5.4,4.0,6.2,0.2209
Russia,1811,Helm,6.4,6.6,4.0,4.6,11.3,0.2849
Russia,1811,Shield,7.4,7.2,4.2,5.2,13.0,0.2982
Russia,1811,Lore,5.2,4.2,4.0,4.8,7.8,0.2709
Russia,1811,Stewards,6.0,5.4,4.0,4.2,9.5,0.2763
Russia,1811,Craft,3.4,3.8,4.8,4.4,4.6,0.2286
Russia,1811,Hands,4.4,3.8,6.0,2.6,3.5,0.2094
Russia,1811,Archive,5.2,4.8,4.2,4.4,8.0,0.2641
Russia,1811,Flow,4.0,4.8,5.4,4.0,5.4,0.2254
Russia,1812,Helm,5.8,5.4,8.2,5.0,5.5,0.1795
Russia,1812,Shield,6.8,7.0,7.6,5.6,9.0,0.1976
Russia,1812,Lore,5.6,4.8,5.8,5.6,7.4,0.2085
Russia,1812,Stewards,6.0,4.8,6.2,4.4,6.8,0.2
Russia,1812,Craft,3.8,3.6,7.2,4.0,2.2,0.1641
Russia,1812,Hands,5.4,3.8,6.6,5.0,5.1,0.1935
Russia,1812,Archive,5.6,5.8,6.8,4.0,6.6,0.1869
Russia,1812,Flow,2.6,3.6,9.4,3.0,-1.7,0.1229
Russia,1813,Helm,7.0,6.0,7.4,5.4,8.3,0.23
Russia,1813,Shield,7.8,7.8,6.6,6.0,12.0,0.2523
Russia,1813,Lore,6.2,5.0,4.6,5.0,9.1,0.2592
Russia,1813,Stewards,6.0,5.6,6.2,4.6,7.7,0.231
Russia,1813,Craft,4.0,4.2,6.8,3.6,3.2,0.1913
Russia,1813,Hands,5.6,4.4,5.0,3.8,6.9,0.2368
Russia,1813,Archive,5.0,4.4,4.2,4.0,7.2,0.242
Russia,1813,Flow,4.4,4.4,6.4,4.2,4.5,0.2065
Russia,1814,Helm,6.8,6.8,5.0,6.4,11.8,0.2919
Russia,1814,Shield,8.8,8.4,4.4,6.2,15.9,0.3221
Russia,1814,Lore,5.4,5.0,5.0,4.8,7.8,0.2622
Russia,1814,Stewards,5.4,5.6,4.4,3.8,8.5,0.2625
Russia,1814,Craft,4.0,4.0,4.6,3.6,5.2,0.2363
Russia,1814,Hands,5.0,3.8,5.0,3.4,5.5,0.2438
Russia,1814,Archive,4.8,5.0,4.2,5.0,8.1,0.2685
Russia,1814,Flow,4.2,5.0,5.0,3.4,5.9,0.2317
Russia,1815,Helm,6.0,5.8,4.0,4.8,10.2,0.2839
Russia,1815,Shield,7.4,7.0,3.0,4.8,13.8,0.3188
Russia,1815,Lore,5.2,4.4,4.6,4.6,7.3,0.2619
Russia,1815,Stewards,5.8,5.6,4.2,4.2,9.3,0.2727
Russia,1815,Craft,4.2,4.0,5.0,4.0,5.2,0.236
Russia,1815,Hands,4.0,3.8,6.4,3.0,2.9,0.204
Russia,1815,Archive,5.0,5.4,4.2,4.4,8.4,0.2635
Russia,1815,Flow,3.8,4.8,3.8,4.0,6.8,0.2471
Russia,1816,Helm,5.4,6.0,4.2,5.2,9.8,0.2742
Russia,1816,Shield,7.0,7.0,3.2,5.0,13.3,0.3096
Russia,1816,Lore,4.6,4.4,4.0,4.8,7.4,0.2628
Russia,1816,Stewards,5.8,6.0,4.0,4.0,9.8,0.2721
Russia,1816,Craft,4.0,4.0,5.6,3.8,4.3,0.2209
