Entity,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
ASPI,2003,Helm,5.8,6.0,3.0,6.0,11.8,0.40073
ASPI,2003,Shield,6.2,6.2,2.2,5.0,12.7,0.41531
ASPI,2003,Lore,6.0,6.2,1.8,6.0,13.4,0.43396
ASPI,2003,Stewards,7.0,7.0,2.0,5.0,14.5,0.43489
ASPI,2003,Craft,6.0,5.2,3.0,5.0,10.7,0.39237
ASPI,2003,Hands,6.0,5.0,2.0,5.0,11.5,0.41647
ASPI,2003,Archive,6.0,5.0,2.0,5.0,11.5,0.41647
ASPI,2003,Flow,5.0,5.2,3.0,5.0,9.7,0.3735
ASPI,2004,Helm,5.8,6.0,3.0,6.0,11.8,0.40073
ASPI,2004,Shield,6.2,6.2,2.2,5.0,12.7,0.41531
ASPI,2004,Lore,6.0,6.2,1.8,6.0,13.4,0.43396
ASPI,2004,Stewards,7.0,7.0,2.0,5.0,14.5,0.43489
ASPI,2004,Craft,6.0,6.2,3.0,5.0,11.7,0.39237
ASPI,2004,Hands,6.0,5.0,2.0,5.0,11.5,0.41647
ASPI,2004,Archive,6.0,5.0,2.0,5.0,11.5,0.41647
ASPI,2004,Flow,5.0,5.2,3.0,5.0,9.7,0.3735
ASPI,2005,Helm,5.8,6.0,3.0,6.0,11.8,0.40857
ASPI,2005,Shield,6.2,6.2,2.2,5.0,12.7,0.42349
ASPI,2005,Lore,7.0,6.2,1.8,6.0,14.4,0.46075
ASPI,2005,Stewards,7.0,7.0,2.0,5.0,14.5,0.44352
ASPI,2005,Craft,6.0,6.2,3.0,6.0,12.2,0.41215
ASPI,2005,Hands,6.0,6.0,2.0,5.0,12.5,0.42468
ASPI,2005,Archive,6.0,6.0,2.0,5.0,12.5,0.42468
ASPI,2005,Flow,6.0,6.2,3.0,5.0,11.7,0.40003
ASPI,2006,Helm,5.8,6.0,3.0,6.0,11.8,0.41552
ASPI,2006,Shield,6.2,6.2,2.2,5.0,12.7,0.43074
ASPI,2006,Lore,7.0,7.2,1.8,6.0,15.4,0.46875
ASPI,2006,Stewards,7.0,7.0,2.0,5.0,14.5,0.45117
ASPI,2006,Craft,7.0,6.2,2.0,6.0,14.2,0.46329
ASPI,2006,Hands,6.0,6.0,2.0,5.0,12.5,0.43195
ASPI,2006,Archive,6.0,6.0,2.0,5.0,12.5,0.43195
ASPI,2006,Flow,6.0,6.2,3.0,5.0,11.7,0.40681
ASPI,2007,Helm,5.8,6.0,3.0,6.0,11.8,0.41852
ASPI,2007,Shield,6.2,6.2,3.2,5.0,11.7,0.40857
ASPI,2007,Lore,7.0,7.2,1.8,7.0,15.9,0.48404
ASPI,2007,Stewards,7.0,7.0,2.0,5.0,14.5,0.45447
ASPI,2007,Craft,7.0,6.2,2.0,6.0,14.2,0.4667
ASPI,2007,Hands,6.0,6.0,2.0,5.0,12.5,0.43508
ASPI,2007,Archive,7.0,6.0,2.0,6.0,14.0,0.4667
ASPI,2007,Flow,6.0,6.2,3.0,5.0,11.7,0.40973
ASPI,2008,Helm,5.8,6.0,3.0,6.0,11.8,0.40773
ASPI,2008,Shield,6.2,6.2,3.2,5.0,11.7,0.39808
ASPI,2008,Lore,7.0,7.2,1.8,7.0,15.9,0.47125
ASPI,2008,Stewards,6.0,6.0,3.0,5.0,11.5,0.39921
ASPI,2008,Craft,7.0,7.2,2.0,6.0,15.2,0.45445
ASPI,2008,Hands,6.0,6.0,3.0,5.0,11.5,0.39921
ASPI,2008,Archive,7.0,6.0,2.0,6.0,14.0,0.45445
ASPI,2008,Flow,6.0,6.2,3.0,5.0,11.7,0.39921
ASPI,2009,Helm,6.8,7.0,3.0,7.0,14.3,0.47386
ASPI,2009,Shield,6.2,6.2,2.2,5.0,12.7,0.45897
ASPI,2009,Lore,7.0,7.2,1.8,7.0,15.9,0.5126
ASPI,2009,Stewards,7.0,7.0,2.0,6.0,15.0,0.49405
ASPI,2009,Craft,7.0,7.2,2.0,7.0,15.7,0.5066
ASPI,2009,Hands,7.0,6.0,2.0,5.0,13.5,0.48097
ASPI,2009,Archive,7.0,7.0,2.0,6.0,15.0,0.49405
ASPI,2009,Flow,7.0,7.2,2.0,6.0,15.2,0.49405
ASPI,2010,Helm,6.8,7.0,2.0,7.0,15.3,0.50945
ASPI,2010,Shield,6.2,6.2,2.2,5.0,12.7,0.46488
ASPI,2010,Lore,7.0,7.2,1.8,7.0,15.9,0.51932
ASPI,2010,Stewards,6.8,7.0,2.0,6.0,14.8,0.49655
ASPI,2010,Craft,7.0,7.2,2.0,7.0,15.7,0.51322
ASPI,2010,Hands,7.0,6.0,2.0,6.0,14.0,0.50048
ASPI,2010,Archive,7.0,7.0,2.0,6.0,15.0,0.50048
ASPI,2010,Flow,7.0,7.2,2.0,6.0,15.2,0.50048
ASPI,2011,Helm,6.8,7.0,2.0,7.0,15.3,0.50945
ASPI,2011,Shield,6.2,6.2,2.2,5.0,12.7,0.46488
ASPI,2011,Lore,7.0,7.2,1.8,7.0,15.9,0.51932
ASPI,2011,Stewards,6.8,7.0,2.0,6.0,14.8,0.49655
ASPI,2011,Craft,7.0,7.2,2.0,7.0,15.7,0.51322
ASPI,2011,Hands,7.0,7.0,2.0,6.0,15.0,0.50048
ASPI,2011,Archive,7.0,7.0,2.0,6.0,15.0,0.50048
ASPI,2011,Flow,7.0,7.2,2.0,6.0,15.2,0.50048
ASPI,2012,Helm,6.6,7.0,3.0,7.0,14.1,0.48325
ASPI,2012,Shield,7.2,7.2,2.2,6.0,15.2,0.50567
ASPI,2012,Lore,8.0,7.2,1.8,8.0,17.4,0.55758
ASPI,2012,Stewards,6.8,7.0,2.0,6.0,14.8,0.50379
ASPI,2012,Craft,7.0,7.2,2.0,7.0,15.7,0.52075
ASPI,2012,Hands,7.0,7.2,2.0,6.0,15.2,0.50779
ASPI,2012,Archive,7.0,7.0,2.0,7.0,15.5,0.52075
ASPI,2012,Flow,7.0,7.2,2.0,6.0,15.2,0.50779
ASPI,2013,Helm,6.8,7.0,2.0,7.0,15.3,0.52628
ASPI,2013,Shield,7.2,7.2,2.2,6.0,15.2,0.5148
ASPI,2013,Lore,8.0,8.2,1.8,8.0,18.4,0.56782
ASPI,2013,Stewards,6.8,8.0,2.0,6.0,15.8,0.51288
ASPI,2013,Craft,8.2,7.2,2.0,7.0,16.9,0.5528
ASPI,2013,Hands,7.0,7.2,2.0,6.0,15.2,0.51696
ASPI,2013,Archive,7.0,7.0,2.0,7.0,15.5,0.5302
ASPI,2013,Flow,7.0,7.4,2.0,6.0,15.4,0.51696
ASPI,2014,Helm,7.8,8.0,2.0,8.0,17.8,0.57343
ASPI,2014,Shield,7.2,7.2,2.2,6.0,15.2,0.52919
ASPI,2014,Lore,8.0,8.2,1.8,8.0,18.4,0.58396
ASPI,2014,Stewards,6.8,8.0,2.0,6.0,15.8,0.52721
ASPI,2014,Craft,8.2,8.2,2.0,8.0,18.4,0.58079
ASPI,2014,Hands,7.0,7.2,2.0,7.0,15.7,0.54508
ASPI,2014,Archive,8.0,8.0,2.0,7.0,17.5,0.56465
ASPI,2014,Flow,7.0,8.4,2.0,7.0,16.9,0.54508
ASPI,2015,Helm,7.8,8.0,2.0,8.0,17.8,0.57578
ASPI,2015,Shield,7.2,7.2,2.2,6.0,15.2,0.53133
ASPI,2015,Lore,8.0,8.2,1.8,8.0,18.4,0.58636
ASPI,2015,Stewards,6.8,8.0,2.0,7.0,16.3,0.54324
ASPI,2015,Craft,8.2,8.2,2.0,8.0,18.4,0.58317
ASPI,2015,Hands,7.0,7.2,2.0,7.0,15.7,0.5473
ASPI,2015,Archive,8.0,8.0,2.0,7.0,17.5,0.56696
ASPI,2015,Flow,7.0,8.4,2.0,7.0,16.9,0.5473
ASPI,2016,Helm,7.8,8.0,2.0,8.0,17.8,0.58133
ASPI,2016,Shield,7.2,7.2,2.2,6.0,15.2,0.53638
ASPI,2016,Lore,8.0,8.2,1.8,8.0,18.4,0.59203
ASPI,2016,Stewards,6.8,8.0,2.0,7.0,16.3,0.54842
ASPI,2016,Craft,8.2,8.2,2.0,8.0,18.4,0.58881
ASPI,2016,Hands,7.0,8.2,2.0,7.0,16.7,0.55253
ASPI,2016,Archive,8.0,8.0,2.0,8.0,18.0,0.58509
ASPI,2016,Flow,8.0,8.4,2.0,7.0,17.9,0.57241
ASPI,2017,Helm,7.8,8.0,2.0,8.0,17.8,0.57079
ASPI,2017,Shield,7.2,7.2,3.2,6.0,14.2,0.49593
ASPI,2017,Lore,8.0,8.2,1.8,8.0,18.4,0.58126
ASPI,2017,Stewards,6.8,8.0,3.0,7.0,15.3,0.50716
ASPI,2017,Craft,8.2,8.2,2.0,8.0,18.4,0.57811
ASPI,2017,Hands,7.0,8.2,2.0,7.0,16.7,0.5426
ASPI,2017,Archive,8.0,8.0,2.0,8.0,18.0,0.57447
ASPI,2017,Flow,8.0,8.4,2.0,7.0,17.9,0.56206
ASPI,2018,Helm,7.8,8.0,2.0,8.0,17.8,0.57292
ASPI,2018,Shield,7.2,7.2,3.2,7.0,14.7,0.51047
ASPI,2018,Lore,8.0,8.2,1.8,8.0,18.4,0.58343
ASPI,2018,Stewards,6.8,8.0,3.0,7.0,15.3,0.50901
