Year,eta_soil,sigma_V,path_type
2003,0.22371,1.4237,Deep Ancient Forest
2004,0.2309,1.3481,Deep Ancient Forest
2005,0.29162,1.013,Deep Ancient Forest
2006,0.26727,1.2727,Deep Ancient Forest
2007,0.27334,1.4794,Deep Ancient Forest
2008,0.1799,1.7142,Deep Ancient Forest
2009,0.43701,1.0283,Deep Ancient Forest
2010,0.46195,0.9692,Deep Ancient Forest
2011,0.47432,0.9179,Deep Ancient Forest
2012,0.53907,0.8852,Deep Ancient Forest
2013,0.51165,1.0594,Deep Ancient Forest
2014,0.52888,1.1821,Deep Ancient Forest
2015,0.54599,1.1311,Deep Ancient Forest
2016,0.58372,1.077,Deep Ancient Forest
2017,0.47446,1.4632,Deep Ancient Forest
2018,0.50223,1.3444,Deep Ancient Forest
2019,0.15432,2.1313,Greenhouse Garden
2020,0.11319,2.7717,Intermediate/Uncertain
2021,0.13053,2.5983,Intermediate/Uncertain
2022,0.18251,2.0855,Greenhouse Garden
2023,0.22075,1.5238,Deep Ancient Forest
2024,0.30086,1.0592,Deep Ancient Forest
2025,0.36439,0.7583,Deep Ancient Forest
2026,0.45145,0.4969,Deep Ancient Forest
