Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Egypt,1952,Helm,4.6,3.4,5.8,4.4,4.4,0.2074
Egypt,1952,Shield,5.0,5.2,4.6,4.2,7.7,0.226
Egypt,1952,Lore,5.2,4.0,5.0,4.8,6.6,0.2278
Egypt,1952,Stewards,4.2,3.4,5.0,4.4,4.8,0.2125
Egypt,1952,Craft,3.4,2.6,4.6,3.8,3.3,0.2011
Egypt,1952,Hands,4.2,3.2,4.8,2.8,4.0,0.2006
Egypt,1952,Archive,4.0,3.8,3.8,3.6,5.8,0.2178
Egypt,1952,Flow,4.0,2.8,5.0,3.0,3.3,0.1972
Egypt,1953,Helm,5.2,4.2,6.6,4.2,4.9,0.2042
Egypt,1953,Shield,5.0,5.0,5.4,3.8,6.5,0.2138
Egypt,1953,Lore,5.6,4.2,4.4,5.0,7.9,0.2435
Egypt,1953,Stewards,4.0,3.6,5.2,4.0,4.4,0.2052
Egypt,1953,Craft,3.2,3.2,3.6,4.0,4.8,0.2137
Egypt,1953,Hands,4.2,3.4,5.0,3.2,4.2,0.2032
Egypt,1953,Archive,3.8,4.4,3.6,4.6,6.9,0.2285
Egypt,1953,Flow,4.0,3.4,5.2,3.0,3.7,0.1961
Egypt,1954,Helm,5.4,4.4,6.0,4.6,6.1,0.2183
Egypt,1954,Shield,5.0,4.8,5.2,3.6,6.4,0.2161
Egypt,1954,Lore,6.0,4.2,4.4,5.8,8.7,0.2555
Egypt,1954,Stewards,4.2,4.4,4.6,3.8,5.9,0.2151
Egypt,1954,Craft,3.0,3.2,4.0,4.0,4.2,0.207
Egypt,1954,Hands,4.2,3.2,4.6,3.0,4.3,0.2076
Egypt,1954,Archive,4.0,4.0,4.0,4.0,6.0,0.2219
Egypt,1954,Flow,3.4,2.6,5.4,3.0,2.1,0.1862
Egypt,1955,Helm,5.8,4.8,5.8,4.8,7.2,0.2264
Egypt,1955,Shield,4.6,5.0,5.4,4.6,6.5,0.2165
Egypt,1955,Lore,6.0,4.4,4.2,5.8,9.1,0.258
Egypt,1955,Stewards,3.8,4.2,4.4,4.4,5.8,0.2173
Egypt,1955,Craft,3.0,2.8,3.8,4.4,4.2,0.2133
Egypt,1955,Hands,3.8,2.8,5.0,2.8,3.0,0.1945
Egypt,1955,Archive,3.8,3.8,4.4,3.6,5.0,0.2097
Egypt,1955,Flow,3.6,2.6,5.6,3.0,2.1,0.1866
Egypt,1956,Helm,5.8,5.4,6.2,4.8,7.4,0.2263
Egypt,1956,Shield,4.8,5.2,6.4,4.0,5.6,0.2063
Egypt,1956,Lore,7.0,5.2,4.2,6.2,11.1,0.2776
Egypt,1956,Stewards,5.0,4.4,4.2,4.8,7.6,0.2447
Egypt,1956,Craft,3.2,3.2,3.8,4.4,4.8,0.2215
Egypt,1956,Hands,4.0,2.8,4.8,2.8,3.4,0.2046
Egypt,1956,Archive,3.8,4.2,3.8,3.4,5.9,0.2204
Egypt,1956,Flow,3.6,3.0,5.4,2.8,2.6,0.1912
Egypt,1957,Helm,6.0,5.0,6.4,5.0,7.1,0.2221
Egypt,1957,Shield,4.4,5.0,6.2,3.4,4.9,0.1944
Egypt,1957,Lore,6.2,5.0,4.2,6.0,10.0,0.2617
Egypt,1957,Stewards,4.4,4.8,4.4,4.8,7.2,0.229
Egypt,1957,Craft,3.6,3.2,3.8,4.0,5.0,0.2186
Egypt,1957,Hands,4.0,2.6,5.2,2.6,2.7,0.1933
Egypt,1957,Archive,4.0,4.0,4.2,4.0,5.8,0.2192
Egypt,1957,Flow,3.8,2.8,5.6,2.6,2.3,0.1858
Egypt,1958,Helm,6.0,5.2,6.0,4.6,7.5,0.2263
Egypt,1958,Shield,4.6,4.6,6.8,4.4,4.6,0.1992
Egypt,1958,Lore,7.0,4.8,5.2,5.8,9.5,0.2558
Egypt,1958,Stewards,4.6,4.6,4.2,4.8,7.4,0.236
Egypt,1958,Craft,3.2,3.6,3.8,4.6,5.3,0.2202
Egypt,1958,Hands,3.6,2.6,5.0,3.0,2.7,0.1951
Egypt,1958,Archive,4.0,4.0,4.0,4.2,6.1,0.2253
Egypt,1958,Flow,4.2,3.0,6.2,3.0,2.5,0.1897
Egypt,1959,Helm,5.2,4.8,6.4,4.8,6.0,0.2084
Egypt,1959,Shield,4.6,5.2,7.4,4.2,4.5,0.1857
Egypt,1959,Lore,6.0,4.8,5.4,6.0,8.4,0.2378
Egypt,1959,Stewards,4.8,4.6,4.4,4.4,7.2,0.2263
Egypt,1959,Craft,3.6,3.2,4.2,4.6,4.9,0.2151
Egypt,1959,Hands,4.4,3.0,5.6,3.2,3.4,0.1961
Egypt,1959,Archive,3.8,4.2,4.2,4.2,5.9,0.2141
Egypt,1959,Flow,3.8,3.2,5.6,3.0,2.9,0.1862
Egypt,1960,Helm,5.4,4.8,7.0,4.8,5.6,0.2044
Egypt,1960,Shield,4.8,5.0,7.0,4.4,5.0,0.1952
Egypt,1960,Lore,6.0,4.6,5.0,5.8,8.5,0.2436
Egypt,1960,Stewards,5.2,4.6,4.4,4.6,7.7,0.2342
Egypt,1960,Craft,3.4,3.2,3.8,4.8,5.2,0.2206
Egypt,1960,Hands,4.0,3.2,4.8,2.6,3.7,0.1957
Egypt,1960,Archive,3.6,4.2,4.4,3.4,5.1,0.2024
Egypt,1960,Flow,4.4,3.4,6.2,3.4,3.3,0.192
Egypt,1961,Helm,4.8,4.6,7.6,4.6,4.1,0.1878
Egypt,1961,Shield,4.6,5.0,7.2,4.4,4.6,0.1888
Egypt,1961,Lore,5.4,4.6,5.2,5.6,7.6,0.2308
Egypt,1961,Stewards,5.0,5.0,4.0,5.0,8.5,0.2381
Egypt,1961,Craft,3.6,3.2,4.6,4.2,4.3,0.2057
Egypt,1961,Hands,3.6,3.2,4.8,3.4,3.7,0.1957
Egypt,1961,Archive,4.2,4.0,4.4,4.0,5.8,0.2145
Egypt,1961,Flow,4.6,2.8,5.6,3.2,3.4,0.198
Egypt,1962,Helm,4.8,4.2,7.6,4.6,3.7,0.187
Egypt,1962,Shield,4.4,4.6,8.0,3.8,2.9,0.1726
Egypt,1962,Lore,5.4,4.0,6.4,5.8,5.9,0.2156
Egypt,1962,Stewards,5.6,4.8,4.2,5.0,8.7,0.2411
Egypt,1962,Craft,3.8,3.4,4.0,4.6,5.5,0.2186
Egypt,1962,Hands,4.2,3.0,4.8,3.0,3.9,0.1996
Egypt,1962,Archive,3.8,4.4,4.0,4.2,6.3,0.2149
Egypt,1962,Flow,4.6,3.6,5.8,3.4,4.1,0.1964
Egypt,1963,Helm,4.2,4.2,8.0,4.2,2.5,0.1686
Egypt,1963,Shield,4.8,4.8,8.2,3.8,3.3,0.17
Egypt,1963,Lore,5.6,4.2,6.6,5.4,5.9,0.2064
Egypt,1963,Stewards,5.2,4.8,4.0,5.2,8.6,0.234
Egypt,1963,Craft,3.4,3.6,4.0,4.2,5.1,0.2034
Egypt,1963,Hands,4.2,3.2,5.2,3.2,3.8,0.1912
Egypt,1963,Archive,4.2,3.4,4.4,3.6,5.0,0.2041
Egypt,1963,Flow,4.2,3.4,5.6,3.4,3.7,0.1884
Egypt,1964,Helm,3.8,4.2,8.2,4.4,2.0,0.1571
Egypt,1964,Shield,4.0,5.2,8.2,4.0,3.0,0.1564
Egypt,1964,Lore,4.6,4.2,7.4,5.4,4.1,0.1796
Egypt,1964,Stewards,4.4,4.4,4.2,4.8,7.0,0.2097
Egypt,1964,Craft,4.0,4.2,4.2,4.0,6.0,0.1986
Egypt,1964,Hands,4.2,3.4,4.8,2.4,4.0,0.1807
Egypt,1964,Archive,4.6,4.2,4.8,3.6,5.8,0.1957
Egypt,1964,Flow,4.0,2.4,5.8,3.4,2.3,0.176
Egypt,1965,Helm,4.2,4.2,8.0,3.6,2.2,0.164
Egypt,1965,Shield,4.4,5.4,9.0,4.4,3.0,0.1616
Egypt,1965,Lore,5.2,4.0,7.6,5.6,4.4,0.1918
Egypt,1965,Stewards,5.0,4.4,4.6,4.8,7.2,0.2206
Egypt,1965,Craft,4.4,3.6,4.4,3.8,5.5,0.208
Egypt,1965,Hands,4.6,3.6,5.0,3.4,4.9,0.2
Egypt,1965,Archive,4.4,4.2,3.6,3.2,6.6,0.2126
Egypt,1965,Flow,5.0,3.4,5.8,4.4,4.8,0.2028
Egypt,1966,Helm,3.8,4.0,8.4,4.6,1.7,0.1683
Egypt,1966,Shield,4.0,4.8,8.0,4.2,2.9,0.1718
Egypt,1966,Lore,5.6,3.6,8.8,4.6,2.7,0.1821
Egypt,1966,Stewards,5.2,5.8,5.0,4.4,8.2,0.2223
Egypt,1966,Craft,3.6,3.0,3.0,5.2,6.2,0.2354
Egypt,1966,Hands,3.6,3.0,4.2,3.6,4.2,0.2048
Egypt,1966,Archive,4.8,4.4,3.0,4.4,8.4,0.2443
Egypt,1966,Flow,5.2,4.2,4.0,3.2,7.0,0.2256
Egypt,1967,Helm,4.0,3.0,8.2,4.0,0.8,0.1638
Egypt,1967,Shield,3.6,5.8,8.4,3.4,2.7,0.1528
Egypt,1967,Lore,5.2,4.2,8.0,5.6,4.2,0.1885
Egypt,1967,Stewards,4.2,5.4,4.4,4.8,7.6,0.2152
Egypt,1967,Craft,3.6,4.6,3.4,4.6,7.1,0.2183
Egypt,1967,Hands,4.0,2.6,3.4,4.0,5.2,0.2183
Egypt,1967,Archive,5.2,3.0,4.0,3.8,6.1,0.2243
Egypt,1967,Flow,4.6,4.6,6.2,4.6,5.3,0.1965
Egypt,1968,Helm,4.0,3.8,8.0,4.0,1.8,0.1579
Egypt,1968,Shield,3.6,4.4,9.0,3.0,0.5,0.1373
Egypt,1968,Lore,5.0,4.2,6.8,4.0,4.4,0.1804
Egypt,1968,Stewards,3.2,4.2,4.4,4.0,5.0,0.1854
Egypt,1968,Craft,3.6,3.6,4.4,4.4,5.0,0.1941
Egypt,1968,Hands,2.6,3.0,3.8,4.2,3.9,0.1855
Egypt,1968,Archive,5.0,3.8,3.4,3.0,6.9,0.2116
Egypt,1968,Flow,5.0,3.6,5.6,4.0,5.0,0.1936
Egypt,1969,Helm,3.0,4.8,7.0,3.8,2.7,0.1645
Egypt,1969,Shield,4.8,4.2,9.0,4.8,2.4,0.1714
Egypt,1969,Lore,5.8,5.4,7.0,5.8,7.1,0.2098
Egypt,1969,Stewards,4.8,4.8,4.0,4.0,7.6,0.2243
Egypt,1969,Craft,4.6,4.0,3.6,4.2,7.1,0.2286
Egypt,1969,Hands,3.4,3.2,4.8,3.6,3.6,0.1921
Egypt,1969,Archive,4.4,4.0,4.8,4.0,5.6,0.2091
Egypt,1969,Flow,5.2,4.2,4.6,3.6,6.6,0.2182
Egypt,1970,Helm,4.4,4.0,5.8,4.2,4.7,0.1948
Egypt,1970,Shield,4.8,5.0,8.2,4.2,3.7,0.1726
Egypt,1970,Lore,5.0,4.4,6.2,5.4,5.9,0.2052
Egypt,1970,Stewards,4.6,4.4,4.4,3.8,6.5,0.2107
Egypt,1970,Craft,5.0,3.8,4.4,5.4,7.1,0.2278
Egypt,1970,Hands,3.4,3.2,5.0,3.0,3.1,0.1805
Egypt,1970,Archive,3.8,4.2,5.2,3.2,4.4,0.1857
Egypt,1970,Flow,4.6,3.2,5.8,3.0,3.5,0.1876
Egypt,1971,Helm,5.4,4.6,5.8,5.0,6.7,0.2258
Egypt,1971,Shield,4.8,6.4,7.6,4.0,5.6,0.1893
Egypt,1971,Lore,5.4,4.4,6.4,6.6,6.7,0.2289
Egypt,1971,Stewards,4.2,4.8,5.2,4.0,5.8,0.2111
Egypt,1971,Craft,3.8,4.4,4.4,5.0,6.3,0.225
Egypt,1971,Hands,4.6,3.6,5.0,3.4,4.9,0.2136
Egypt,1971,Archive,5.0,4.2,4.4,4.0,6.8,0.232
Egypt,1971,Flow,5.2,4.0,4.4,3.4,6.5,0.2294
Egypt,1972,Helm,6.0,5.0,8.0,4.0,5.0,0.195
Egypt,1972,Shield,5.8,6.2,7.6,5.4,7.1,0.2069
Egypt,1972,Lore,5.8,5.2,6.0,5.4,7.7,0.2275
Egypt,1972,Stewards,3.8,3.6,5.2,4.6,4.5,0.2086
Egypt,1972,Craft,5.0,4.6,4.0,5.0,8.1,0.243
Egypt,1972,Hands,3.8,3.8,5.0,4.0,4.6,0.2057
Egypt,1972,Archive,4.0,4.2,5.4,3.6,4.6,0.1999
Egypt,1972,Flow,5.2,3.4,4.4,4.0,6.2,0.2317
Egypt,1973,Helm,6.6,6.0,6.6,6.0,9.0,0.2431
Egypt,1973,Shield,6.0,5.6,6.4,4.2,7.3,0.2272
Egypt,1973,Lore,6.4,3.8,4.8,7.0,8.9,0.2748
Egypt,1973,Stewards,4.4,2.6,5.8,3.8,3.1,0.2124
Egypt,1973,Craft,4.8,5.2,3.8,4.0,8.2,0.2471
Egypt,1973,Hands,4.0,2.8,5.2,3.2,3.2,0.2087
Egypt,1973,Archive,5.2,3.8,4.8,3.2,5.8,0.2311
Egypt,1973,Flow,5.8,3.4,5.2,3.0,5.5,0.2317
Egypt,1974,Helm,6.2,6.4,7.0,5.0,8.1,0.2165
Egypt,1974,Shield,5.8,7.0,7.4,6.0,8.4,0.2139
Egypt,1974,Lore,5.4,5.2,4.4,6.6,9.5,0.2548
Egypt,1974,Stewards,4.2,4.8,4.4,4.2,6.7,0.2213
Egypt,1974,Craft,4.2,2.2,4.6,6.2,4.9,0.2355
Egypt,1974,Hands,2.8,2.6,5.2,2.0,1.2,0.1674
Egypt,1974,Archive,4.0,4.2,4.4,4.0,5.8,0.2167
Egypt,1974,Flow,4.6,4.0,5.2,2.4,4.6,0.2002
Egypt,1975,Helm,6.0,4.8,6.4,5.4,7.1,0.2341
Egypt,1975,Shield,6.6,5.4,6.0,4.8,8.4,0.2418
Egypt,1975,Lore,6.2,4.4,5.8,4.8,7.2,0.2403
Egypt,1975,Stewards,4.6,4.2,4.8,4.6,6.3,0.2338
Egypt,1975,Craft,4.2,4.2,3.8,4.4,6.8,0.2405
Egypt,1975,Hands,3.8,2.8,5.0,3.4,3.3,0.2087
Egypt,1975,Archive,3.6,4.2,4.6,4.4,5.4,0.2208
Egypt,1975,Flow,5.4,3.2,5.2,4.0,5.4,0.2333
Egypt,1976,Helm,5.6,4.8,5.8,5.2,7.2,0.2298
Egypt,1976,Shield,6.0,5.0,4.4,5.4,9.3,0.2553
Egypt,1976,Lore,5.0,4.8,6.2,5.4,6.3,0.2194
Egypt,1976,Stewards,3.6,3.2,6.0,4.2,2.9,0.1954
Egypt,1976,Craft,3.4,4.0,4.0,5.0,5.9,0.2252
Egypt,1976,Hands,3.8,2.8,5.0,3.4,3.3,0.2028
Egypt,1976,Archive,4.6,3.8,5.4,4.2,5.1,0.2157
Egypt,1976,Flow,4.0,3.8,4.8,4.2,5.1,0.2156
Egypt,1977,Helm,5.6,5.4,5.0,5.6,8.8,0.2421
Egypt,1977,Shield,5.8,5.6,5.0,4.0,8.4,0.2324
Egypt,1977,Lore,5.8,5.0,6.0,4.8,7.2,0.2249
Egypt,1977,Stewards,3.0,3.4,6.2,4.6,2.5,0.1873
Egypt,1977,Craft,4.4,3.6,4.0,5.2,6.6,0.2388
Egypt,1977,Hands,5.0,4.0,5.6,3.4,5.1,0.2101
Egypt,1977,Archive,4.0,3.4,4.4,3.2,4.6,0.2098
Egypt,1977,Flow,4.2,3.4,6.2,3.4,3.1,0.1926
Egypt,1978,Helm,5.4,5.2,4.6,6.0,9.0,0.261
Egypt,1978,Shield,6.0,5.6,4.4,5.0,9.7,0.2633
Egypt,1978,Lore,5.4,3.8,5.8,5.4,6.1,0.2389
Egypt,1978,Stewards,3.2,4.2,6.4,5.0,3.5,0.2004
Egypt,1978,Craft,4.6,3.0,4.0,5.4,6.3,0.2553
Egypt,1978,Hands,3.4,3.8,4.2,2.6,4.3,0.2061
Egypt,1978,Archive,3.8,4.4,3.8,4.6,6.7,0.2396
Egypt,1978,Flow,5.0,4.4,5.4,3.8,5.9,0.2266
Egypt,1979,Helm,7.8,5.6,4.6,4.4,11.0,0.2727
Egypt,1979,Shield,5.4,5.8,3.6,4.4,9.8,0.2601
Egypt,1979,Lore,4.2,3.8,5.6,5.6,5.2,0.2264
Egypt,1979,Stewards,3.8,4.6,6.4,3.2,3.6,0.1899
Egypt,1979,Craft,4.2,3.4,3.6,5.4,6.7,0.253
Egypt,1979,Hands,3.2,3.6,5.0,3.4,3.5,0.1996
Egypt,1979,Archive,3.8,4.2,4.8,5.2,5.8,0.2287
Egypt,1979,Flow,4.4,4.0,5.2,4.2,5.3,0.2224
Egypt,1980,Helm,5.6,5.4,6.8,3.4,5.9,0.1988
Egypt,1980,Shield,5.8,5.0,3.4,5.8,10.3,0.2641
Egypt,1980,Lore,5.4,3.6,5.4,5.6,6.4,0.2302
Egypt,1980,Stewards,4.2,3.0,6.2,3.6,2.8,0.191
Egypt,1980,Craft,3.0,6.0,5.0,4.4,6.2,0.196
Egypt,1980,Hands,4.2,4.0,5.0,3.4,4.9,0.2035
Egypt,1980,Archive,4.0,4.0,5.2,3.6,4.6,0.2001
Egypt,1980,Flow,4.0,4.4,5.4,3.8,4.9,0.1995
Egypt,1981,Helm,3.6,4.4,7.2,4.2,2.9,0.1742
Egypt,1981,Shield,5.2,6.6,3.0,5.0,11.3,0.2521
Egypt,1981,Lore,3.4,4.6,5.2,5.2,5.4,0.2027
