Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Egypt,1952,Helm,0.5477,0.5477,0.4472,0.5477,2.0,3.0,5.0
Egypt,1952,Shield,1.0,0.8367,0.5477,0.4472,3.0,6.0,9.0
Egypt,1952,Lore,0.8367,0.7071,0.0,0.4472,3.0,4.5,7.5
Egypt,1952,Stewards,0.4472,0.5477,0.7071,0.5477,2.5,3.5,6.0
Egypt,1952,Craft,0.5477,0.5477,0.5477,0.4472,3.5,1.5,5.0
Egypt,1952,Hands,0.8367,0.4472,0.8367,0.4472,2.5,2.5,5.0
Egypt,1952,Archive,0.0,0.4472,0.4472,0.5477,0.5,5.5,6.0
Egypt,1952,Flow,0.7071,0.4472,0.0,0.0,3.0,1.5,4.5
Egypt,1953,Helm,0.4472,0.4472,0.5477,0.4472,1.5,4.0,5.5
Egypt,1953,Shield,0.0,0.7071,0.5477,0.4472,3.0,5.0,8.0
Egypt,1953,Lore,0.5477,0.4472,0.5477,0.0,1.0,7.5,8.5
Egypt,1953,Stewards,0.7071,0.5477,0.4472,0.7071,2.5,2.5,5.0
Egypt,1953,Craft,0.4472,0.4472,0.5477,0.7071,1.5,4.0,5.5
Egypt,1953,Hands,0.8367,0.5477,0.0,0.4472,3.0,2.5,5.5
Egypt,1953,Archive,0.4472,0.8944,0.5477,0.5477,1.5,6.0,7.5
Egypt,1953,Flow,0.0,0.5477,0.4472,0.0,2.0,2.5,4.5
Egypt,1954,Helm,0.8944,0.5477,0.7071,0.5477,3.0,4.5,7.5
Egypt,1954,Shield,0.7071,0.8367,0.4472,0.5477,4.0,5.0,9.0
Egypt,1954,Lore,0.7071,0.4472,0.5477,0.4472,2.5,7.5,10.0
Egypt,1954,Stewards,0.8367,0.5477,0.5477,0.4472,3.0,4.0,7.0
Egypt,1954,Craft,0.0,0.4472,0.7071,0.0,2.0,3.0,5.0
Egypt,1954,Hands,0.8367,0.4472,0.5477,0.7071,3.0,3.0,6.0
Egypt,1954,Archive,0.0,0.7071,0.7071,0.7071,2.0,5.0,7.0
Egypt,1954,Flow,0.5477,0.8944,0.5477,0.7071,2.0,1.0,3.0
Egypt,1955,Helm,0.4472,0.8367,0.4472,0.4472,2.5,6.0,8.5
Egypt,1955,Shield,0.5477,0.0,0.5477,0.5477,2.0,5.5,7.5
Egypt,1955,Lore,0.7071,0.5477,0.8367,0.4472,2.0,8.0,10.0
Egypt,1955,Stewards,0.4472,0.4472,0.5477,0.5477,2.0,5.0,7.0
Egypt,1955,Craft,0.7071,0.4472,0.4472,0.5477,1.5,3.5,5.0
