Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Eritrea,1993,Helm,7.2,6.0,3.4,5.4,12.5,0.2823
Eritrea,1993,Shield,7.0,5.8,3.4,4.0,11.4,0.27
Eritrea,1993,Lore,6.6,5.6,2.6,5.0,12.1,0.2202
Eritrea,1993,Stewards,4.4,2.8,4.4,2.4,4.0,0.1613
Eritrea,1993,Craft,5.4,5.0,2.6,4.8,10.2,0.2694
Eritrea,1993,Hands,4.6,5.4,3.4,3.8,8.5,0.2382
Eritrea,1993,Archive,3.6,3.4,5.2,3.4,3.5,0.1522
Eritrea,1993,Flow,4.2,4.4,3.2,3.0,6.9,0.2272
Eritrea,1994,Helm,7.2,6.2,4.0,4.4,11.6,0.2493
Eritrea,1994,Shield,7.0,5.6,4.6,4.6,10.3,0.2404
Eritrea,1994,Lore,6.0,5.4,3.2,4.4,10.4,0.1939
Eritrea,1994,Stewards,4.4,3.6,4.2,3.2,5.4,0.161
Eritrea,1994,Craft,5.0,5.0,3.2,4.0,8.8,0.2329
Eritrea,1994,Hands,4.6,5.2,4.2,3.2,7.2,0.2083
Eritrea,1994,Archive,4.0,3.0,4.2,2.6,4.1,0.1523
Eritrea,1994,Flow,4.0,4.0,3.4,3.0,6.1,0.2079
Eritrea,1995,Helm,7.2,6.0,3.8,4.6,11.7,0.2606
Eritrea,1995,Shield,7.2,6.0,3.6,4.0,11.6,0.2593
Eritrea,1995,Lore,6.0,4.8,2.6,5.2,10.8,0.2097
Eritrea,1995,Stewards,3.8,3.0,4.6,3.0,3.7,0.1527
Eritrea,1995,Craft,4.6,4.6,3.0,3.6,8.0,0.2332
Eritrea,1995,Hands,5.2,5.4,3.2,3.0,8.9,0.2333
Eritrea,1995,Archive,3.8,2.8,4.2,3.0,3.9,0.1564
Eritrea,1995,Flow,3.8,3.8,3.2,3.0,5.9,0.213
Eritrea,1996,Helm,6.8,6.0,4.0,5.4,11.5,0.2616
Eritrea,1996,Shield,7.0,5.8,3.6,4.4,11.4,0.2626
Eritrea,1996,Lore,6.0,5.0,2.6,4.8,10.8,0.21
Eritrea,1996,Stewards,4.2,3.4,4.0,3.2,5.2,0.1663
Eritrea,1996,Craft,5.0,5.0,2.8,4.4,9.4,0.2508
Eritrea,1996,Hands,5.0,5.2,3.8,2.8,7.8,0.223
Eritrea,1996,Archive,4.0,3.2,4.6,3.0,4.1,0.1568
Eritrea,1996,Flow,4.2,4.0,3.4,3.0,6.3,0.2186
Eritrea,1997,Helm,7.0,6.2,4.0,5.2,11.8,0.2536
Eritrea,1997,Shield,6.6,6.0,4.4,4.2,10.3,0.2375
Eritrea,1997,Lore,5.8,4.8,3.2,5.2,10.0,0.1968
Eritrea,1997,Stewards,4.2,3.4,4.0,2.6,4.9,0.1565
Eritrea,1997,Craft,4.6,5.0,3.2,4.4,8.6,0.2322
