Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Eritrea,1993,Helm,0.84,0.71,0.89,0.55,4.5,10.5,15.0
Eritrea,1993,Shield,0.71,1.3,1.14,0.0,5.0,9.0,14.0
Eritrea,1993,Lore,0.55,0.55,1.34,1.58,5.0,9.5,14.5
Eritrea,1993,Stewards,1.14,1.48,1.14,0.89,3.0,3.0,6.0
Eritrea,1993,Craft,1.14,0.71,1.34,0.45,6.5,6.0,12.5
Eritrea,1993,Hands,2.07,1.67,0.89,0.84,6.5,5.0,11.5
Eritrea,1993,Archive,0.89,1.34,1.48,0.89,5.0,1.0,6.0
Eritrea,1993,Flow,0.84,0.55,1.48,1.22,5.5,3.5,9.0
Eritrea,1994,Helm,0.45,0.84,0.71,0.89,2.0,10.5,12.5
Eritrea,1994,Shield,1.0,0.89,0.89,0.55,4.5,7.0,11.5
Eritrea,1994,Lore,0.71,0.55,0.45,0.55,4.5,8.0,12.5
Eritrea,1994,Stewards,1.14,0.55,0.45,0.45,3.0,3.5,6.5
Eritrea,1994,Craft,0.71,0.0,0.45,0.71,2.0,8.0,10.0
Eritrea,1994,Hands,0.55,0.45,0.84,0.84,1.5,6.5,8.0
Eritrea,1994,Archive,0.71,0.0,0.45,0.55,2.5,3.0,5.5
Eritrea,1994,Flow,0.71,0.71,0.55,0.71,3.0,4.5,7.5
Eritrea,1995,Helm,0.84,0.71,0.45,0.55,2.5,10.5,13.0
Eritrea,1995,Shield,0.45,0.71,0.55,0.71,2.5,10.5,13.0
Eritrea,1995,Lore,0.0,0.45,0.55,0.84,2.5,9.5,12.0
Eritrea,1995,Stewards,0.45,0.71,0.55,0.71,2.5,2.5,5.0
Eritrea,1995,Craft,0.55,0.55,1.0,0.55,2.0,7.0,9.0
Eritrea,1995,Hands,0.45,0.55,0.84,0.71,3.0,7.5,10.5
Eritrea,1995,Archive,0.84,0.84,0.45,0.71,2.5,2.5,5.0
Eritrea,1995,Flow,0.45,0.84,0.45,0.71,3.0,4.5,7.5
Eritrea,1996,Helm,0.84,0.0,0.0,1.14,2.0,10.5,12.5
Eritrea,1996,Shield,0.0,0.45,0.55,0.89,2.0,10.0,12.0
Eritrea,1996,Lore,0.71,0.71,0.55,0.45,2.0,9.5,11.5
Eritrea,1996,Stewards,0.84,1.14,0.71,0.45,3.0,3.5,6.5
Eritrea,1996,Craft,1.0,0.0,0.45,0.55,2.5,8.0,10.5
Eritrea,1996,Hands,0.71,0.84,0.84,0.45,3.5,6.0,9.5
Eritrea,1996,Archive,0.71,0.45,0.55,0.0,1.0,3.5,4.5
Eritrea,1996,Flow,0.45,0.0,0.89,0.71,3.5,4.0,7.5
Eritrea,1997,Helm,0.0,1.1,0.71,0.84,2.5,11.0,13.5
Eritrea,1997,Shield,0.55,0.0,0.55,0.84,1.5,9.5,11.0
Eritrea,1997,Lore,0.45,0.45,0.84,0.45,3.0,8.5,11.5
Eritrea,1997,Stewards,0.45,0.55,1.22,0.55,1.5,4.0,5.5
Eritrea,1997,Craft,0.55,0.71,1.1,0.55,4.0,6.5,10.5
Eritrea,1997,Hands,0.84,0.55,0.45,0.55,3.0,5.5,8.5
Eritrea,1997,Archive,0.45,0.71,0.55,1.0,3.0,2.0,5.0
Eritrea,1997,Flow,0.0,0.55,0.0,0.55,1.5,5.0,6.5
Eritrea,1998,Helm,1.14,1.14,0.55,0.84,3.5,4.5,8.0
Eritrea,1998,Shield,0.84,0.89,0.84,1.3,3.5,5.5,9.0
Eritrea,1998,Lore,1.41,1.0,0.89,0.84,6.5,3.5,10.0
Eritrea,1998,Stewards,0.55,1.14,1.1,1.41,6.5,-2.0,4.5
Eritrea,1998,Craft,1.0,1.14,0.71,0.84,3.0,3.0,6.0
Eritrea,1998,Hands,1.3,0.55,0.89,0.45,5.5,3.5,9.0
Eritrea,1998,Archive,0.84,1.0,0.55,0.84,2.0,1.0,3.0
Eritrea,1998,Flow,0.84,0.84,1.14,0.89,2.0,-1.5,0.5
Eritrea,1999,Helm,0.55,1.14,1.0,1.52,6.0,3.0,9.0
Eritrea,1999,Shield,0.55,1.22,0.89,1.67,5.0,4.5,9.5
Eritrea,1999,Lore,0.71,0.55,1.14,1.0,3.5,5.5,9.0
Eritrea,1999,Stewards,1.14,1.14,0.71,0.45,6.0,-2.5,3.5
Eritrea,1999,Craft,1.48,0.0,1.3,2.05,6.0,0.5,6.5
Eritrea,1999,Hands,0.55,0.71,0.71,1.1,4.0,4.0,8.0
Eritrea,1999,Archive,0.84,1.1,1.22,1.34,5.5,-2.5,3.0
Eritrea,1999,Flow,1.22,1.0,1.0,0.71,4.5,-0.5,4.0
Eritrea,2000,Helm,1.87,0.84,0.55,0.55,8.0,4.5,12.5
Eritrea,2000,Shield,0.84,0.89,1.14,1.14,3.5,6.0,9.5
Eritrea,2000,Lore,0.45,0.84,1.3,0.45,3.0,5.0,8.0
Eritrea,2000,Stewards,0.55,1.48,0.84,1.14,2.0,0.5,2.5
Eritrea,2000,Craft,0.45,1.92,0.71,1.0,4.5,1.5,6.0
Eritrea,2000,Hands,0.45,1.14,1.79,1.0,4.0,4.0,8.0
Eritrea,2000,Archive,1.3,0.55,0.84,1.0,4.0,0.0,4.0
Eritrea,2000,Flow,1.3,0.84,0.89,0.55,4.0,0.0,4.0
Eritrea,2001,Helm,0.84,0.45,0.89,1.67,2.0,6.5,8.5
Eritrea,2001,Shield,0.45,1.79,1.3,0.84,5.0,4.0,9.0
Eritrea,2001,Lore,1.0,1.1,1.52,1.1,6.0,3.5,9.5
Eritrea,2001,Stewards,1.14,1.52,1.3,0.89,5.0,-1.5,3.5
Eritrea,2001,Craft,1.14,1.3,0.84,0.55,3.5,1.5,5.0
Eritrea,2001,Hands,0.89,1.3,0.55,0.84,1.5,3.0,4.5
Eritrea,2001,Archive,0.89,0.71,1.14,0.55,4.5,-5.5,-1.0
Eritrea,2001,Flow,0.55,0.55,1.3,0.55,3.5,-1.0,2.5
Eritrea,2002,Helm,0.84,0.71,1.0,0.89,4.5,6.0,10.5
Eritrea,2002,Shield,0.55,0.45,0.89,0.84,3.5,6.0,9.5
Eritrea,2002,Lore,0.71,0.71,0.71,1.0,2.5,3.0,5.5
Eritrea,2002,Stewards,1.79,1.0,0.89,0.89,6.5,-2.5,4.0
Eritrea,2002,Craft,1.52,0.89,1.58,1.3,5.5,-0.5,5.0
Eritrea,2002,Hands,1.48,0.84,0.45,0.45,4.0,2.5,6.5
Eritrea,2002,Archive,0.55,1.34,0.55,0.55,4.0,-3.0,1.0
Eritrea,2002,Flow,0.45,0.71,1.0,1.67,4.5,-1.5,3.0
Eritrea,2003,Helm,1.14,0.84,1.3,1.52,6.0,5.5,11.5
Eritrea,2003,Shield,0.71,0.84,1.3,0.45,4.0,6.0,10.0
Eritrea,2003,Lore,1.79,0.84,0.89,1.0,6.0,2.0,8.0
Eritrea,2003,Stewards,0.55,1.14,0.84,0.84,6.0,-1.0,5.0
Eritrea,2003,Craft,1.22,1.14,1.14,0.71,5.0,-2.5,2.5
Eritrea,2003,Hands,0.89,1.1,0.84,0.84,4.5,2.5,7.0
Eritrea,2003,Archive,0.84,0.55,1.79,0.0,5.0,-4.5,0.5
Eritrea,2003,Flow,0.84,1.41,1.0,0.45,6.0,-2.0,4.0
Eritrea,2004,Helm,0.45,0.84,0.89,0.0,4.0,6.5,10.5
Eritrea,2004,Shield,0.84,0.55,0.55,0.71,3.5,5.0,8.5
Eritrea,2004,Lore,0.84,0.45,0.55,0.45,3.0,2.0,5.0
