Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Ethiopia,1960,Helm,4.8,4.4,5.6,4.6,5.9,0.233
Ethiopia,1960,Shield,5.2,4.2,3.8,2.8,7.0,0.2478
Ethiopia,1960,Lore,6.0,4.8,3.0,6.2,10.9,0.3016
Ethiopia,1960,Stewards,4.6,2.6,3.8,4.0,5.4,0.2507
Ethiopia,1960,Craft,3.0,3.4,3.0,3.8,5.3,0.2339
Ethiopia,1960,Hands,4.2,2.8,5.2,2.6,3.1,0.211
Ethiopia,1960,Archive,4.4,3.0,3.4,3.8,5.9,0.2516
Ethiopia,1960,Flow,4.2,3.0,4.2,3.4,4.7,0.2328
Ethiopia,1961,Helm,4.6,3.8,5.0,4.0,5.4,0.2241
Ethiopia,1961,Shield,5.2,4.2,4.4,3.2,6.6,0.2332
Ethiopia,1961,Lore,5.2,4.8,3.4,5.6,9.4,0.2684
Ethiopia,1961,Stewards,4.0,3.0,4.2,3.8,4.7,0.2245
Ethiopia,1961,Craft,2.8,3.0,3.0,4.0,4.8,0.2234
Ethiopia,1961,Hands,4.0,2.8,4.8,3.2,3.6,0.2108
Ethiopia,1961,Archive,4.0,3.2,4.6,4.0,4.6,0.2212
Ethiopia,1961,Flow,4.0,2.6,4.0,3.4,4.3,0.2232
Ethiopia,1962,Helm,4.6,4.0,5.4,3.6,5.0,0.2109
Ethiopia,1962,Shield,5.2,4.6,4.6,2.6,6.5,0.2203
Ethiopia,1962,Lore,5.2,5.0,3.6,5.6,9.4,0.2597
Ethiopia,1962,Stewards,3.6,3.0,4.6,4.4,4.2,0.2148
Ethiopia,1962,Craft,2.8,3.2,3.4,4.0,4.6,0.2137
Ethiopia,1962,Hands,4.0,3.0,5.2,3.0,3.3,0.1996
Ethiopia,1962,Archive,4.0,3.2,3.4,4.0,5.8,0.2326
Ethiopia,1962,Flow,3.8,3.0,4.0,3.0,4.3,0.2115
Ethiopia,1963,Helm,4.8,4.0,5.8,4.0,5.0,0.2113
Ethiopia,1963,Shield,4.8,3.8,4.6,2.8,5.4,0.2162
Ethiopia,1963,Lore,5.6,4.4,3.6,6.0,9.4,0.267
Ethiopia,1963,Stewards,4.0,3.2,4.6,3.6,4.4,0.2125
Ethiopia,1963,Craft,3.0,3.2,3.6,4.0,4.6,0.214
Ethiopia,1963,Hands,4.4,3.2,5.6,3.0,3.5,0.2
Ethiopia,1963,Archive,4.4,3.0,4.2,4.0,5.2,0.227
Ethiopia,1963,Flow,3.8,3.0,4.2,3.0,4.1,0.2085
Ethiopia,1964,Helm,4.0,3.8,6.0,4.2,3.9,0.1928
Ethiopia,1964,Shield,5.0,4.0,5.2,2.6,5.1,0.2014
Ethiopia,1964,Lore,5.4,5.0,4.2,5.6,9.0,0.2427
Ethiopia,1964,Stewards,3.8,3.0,4.8,4.2,4.1,0.2045
Ethiopia,1964,Craft,3.0,3.2,3.4,4.2,4.9,0.2102
Ethiopia,1964,Hands,4.2,3.0,5.2,2.8,3.4,0.1925
Ethiopia,1964,Archive,3.8,2.8,4.6,4.2,4.1,0.2069
Ethiopia,1964,Flow,3.6,2.8,5.0,3.0,2.9,0.1882
Ethiopia,1965,Helm,3.8,4.0,6.6,3.2,2.8,0.1756
Ethiopia,1965,Shield,4.6,3.8,5.4,3.2,4.6,0.1996
Ethiopia,1965,Lore,5.6,4.4,4.2,6.2,8.9,0.2498
Ethiopia,1965,Stewards,3.8,3.2,5.2,3.4,3.5,0.1931
Ethiopia,1965,Craft,3.6,2.6,3.2,4.0,5.0,0.2204
Ethiopia,1965,Hands,4.2,2.8,5.0,3.0,3.5,0.1972
Ethiopia,1965,Archive,4.0,3.0,3.8,3.6,5.0,0.2147
Ethiopia,1965,Flow,3.6,3.2,4.4,3.0,3.9,0.1957
Ethiopia,1966,Helm,3.6,3.8,6.8,3.6,2.4,0.1685
Ethiopia,1966,Shield,5.0,4.0,5.8,3.2,4.8,0.193
Ethiopia,1966,Lore,5.2,4.2,4.2,5.4,7.9,0.2313
Ethiopia,1966,Stewards,3.6,3.0,5.0,3.6,3.4,0.1879
Ethiopia,1966,Craft,2.6,3.0,3.4,4.0,4.2,0.1954
Ethiopia,1966,Hands,4.2,3.0,5.2,2.6,3.3,0.1847
Ethiopia,1966,Archive,4.2,3.2,4.6,4.2,4.9,0.2055
Ethiopia,1966,Flow,3.4,3.0,4.8,3.2,3.2,0.1836
Ethiopia,1967,Helm,3.4,3.4,7.0,3.4,1.5,0.1571
Ethiopia,1967,Shield,4.8,3.6,5.8,3.0,4.1,0.1829
Ethiopia,1967,Lore,4.6,4.6,5.0,5.2,6.8,0.206
Ethiopia,1967,Stewards,3.6,2.8,5.8,3.4,2.3,0.1716
Ethiopia,1967,Craft,3.0,2.6,3.4,4.2,4.3,0.1969
Ethiopia,1967,Hands,4.2,2.2,5.2,3.2,2.8,0.1838
Ethiopia,1967,Archive,3.6,3.2,4.2,3.4,4.3,0.1888
Ethiopia,1967,Flow,3.6,3.2,5.2,3.2,3.2,0.1761
Ethiopia,1968,Helm,3.6,3.2,7.4,3.6,1.2,0.1552
Ethiopia,1968,Shield,4.4,4.2,6.0,3.4,4.3,0.1768
Ethiopia,1968,Lore,5.0,4.6,5.6,5.6,6.8,0.2028
Ethiopia,1968,Stewards,3.2,3.2,5.2,3.2,2.8,0.1684
Ethiopia,1968,Craft,3.0,3.0,3.4,4.0,4.6,0.1923
Ethiopia,1968,Hands,4.2,3.2,5.6,2.8,3.2,0.1738
Ethiopia,1968,Archive,3.6,2.8,4.4,4.0,4.0,0.1892
Ethiopia,1968,Flow,3.6,3.0,5.4,3.0,2.7,0.1699
Ethiopia,1969,Helm,3.2,3.0,7.4,3.4,0.5,0.1482
Ethiopia,1969,Shield,4.8,3.6,6.4,3.0,3.5,0.1733
Ethiopia,1969,Lore,5.0,4.6,5.4,5.4,6.9,0.2029
Ethiopia,1969,Stewards,3.6,3.2,5.4,3.2,3.0,0.1709
Ethiopia,1969,Craft,3.0,3.0,4.0,4.6,4.3,0.1902
Ethiopia,1969,Hands,4.4,3.0,5.4,3.0,3.5,0.1791
Ethiopia,1969,Archive,3.2,3.2,4.2,4.0,4.2,0.1853
Ethiopia,1969,Flow,3.4,2.8,5.4,3.0,2.3,0.1665
Ethiopia,1970,Helm,3.0,3.4,7.6,2.6,0.1,0.1328
Ethiopia,1970,Shield,4.6,4.0,6.8,2.8,3.2,0.16
Ethiopia,1970,Lore,5.0,4.0,5.8,5.4,5.9,0.1915
Ethiopia,1970,Stewards,3.4,3.0,6.0,3.6,2.2,0.1601
Ethiopia,1970,Craft,3.0,3.4,4.0,4.0,4.4,0.1785
Ethiopia,1970,Hands,4.4,3.0,5.6,3.4,3.5,0.1741
Ethiopia,1970,Archive,3.4,2.6,5.0,3.8,2.9,0.1716
Ethiopia,1970,Flow,3.2,2.8,5.4,3.8,2.5,0.1652
Ethiopia,1971,Helm,2.8,3.8,8.2,3.0,-0.1,0.1206
Ethiopia,1971,Shield,4.6,4.0,7.0,2.8,3.0,0.1478
Ethiopia,1971,Lore,3.8,4.0,6.0,5.0,4.3,0.1634
Ethiopia,1971,Stewards,4.0,3.6,6.2,3.2,3.0,0.1515
Ethiopia,1971,Craft,2.4,3.0,4.0,3.2,3.0,0.1517
Ethiopia,1971,Hands,3.2,2.0,6.2,3.4,0.7,0.1442
Ethiopia,1971,Archive,3.6,1.8,4.2,3.4,2.9,0.1671
Ethiopia,1971,Flow,2.6,3.4,5.8,3.2,1.8,0.1388
Ethiopia,1972,Helm,2.2,3.4,8.2,3.4,-0.9,0.1166
Ethiopia,1972,Shield,4.0,3.4,7.4,3.2,1.6,0.1408
Ethiopia,1972,Lore,4.2,4.2,7.0,4.6,3.7,0.1551
Ethiopia,1972,Stewards,3.0,2.8,6.4,3.6,1.2,0.1415
Ethiopia,1972,Craft,4.0,2.6,4.0,3.2,4.2,0.1719
Ethiopia,1972,Hands,3.8,3.0,6.6,2.4,1.4,0.1398
Ethiopia,1972,Archive,3.4,3.4,5.2,4.4,3.8,0.1625
Ethiopia,1972,Flow,3.6,3.8,5.4,3.0,3.5,0.1525
Ethiopia,1973,Helm,1.8,2.6,9.0,3.0,-3.1,0.1008
Ethiopia,1973,Shield,2.8,4.2,7.6,2.4,0.6,0.1174
Ethiopia,1973,Lore,4.0,3.8,5.8,6.8,5.4,0.1733
Ethiopia,1973,Stewards,3.6,2.6,5.8,3.2,2.0,0.1469
Ethiopia,1973,Craft,3.6,4.0,5.6,3.2,3.6,0.1486
Ethiopia,1973,Hands,3.0,2.4,5.6,3.6,1.6,0.1449
Ethiopia,1973,Archive,2.2,2.8,4.4,3.8,2.5,0.147
Ethiopia,1973,Flow,3.8,3.6,5.4,3.0,3.5,0.1511
Ethiopia,1974,Helm,2.2,4.2,9.2,3.4,-1.1,0.1057
Ethiopia,1974,Shield,3.4,3.2,8.4,3.8,0.1,0.1259
Ethiopia,1974,Lore,4.4,4.6,8.0,4.8,3.4,0.1435
Ethiopia,1974,Stewards,3.6,3.2,6.8,2.8,1.4,0.1338
