Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Ethiopia,1960,Helm,0.4472,0.5477,0.5477,0.5477,1.5,5.0,6.5
Ethiopia,1960,Shield,0.4472,0.4472,0.4472,0.8367,2.0,6.0,8.0
Ethiopia,1960,Lore,0.7071,1.0954,0.7071,0.8367,3.5,9.0,12.5
Ethiopia,1960,Stewards,0.5477,0.8944,0.4472,0.7071,4.5,2.5,7.0
Ethiopia,1960,Craft,0.0,0.5477,0.0,0.4472,1.0,5.0,6.0
Ethiopia,1960,Hands,0.4472,0.8367,0.4472,0.5477,1.0,2.5,3.5
Ethiopia,1960,Archive,0.5477,0.0,0.5477,0.4472,2.0,5.0,7.0
Ethiopia,1960,Flow,0.8367,0.0,0.4472,0.5477,2.0,3.5,5.5
Ethiopia,1961,Helm,0.5477,0.4472,0.0,0.7071,2.0,4.0,6.0
Ethiopia,1961,Shield,0.4472,0.8367,0.5477,0.8367,1.0,6.0,7.0
Ethiopia,1961,Lore,0.4472,0.4472,0.5477,0.8944,2.5,8.5,11.0
Ethiopia,1961,Stewards,0.7071,0.0,0.4472,0.4472,3.0,3.0,6.0
Ethiopia,1961,Craft,0.4472,0.7071,0.7071,0.0,3.0,3.0,6.0
Ethiopia,1961,Hands,0.7071,0.4472,0.8367,0.8367,3.0,2.0,5.0
Ethiopia,1961,Archive,0.0,0.4472,0.5477,0.7071,1.5,4.0,5.5
Ethiopia,1961,Flow,0.7071,0.5477,1.0,0.8944,1.0,4.0,5.0
Ethiopia,1962,Helm,0.5477,0.7071,0.5477,0.5477,3.5,2.5,6.0
Ethiopia,1962,Shield,0.4472,0.5477,0.5477,0.5477,2.5,5.0,7.5
Ethiopia,1962,Lore,1.0954,0.7071,0.8944,0.5477,5.0,7.0,12.0
Ethiopia,1962,Stewards,0.5477,0.7071,0.8944,0.8944,2.0,3.5,5.5
Ethiopia,1962,Craft,0.4472,0.4472,0.5477,0.0,2.0,4.0,6.0
Ethiopia,1962,Hands,0.7071,0.0,0.4472,0.0,2.0,2.5,4.5
Ethiopia,1962,Archive,0.0,0.4472,0.5477,0.0,2.0,5.0,7.0
