Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Mauritania,1960,Helm,4.2,3.0,3.8,3.0,4.9,0.2154
Mauritania,1960,Shield,3.0,3.0,4.2,3.2,3.4,0.1939
Mauritania,1960,Lore,7.2,6.2,3.2,5.8,13.1,0.2829
Mauritania,1960,Stewards,3.2,3.0,4.0,3.0,3.7,0.1973
Mauritania,1960,Craft,2.2,2.2,3.0,3.0,2.9,0.191
Mauritania,1960,Hands,2.6,1.8,6.0,2.4,-0.4,0.1587
Mauritania,1960,Archive,7.2,4.8,4.2,6.0,10.8,0.269
Mauritania,1960,Flow,3.0,2.0,4.2,1.8,1.7,0.1775
Mauritania,1961,Helm,3.8,3.2,4.2,3.0,4.3,0.2017
Mauritania,1961,Shield,3.0,3.0,4.4,3.0,3.1,0.1868
Mauritania,1961,Lore,6.8,6.0,3.2,5.8,12.5,0.2749
Mauritania,1961,Stewards,3.2,3.0,4.2,3.0,3.5,0.1924
Mauritania,1961,Craft,1.8,2.2,3.4,3.4,2.3,0.1813
Mauritania,1961,Hands,3.0,2.0,6.0,2.2,0.1,0.1611
Mauritania,1961,Archive,6.6,5.2,3.8,6.0,11.0,0.2653
Mauritania,1961,Flow,3.2,2.2,4.2,2.2,2.3,0.1835
Mauritania,1962,Helm,3.6,3.0,4.8,2.8,3.2,0.1855
Mauritania,1962,Shield,3.6,3.2,4.2,3.2,4.2,0.1963
Mauritania,1962,Lore,6.8,6.0,3.6,5.6,12.0,0.2614
Mauritania,1962,Stewards,2.8,2.8,3.8,3.0,3.3,0.1862
Mauritania,1962,Craft,1.8,1.8,3.0,2.8,2.0,0.1737
Mauritania,1962,Hands,2.6,2.0,6.2,2.0,-0.6,0.1471
Mauritania,1962,Archive,7.0,4.8,4.0,6.4,11.0,0.2626
Mauritania,1962,Flow,2.8,2.0,4.2,2.0,1.6,0.1702
Mauritania,1963,Helm,3.8,3.0,4.8,3.0,3.5,0.1911
Mauritania,1963,Shield,3.2,3.2,4.6,2.8,3.2,0.1824
Mauritania,1963,Lore,6.6,6.4,3.2,6.0,12.8,0.269
