Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Mauritania,1960,Helm,0.4472,0.0,0.4472,0.7071,2.0,4.0,6.0
Mauritania,1960,Shield,0.0,0.0,0.4472,0.8367,1.0,3.0,4.0
Mauritania,1960,Lore,0.8367,0.4472,0.4472,0.4472,2.0,12.0,14.0
Mauritania,1960,Stewards,0.4472,0.0,0.0,0.7071,1.5,3.0,4.5
Mauritania,1960,Craft,0.8367,1.0954,0.7071,0.7071,3.0,1.5,4.5
Mauritania,1960,Hands,0.5477,0.4472,0.7071,0.5477,1.0,-1.0,0.0
Mauritania,1960,Archive,0.4472,0.4472,0.4472,0.0,2.0,10.0,12.0
Mauritania,1960,Flow,0.7071,0.0,0.4472,0.4472,1.0,1.0,2.0
Mauritania,1961,Helm,0.8367,0.4472,0.8367,0.7071,4.5,2.0,6.5
Mauritania,1961,Shield,0.7071,0.7071,0.5477,0.0,2.0,2.5,4.5
Mauritania,1961,Lore,0.4472,0.0,0.4472,0.4472,1.0,12.0,13.0
Mauritania,1961,Stewards,0.8367,0.7071,0.4472,0.7071,4.5,1.5,6.0
Mauritania,1961,Craft,0.4472,0.4472,0.5477,0.5477,1.5,1.5,3.0
Mauritania,1961,Hands,0.7071,0.7071,0.7071,0.4472,2.5,-1.0,1.5
Mauritania,1961,Archive,0.5477,0.4472,0.4472,0.0,2.0,10.0,12.0
Mauritania,1961,Flow,1.0954,0.4472,0.4472,0.4472,2.5,1.5,4.0
Mauritania,1962,Helm,0.5477,0.0,0.4472,0.4472,2.5,2.0,4.5
Mauritania,1962,Shield,0.5477,0.4472,0.8367,0.4472,3.0,2.5,5.5
Mauritania,1962,Lore,0.4472,0.7071,0.5477,0.5477,2.0,11.0,13.0
Mauritania,1962,Stewards,0.4472,0.4472,0.4472,0.0,1.0,2.5,3.5
Mauritania,1962,Craft,0.4472,0.4472,0.7071,0.4472,2.5,1.0,3.5
Mauritania,1962,Hands,0.5477,0.7071,0.4472,0.7071,2.5,-2.5,0.0
Mauritania,1962,Archive,1.0,0.8367,0.0,0.5477,2.5,9.5,12.0
Mauritania,1962,Flow,0.4472,0.7071,0.4472,0.7071,2.5,0.0,2.5
Mauritania,1963,Helm,0.4472,0.0,0.8367,0.0,2.0,2.5,4.5
Mauritania,1963,Shield,0.4472,0.4472,0.5477,0.4472,1.5,2.5,4.0
Mauritania,1963,Lore,0.5477,0.5477,0.4472,0.0,1.0,12.0,13.0
Mauritania,1963,Stewards,0.4472,0.4472,0.7071,0.0,3.0,2.5,5.5
Mauritania,1963,Craft,0.5477,0.0,0.4472,0.8367,2.5,1.5,4.0
Mauritania,1963,Hands,0.8367,0.5477,0.5477,0.4472,2.5,-1.0,1.5
Mauritania,1963,Archive,0.8367,0.4472,0.4472,0.7071,2.0,9.0,11.0
Mauritania,1963,Flow,0.8367,0.5477,0.4472,0.8367,4.0,0.5,4.5
Mauritania,1964,Helm,0.4472,0.5477,0.8367,0.7071,2.0,2.5,4.5
Mauritania,1964,Shield,0.5477,0.0,0.5477,0.0,2.0,3.5,5.5
Mauritania,1964,Lore,0.0,0.5477,0.5477,0.8944,2.5,11.5,14.0
Mauritania,1964,Stewards,0.5477,0.8367,0.4472,0.7071,2.5,3.0,5.5
Mauritania,1964,Craft,0.5477,0.5477,0.8944,0.8944,3.0,2.5,5.5
Mauritania,1964,Hands,0.4472,0.4472,0.4472,0.5477,2.5,-1.5,1.0
Mauritania,1964,Archive,0.8367,0.4472,0.7071,0.4472,1.5,10.5,12.0
Mauritania,1964,Flow,0.5477,0.4472,0.5477,0.4472,1.0,1.0,2.0
Mauritania,1965,Helm,0.4472,0.4472,0.7071,0.4472,2.5,1.5,4.0
Mauritania,1965,Shield,0.5477,0.5477,0.5477,0.4472,2.5,2.5,5.0
Mauritania,1965,Lore,0.5477,0.4472,0.0,0.8367,1.5,12.5,14.0
Mauritania,1965,Stewards,0.5477,0.4472,0.4472,0.4472,1.5,2.0,3.5
Mauritania,1965,Craft,1.0954,0.5477,0.0,0.0,2.0,2.5,4.5
Mauritania,1965,Hands,0.5477,0.7071,0.4472,0.8367,2.5,-1.5,1.0
Mauritania,1965,Archive,0.4472,0.8367,0.5477,0.5477,2.5,9.5,12.0
Mauritania,1965,Flow,0.4472,0.7071,0.5477,0.0,3.0,0.0,3.0
Mauritania,1966,Helm,0.5477,0.5477,0.4472,0.7071,2.5,1.5,4.0
Mauritania,1966,Shield,0.5477,0.5477,0.4472,0.0,1.0,2.5,3.5
Mauritania,1966,Lore,0.4472,0.4472,0.5477,0.4472,1.5,12.0,13.5
Mauritania,1966,Stewards,0.5477,0.4472,0.5477,0.7071,1.5,2.5,4.0
Mauritania,1966,Craft,0.7071,0.5477,0.5477,0.5477,3.5,1.0,4.5
Mauritania,1966,Hands,0.4472,0.5477,0.7071,0.5477,1.5,-0.5,1.0
Mauritania,1966,Archive,0.4472,0.4472,0.5477,0.4472,1.5,9.5,11.0
Mauritania,1966,Flow,0.5477,0.4472,0.5477,0.0,1.0,2.0,3.0
Mauritania,1967,Helm,0.5477,0.0,0.5477,0.8367,3.0,1.0,4.0
