Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Nigeria,1960,Helm,5.8,5.0,4.2,5.4,9.3,0.2285
Nigeria,1960,Shield,5.0,4.4,3.8,4.4,7.8,0.2182
Nigeria,1960,Lore,5.0,4.6,3.0,6.0,9.6,0.1881
Nigeria,1960,Stewards,3.6,4.8,4.4,3.6,5.8,0.1472
Nigeria,1960,Craft,4.6,3.8,4.0,5.4,7.1,0.2186
Nigeria,1960,Hands,4.6,4.8,5.8,3.2,5.2,0.1813
Nigeria,1960,Archive,3.0,3.6,5.6,4.6,3.3,0.1378
Nigeria,1960,Flow,4.2,5.2,3.8,4.0,7.6,0.2056
Nigeria,1961,Helm,5.0,5.2,5.4,5.0,7.3,0.1981
Nigeria,1961,Shield,4.8,4.6,4.2,3.8,7.1,0.2012
Nigeria,1961,Lore,5.2,5.2,3.4,6.0,10.0,0.1831
Nigeria,1961,Stewards,3.8,4.2,5.2,4.6,5.1,0.1468
Nigeria,1961,Craft,5.0,5.0,4.2,4.6,8.1,0.2093
Nigeria,1961,Hands,5.2,5.4,4.8,2.6,7.1,0.1899
Nigeria,1961,Archive,3.6,4.2,4.6,4.0,5.2,0.1463
Nigeria,1961,Flow,4.6,5.4,4.6,4.2,7.5,0.1974
Nigeria,1962,Helm,5.2,4.8,5.2,5.2,7.4,0.2043
Nigeria,1962,Shield,4.8,3.4,4.2,3.6,5.8,0.2003
Nigeria,1962,Lore,4.8,5.4,4.4,6.2,8.9,0.1688
Nigeria,1962,Stewards,3.8,4.0,5.4,3.8,4.3,0.1382
Nigeria,1962,Craft,5.0,5.6,4.8,4.6,8.1,0.2029
Nigeria,1962,Hands,5.4,5.2,4.8,2.8,7.2,0.1943
Nigeria,1962,Archive,4.2,4.2,5.6,3.8,4.7,0.1402
Nigeria,1962,Flow,5.2,5.2,3.4,4.0,9.0,0.2174
Nigeria,1963,Helm,4.8,5.4,4.6,4.8,8.0,0.2097
Nigeria,1963,Shield,4.8,4.2,3.4,4.4,7.8,0.2214
Nigeria,1963,Lore,4.2,5.6,3.8,6.2,9.1,0.1766
Nigeria,1963,Stewards,4.6,3.6,4.8,4.2,5.5,0.1589
Nigeria,1963,Craft,5.0,5.6,4.0,5.2,9.2,0.2221
Nigeria,1963,Hands,4.6,4.8,5.4,3.0,5.5,0.1846
Nigeria,1963,Archive,4.8,4.4,4.8,3.8,6.3,0.1583
Nigeria,1963,Flow,5.4,5.0,4.6,4.0,7.8,0.2105
Nigeria,1964,Helm,5.4,4.4,4.4,4.8,7.8,0.2116
Nigeria,1964,Shield,4.4,4.0,4.0,3.4,6.1,0.195
Nigeria,1964,Lore,4.8,5.0,4.4,6.0,8.4,0.1678
Nigeria,1964,Stewards,4.4,4.4,5.4,3.6,5.2,0.1424
Nigeria,1964,Craft,4.6,5.0,4.8,4.8,7.2,0.1988
Nigeria,1964,Hands,5.4,4.2,4.8,2.8,6.2,0.193
Nigeria,1964,Archive,4.0,4.0,5.2,4.2,4.9,0.1441
Nigeria,1964,Flow,5.2,5.0,4.4,3.8,7.7,0.2026
Nigeria,1965,Helm,4.8,5.2,5.0,5.0,7.5,0.2
Nigeria,1965,Shield,5.0,4.0,4.4,4.0,6.6,0.202
Nigeria,1965,Lore,5.2,5.4,4.4,5.6,9.0,0.1688
Nigeria,1965,Stewards,3.6,3.8,5.4,4.2,4.1,0.1388
Nigeria,1965,Craft,5.4,4.4,4.2,5.2,8.2,0.2167
Nigeria,1965,Hands,5.2,5.4,5.0,2.4,6.8,0.1856
Nigeria,1965,Archive,3.6,4.0,4.4,4.0,5.2,0.1459
Nigeria,1965,Flow,4.8,4.6,4.6,4.0,6.8,0.1975
Nigeria,1966,Helm,1.6,3.2,9.4,2.0,-3.6,0.0496
Nigeria,1966,Shield,3.0,5.2,9.8,1.6,-0.8,0.0557
Nigeria,1966,Lore,2.8,2.6,7.4,2.4,-0.8,0.054
Nigeria,1966,Stewards,2.8,2.8,7.8,2.6,-0.9,0.0534
Nigeria,1966,Craft,2.2,1.6,8.0,2.0,-3.2,0.0583
Nigeria,1966,Hands,2.2,2.4,8.8,2.0,-3.2,0.0557
Nigeria,1966,Archive,2.0,2.2,7.4,2.2,-2.1,0.049
Nigeria,1966,Flow,3.0,2.0,8.2,2.2,-2.1,0.0634
Nigeria,1967,Helm,1.8,3.0,8.8,3.8,-2.1,0.0614
Nigeria,1967,Shield,3.8,5.4,9.8,2.6,0.7,0.0641
Nigeria,1967,Lore,3.2,2.8,8.2,3.4,-0.5,0.0551
Nigeria,1967,Stewards,1.4,2.0,8.6,2.6,-3.9,0.0429
Nigeria,1967,Craft,2.4,1.8,7.8,2.0,-2.6,0.0611
Nigeria,1967,Hands,2.4,1.6,9.6,1.6,-4.8,0.0533
Nigeria,1967,Archive,1.8,1.6,8.0,1.6,-3.8,0.0428
Nigeria,1967,Flow,2.4,1.4,8.0,1.8,-3.3,0.0595
Nigeria,1968,Helm,2.0,3.0,8.6,3.4,-1.9,0.0613
Nigeria,1968,Shield,2.6,5.6,9.6,2.8,-0.0,0.059
Nigeria,1968,Lore,2.8,3.0,7.4,3.2,-0.0,0.056
Nigeria,1968,Stewards,1.8,2.2,7.2,2.2,-2.1,0.0479
Nigeria,1968,Craft,1.8,2.2,7.6,3.0,-2.1,0.0618
Nigeria,1968,Hands,1.4,1.8,8.8,2.0,-4.6,0.0502
Nigeria,1968,Archive,1.8,3.2,7.8,2.0,-1.8,0.0455
Nigeria,1968,Flow,2.0,2.4,8.0,2.2,-2.5,0.0582
Nigeria,1969,Helm,1.8,3.2,8.6,2.6,-2.3,0.0578
Nigeria,1969,Shield,3.2,4.4,9.6,2.4,-0.8,0.0619
Nigeria,1969,Lore,3.2,2.6,7.8,3.0,-0.5,0.0579
Nigeria,1969,Stewards,2.4,2.4,7.0,2.8,-0.8,0.056
Nigeria,1969,Craft,2.4,2.0,7.8,2.4,-2.2,0.0637
Nigeria,1969,Hands,2.0,2.4,8.8,2.8,-3.0,0.0593
Nigeria,1969,Archive,2.4,2.2,7.6,1.6,-2.2,0.0497
Nigeria,1969,Flow,1.8,1.6,9.0,1.8,-4.7,0.0526
Nigeria,1970,Helm,2.0,1.8,9.4,3.2,-4.0,0.0576
Nigeria,1970,Shield,2.6,5.4,9.6,2.6,-0.3,0.0581
Nigeria,1970,Lore,2.4,2.4,8.4,2.8,-2.2,0.0489
Nigeria,1970,Stewards,2.0,1.8,7.2,1.8,-2.5,0.0465
Nigeria,1970,Craft,2.2,2.4,7.6,2.6,-1.7,0.0625
Nigeria,1970,Hands,2.0,2.4,7.6,1.4,-2.5,0.0554
Nigeria,1970,Archive,2.0,1.6,8.0,1.6,-3.6,0.0437
Nigeria,1970,Flow,2.2,2.6,7.2,2.0,-1.4,0.0612
Nigeria,1971,Helm,5.6,5.2,4.8,3.8,7.9,0.1878
Nigeria,1971,Shield,4.8,5.0,5.2,3.4,6.3,0.1733
Nigeria,1971,Lore,3.4,4.2,4.4,4.2,5.3,0.1338
Nigeria,1971,Stewards,4.2,6.4,5.0,3.4,7.3,0.1315
Nigeria,1971,Craft,3.4,4.6,5.0,4.0,5.0,0.1645
Nigeria,1971,Hands,4.8,3.8,4.6,2.6,5.3,0.1737
Nigeria,1971,Archive,3.2,3.4,5.6,3.8,2.9,0.1207
Nigeria,1971,Flow,4.6,5.4,3.8,4.4,8.4,0.1926
Nigeria,1972,Helm,4.8,5.2,5.0,3.8,6.9,0.1731
Nigeria,1972,Shield,5.0,5.2,5.0,2.4,6.4,0.1657
Nigeria,1972,Lore,4.2,4.2,4.8,4.0,5.6,0.1336
Nigeria,1972,Stewards,5.2,6.0,4.8,3.0,7.9,0.1362
Nigeria,1972,Craft,4.2,4.0,5.4,4.2,4.9,0.166
Nigeria,1972,Hands,3.8,4.0,5.0,3.0,4.3,0.157
Nigeria,1972,Archive,3.0,3.0,6.4,3.4,1.3,0.1088
Nigeria,1972,Flow,5.0,4.6,4.4,4.0,7.2,0.1823
Nigeria,1973,Helm,5.4,5.0,4.8,4.0,7.6,0.187
Nigeria,1973,Shield,4.8,4.8,5.0,3.0,6.1,0.1724
Nigeria,1973,Lore,4.4,3.8,4.6,4.2,5.7,0.1414
Nigeria,1973,Stewards,4.8,6.0,4.4,2.6,7.7,0.1374
Nigeria,1973,Craft,4.0,4.6,4.6,3.6,5.8,0.172
Nigeria,1973,Hands,3.8,4.0,4.8,3.6,4.8,0.1678
Nigeria,1973,Archive,3.0,2.6,5.2,2.8,1.8,0.1158
Nigeria,1973,Flow,4.6,4.4,4.0,3.8,6.9,0.1861
Nigeria,1974,Helm,5.2,5.2,5.0,4.2,7.5,0.1835
Nigeria,1974,Shield,5.2,5.0,4.8,2.8,6.8,0.1764
Nigeria,1974,Lore,4.0,4.0,5.0,4.6,5.3,0.1347
Nigeria,1974,Stewards,5.0,6.2,4.6,2.6,7.9,0.1351
Nigeria,1974,Craft,3.8,4.2,5.0,4.0,5.0,0.1681
Nigeria,1974,Hands,4.0,4.0,4.6,2.8,4.8,0.1651
Nigeria,1974,Archive,2.6,3.0,6.2,2.4,0.6,0.1006
Nigeria,1974,Flow,4.8,5.4,3.4,4.2,8.9,0.1965
Nigeria,1975,Helm,5.2,4.8,4.8,4.4,7.4,0.1836
Nigeria,1975,Shield,4.6,4.4,5.4,3.0,5.1,0.1628
Nigeria,1975,Lore,4.4,4.4,5.2,3.6,5.4,0.1298
Nigeria,1975,Stewards,4.8,5.6,5.4,3.6,6.8,0.1314
Nigeria,1975,Craft,4.0,4.2,5.8,3.8,4.3,0.1584
Nigeria,1975,Hands,4.4,4.2,5.4,3.4,4.9,0.1635
Nigeria,1975,Archive,3.2,3.8,6.0,3.0,2.5,0.1107
Nigeria,1975,Flow,4.6,5.6,3.6,4.2,8.7,0.1889
Nigeria,1976,Helm,5.4,4.8,5.0,4.0,7.2,0.1806
Nigeria,1976,Shield,5.0,5.0,5.4,2.6,5.9,0.1639
Nigeria,1976,Lore,3.8,4.0,5.0,4.2,4.9,0.129
Nigeria,1976,Stewards,4.8,6.0,5.0,2.8,7.2,0.1295
Nigeria,1976,Craft,4.0,3.8,5.0,4.0,4.8,0.167
Nigeria,1976,Hands,4.0,3.8,5.2,2.8,4.0,0.1565
Nigeria,1976,Archive,2.8,3.2,6.0,3.0,1.5,0.1063
Nigeria,1976,Flow,5.0,5.0,3.6,3.8,8.3,0.1899
Nigeria,1977,Helm,5.0,5.0,5.2,4.2,6.9,0.1774
Nigeria,1977,Shield,4.8,5.0,5.4,3.2,6.0,0.167
Nigeria,1977,Lore,4.4,4.0,4.8,3.8,5.5,0.1363
Nigeria,1977,Stewards,5.2,6.0,5.0,3.4,7.9,0.1389
Nigeria,1977,Craft,4.0,3.2,5.0,3.6,4.0,0.1653
Nigeria,1977,Hands,3.6,4.0,5.2,2.8,3.8,0.1529
Nigeria,1977,Archive,3.2,3.0,5.6,3.6,2.4,0.119
Nigeria,1977,Flow,5.2,5.4,3.4,3.2,8.8,0.1913
Nigeria,1978,Helm,5.0,5.2,4.6,3.6,7.4,0.1829
Nigeria,1978,Shield,5.6,5.4,4.8,3.2,7.8,0.1842
Nigeria,1978,Lore,4.0,4.2,4.8,3.8,5.3,0.1329
Nigeria,1978,Stewards,5.2,6.4,5.2,3.2,8.0,0.1362
Nigeria,1978,Craft,4.2,4.2,5.2,3.6,5.0,0.1686
Nigeria,1978,Hands,4.0,4.0,4.8,3.2,4.8,0.1673
Nigeria,1978,Archive,2.8,2.6,6.2,3.0,0.7,0.1074
Nigeria,1978,Flow,5.2,5.6,4.0,4.2,8.9,0.1952
Nigeria,1979,Helm,3.6,3.8,6.2,4.6,3.5,0.1303
Nigeria,1979,Shield,3.2,4.2,4.8,2.8,4.0,0.126
Nigeria,1979,Lore,4.0,4.0,5.2,5.6,5.6,0.1159
Nigeria,1979,Stewards,3.8,4.8,6.4,3.0,3.7,0.0966
Nigeria,1979,Craft,4.4,3.6,6.2,2.4,3.0,0.1247
Nigeria,1979,Hands,4.4,4.4,6.2,2.8,4.0,0.127
Nigeria,1979,Archive,2.6,3.2,7.6,3.0,-0.3,0.0816
Nigeria,1979,Flow,3.0,2.8,7.0,2.8,0.2,0.109
Nigeria,1980,Helm,4.2,3.4,5.8,5.2,4.4,0.1459
Nigeria,1980,Shield,3.2,3.8,5.2,3.4,3.5,0.1316
Nigeria,1980,Lore,4.4,4.0,4.8,4.8,6.0,0.1222
Nigeria,1980,Stewards,4.2,3.0,5.6,2.4,2.8,0.1049
Nigeria,1980,Craft,3.6,4.4,6.0,3.6,3.8,0.1306
Nigeria,1980,Hands,4.2,4.4,5.6,2.8,4.4,0.1342
Nigeria,1980,Archive,2.0,3.0,6.0,3.0,0.5,0.0875
Nigeria,1980,Flow,2.2,3.4,6.6,3.2,0.6,0.1098
Nigeria,1981,Helm,4.0,4.6,6.8,4.0,3.8,0.1284
Nigeria,1981,Shield,4.8,3.8,5.0,3.2,5.2,0.1443
Nigeria,1981,Lore,4.8,4.4,5.4,4.8,6.2,0.1177
Nigeria,1981,Stewards,3.4,3.8,6.8,2.8,1.8,0.0917
Nigeria,1981,Craft,3.6,4.0,5.4,3.4,3.9,0.1319
Nigeria,1981,Hands,4.0,4.2,6.2,3.6,3.8,0.1306
Nigeria,1981,Archive,2.4,2.2,7.4,3.8,-0.9,0.0861
Nigeria,1981,Flow,2.8,2.6,7.8,3.2,-0.8,0.1065
Nigeria,1982,Helm,3.4,3.4,6.4,3.6,2.2,0.1171
Nigeria,1982,Shield,4.2,3.4,4.6,2.0,4.0,0.1272
Nigeria,1982,Lore,3.6,3.4,5.0,4.2,4.1,0.104
Nigeria,1982,Stewards,3.0,4.8,6.4,3.2,3.0,0.0879
Nigeria,1982,Craft,3.8,4.2,6.4,3.2,3.2,0.1182
Nigeria,1982,Hands,3.6,3.8,6.8,3.0,2.1,0.1128
Nigeria,1982,Archive,2.6,3.4,7.2,2.6,0.1,0.078
Nigeria,1982,Flow,2.8,2.6,6.8,3.2,0.2,0.1069
Nigeria,1983,Helm,3.6,4.2,6.2,3.2,3.2,0.1147
Nigeria,1983,Shield,5.2,5.2,5.4,2.2,6.1,0.1274
Nigeria,1983,Lore,3.4,2.8,6.2,3.6,1.8,0.0911
Nigeria,1983,Stewards,4.0,4.0,6.0,2.4,3.2,0.0908
Nigeria,1983,Craft,2.8,2.2,5.6,2.6,0.7,0.1077
