Year,eta_soil,sigma_V,path_type
1990,0.01221,4.6093,Failed Transplant
1991,0.00395,6.1631,Ruptured
1992,0.00333,5.8811,Ruptured
1993,0.00206,5.8149,Ruptured
1994,0.0065,4.1985,Failed Transplant
1995,0.01184,3.4337,Standard Transplant
1996,0.02155,3.05,Standard Transplant
1997,0.02595,3.0004,Standard Transplant
1998,0.03736,2.9935,Standard Transplant
1999,0.03857,2.9218,Standard Transplant
2000,0.04091,2.7905,Standard Transplant
2001,0.0888,2.121,Intermediate/Uncertain
2002,0.0888,2.121,Intermediate/Uncertain
2003,0.05802,1.8267,Intermediate/Uncertain
2004,0.10065,1.8349,Young Ancient Forest
2005,0.11906,1.6537,Young Ancient Forest
2006,0.11834,1.3755,Young Ancient Forest
2007,0.11115,1.4525,Young Ancient Forest
2008,0.02379,3.1689,Standard Transplant
2009,0.04191,2.7785,Standard Transplant
2010,0.03414,2.7785,Standard Transplant
2011,0.04928,2.431,Standard Transplant
2012,0.04928,2.431,Standard Transplant
2013,0.06452,2.2702,Standard Transplant
2014,0.07281,2.162,Standard Transplant
2015,0.09399,2.3716,Intermediate/Uncertain
2016,0.08587,2.1249,Intermediate/Uncertain
2017,0.04284,2.3806,Standard Transplant
2018,0.04198,2.4729,Standard Transplant
2019,0.02198,2.8869,Standard Transplant
2020,0.01073,4.4891,Failed Transplant
2021,0.00444,4.1152,Ruptured
2022,0.00441,3.7091,Ruptured
2023,0.00458,3.6286,Ruptured
2024,0.00271,4.1482,Ruptured
2025,0.00473,3.8498,Ruptured
2026,0.00558,3.7553,Failed Transplant
