Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Iceland,2000,Helm,6.8,7.0,3.0,5.8,13.7,0.452
Iceland,2000,Shield,5.2,4.2,2.0,4.0,9.4,0.42
Iceland,2000,Lore,8.8,8.0,2.2,7.0,18.1,0.523
Iceland,2000,Stewards,7.0,7.2,2.8,6.0,14.4,0.463
Iceland,2000,Craft,7.0,7.4,3.0,7.0,14.9,0.469
Iceland,2000,Hands,8.2,7.2,2.0,5.0,15.9,0.496
Iceland,2000,Archive,7.8,8.0,2.0,7.0,17.3,0.512
Iceland,2000,Flow,7.0,7.2,2.8,6.0,14.4,0.463
Iceland,2001,Helm,6.8,7.0,3.0,5.8,13.7,0.447
Iceland,2001,Shield,5.2,4.2,2.0,4.0,9.4,0.415
Iceland,2001,Lore,8.8,8.0,2.2,7.0,18.1,0.517
Iceland,2001,Stewards,6.0,7.2,3.8,6.0,12.4,0.414
Iceland,2001,Craft,7.0,7.4,3.0,7.0,14.9,0.464
Iceland,2001,Hands,8.2,7.2,2.0,5.0,15.9,0.49
Iceland,2001,Archive,7.8,8.0,2.0,7.0,17.3,0.506
Iceland,2001,Flow,7.0,8.2,2.8,7.0,15.9,0.47
Iceland,2002,Helm,6.8,7.0,3.0,5.8,13.7,0.442
Iceland,2002,Shield,5.2,4.2,2.0,4.0,9.4,0.412
Iceland,2002,Lore,8.8,8.0,2.2,7.0,18.1,0.512
Iceland,2002,Stewards,6.0,7.2,3.8,6.0,12.4,0.41
Iceland,2002,Craft,7.0,7.4,3.0,7.0,14.9,0.46
Iceland,2002,Hands,8.2,7.2,2.0,5.0,15.9,0.485
Iceland,2002,Archive,7.8,7.0,2.0,7.0,16.3,0.501
Iceland,2002,Flow,7.0,8.2,3.8,7.0,14.9,0.438
Iceland,2003,Helm,5.8,7.0,4.0,5.8,11.7,0.372
Iceland,2003,Shield,5.2,4.2,2.0,4.0,9.4,0.384
Iceland,2003,Lore,8.8,8.0,2.2,7.0,18.1,0.476
Iceland,2003,Stewards,5.0,7.0,5.0,5.0,9.5,0.328
Iceland,2003,Craft,7.0,7.4,3.0,7.0,14.9,0.428
Iceland,2003,Hands,8.2,7.2,2.0,5.0,15.9,0.452
Iceland,2003,Archive,6.8,7.0,3.0,7.0,14.3,0.425
Iceland,2003,Flow,6.0,8.0,5.0,7.0,12.5,0.366
Iceland,2004,Helm,5.8,7.0,4.0,5.8,11.7,0.372
Iceland,2004,Shield,5.2,4.2,2.0,4.0,9.4,0.384
Iceland,2004,Lore,8.8,8.0,2.2,7.0,18.1,0.476
Iceland,2004,Stewards,5.0,7.0,5.0,5.0,9.5,0.328
Iceland,2004,Craft,7.0,7.4,3.0,7.0,14.9,0.428
Iceland,2004,Hands,8.2,8.2,2.0,5.0,16.9,0.452
Iceland,2004,Archive,6.8,7.0,3.0,7.0,14.3,0.425
Iceland,2004,Flow,6.0,8.0,5.0,7.0,12.5,0.366
Iceland,2005,Helm,5.8,7.0,4.0,4.8,11.2,0.349
Iceland,2005,Shield,5.2,4.2,2.0,4.0,9.4,0.371
Iceland,2005,Lore,8.8,8.0,2.2,7.0,18.1,0.46
Iceland,2005,Stewards,4.0,7.0,6.0,5.0,7.5,0.282
Iceland,2005,Craft,7.0,7.4,3.0,7.0,14.9,0.414
Iceland,2005,Hands,8.2,8.2,2.0,5.0,16.9,0.437
Iceland,2005,Archive,6.8,8.0,3.0,7.0,15.3,0.411
Iceland,2005,Flow,5.0,8.0,6.0,7.0,10.5,0.319
Iceland,2006,Helm,5.8,7.0,5.2,4.8,10.0,0.315
Iceland,2006,Shield,5.2,4.2,2.0,4.0,9.4,0.361
Iceland,2006,Lore,7.8,8.0,3.2,7.0,16.1,0.409
Iceland,2006,Stewards,4.0,7.0,6.0,5.0,7.5,0.274
Iceland,2006,Craft,7.0,7.4,3.0,7.0,14.9,0.402
Iceland,2006,Hands,8.2,8.2,2.0,5.0,16.9,0.424
Iceland,2006,Archive,6.8,7.0,3.0,7.0,14.3,0.399
Iceland,2006,Flow,5.0,8.0,6.0,7.0,10.5,0.31
Iceland,2007,Helm,4.8,7.0,5.2,4.8,9.0,0.286
Iceland,2007,Shield,5.2,4.2,2.0,4.0,9.4,0.345
Iceland,2007,Lore,7.8,8.0,3.2,7.0,16.1,0.39
Iceland,2007,Stewards,4.0,7.0,7.0,4.0,6.0,0.236
Iceland,2007,Craft,7.0,7.4,3.0,7.0,14.9,0.384
Iceland,2007,Hands,7.2,8.2,3.0,5.0,14.9,0.368
Iceland,2007,Archive,6.8,7.0,3.0,7.0,14.3,0.381
Iceland,2007,Flow,5.0,8.0,7.0,7.0,9.5,0.279
Iceland,2008,Helm,3.6,6.0,9.2,4.8,2.8,0.146
Iceland,2008,Shield,5.2,4.2,2.8,4.0,8.6,0.226
Iceland,2008,Lore,7.8,7.0,5.2,7.0,13.1,0.237
Iceland,2008,Stewards,2.0,5.0,10.0,3.0,-1.5,0.109
Iceland,2008,Craft,6.0,7.4,5.0,7.0,11.9,0.226
Iceland,2008,Hands,5.0,5.0,8.0,4.0,4.0,0.165
Iceland,2008,Archive,4.6,6.0,8.4,5.0,4.7,0.164
