Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
Iceland,2000,Helm,0.447,0.0,0.0,0.447,1.5,12.5,14.0
Iceland,2000,Shield,0.447,0.447,0.0,0.0,2.0,9.0,11.0
Iceland,2000,Lore,0.447,0.0,0.447,0.0,2.0,16.5,18.5
Iceland,2000,Stewards,0.0,0.447,0.447,0.0,2.0,14.0,16.0
Iceland,2000,Craft,0.0,0.548,0.0,0.0,1.0,14.5,15.5
Iceland,2000,Hands,0.447,0.447,0.0,0.0,2.0,15.5,17.5
Iceland,2000,Archive,0.447,0.0,0.0,0.0,1.0,16.5,17.5
Iceland,2000,Flow,0.0,0.447,0.447,0.0,2.0,14.0,16.0
Iceland,2001,Helm,0.447,0.0,0.0,0.447,1.5,12.5,14.0
Iceland,2001,Shield,0.447,0.447,0.0,0.0,2.0,9.0,11.0
Iceland,2001,Lore,0.447,0.0,0.447,0.0,2.0,16.5,18.5
Iceland,2001,Stewards,0.0,0.447,0.447,0.0,2.0,12.0,14.0
Iceland,2001,Craft,0.0,0.548,0.0,0.0,1.0,14.5,15.5
Iceland,2001,Hands,0.447,0.447,0.0,0.0,2.0,15.5,17.5
Iceland,2001,Archive,0.447,0.0,0.0,0.0,1.0,16.5,17.5
Iceland,2001,Flow,0.0,0.447,0.447,0.0,2.0,15.5,17.5
Iceland,2002,Helm,0.447,0.0,0.0,0.447,1.5,12.5,14.0
Iceland,2002,Shield,0.447,0.447,0.0,0.0,2.0,9.0,11.0
Iceland,2002,Lore,0.447,0.0,0.447,0.0,2.0,16.5,18.5
Iceland,2002,Stewards,0.0,0.447,0.447,0.0,2.0,12.0,14.0
Iceland,2002,Craft,0.0,0.548,0.0,0.0,1.0,14.5,15.5
Iceland,2002,Hands,0.447,0.447,0.0,0.0,2.0,15.5,17.5
Iceland,2002,Archive,0.447,0.0,0.0,0.0,1.0,15.5,16.5
Iceland,2002,Flow,0.0,0.447,0.447,0.0,2.0,14.5,16.5
Iceland,2003,Helm,0.447,0.0,0.0,0.447,1.5,10.5,12.0
Iceland,2003,Shield,0.447,0.447,0.0,0.0,2.0,9.0,11.0
Iceland,2003,Lore,0.447,0.0,0.447,0.0,2.0,16.5,18.5
Iceland,2003,Stewards,0.0,0.0,0.0,0.0,0.0,9.5,9.5
Iceland,2003,Craft,0.0,0.548,0.0,0.0,1.0,14.5,15.5
Iceland,2003,Hands,0.447,0.447,0.0,0.0,2.0,15.5,17.5
Iceland,2003,Archive,0.447,0.0,0.0,0.0,1.0,13.5,14.5
Iceland,2003,Flow,0.0,0.0,0.0,0.0,0.0,12.5,12.5
Iceland,2004,Helm,0.447,0.0,0.0,0.447,1.5,10.5,12.0
Iceland,2004,Shield,0.447,0.447,0.0,0.0,2.0,9.0,11.0
Iceland,2004,Lore,0.447,0.0,0.447,0.0,2.0,16.5,18.5
