Society,Node_i,Node_j,CR_j_from_i,CR_i_from_j,Asymmetry,Dominant
ASPI,Stewards,Flow,0.925,-0.1,0.825,Stewards
ASPI,Lore,Craft,0.7833,0.0714,0.7119,Lore
ASPI,Shield,Stewards,0.75,0.1,0.65,Shield
ASPI,Craft,Flow,1.0,0.44,0.56,Craft
ASPI,Stewards,Hands,0.625,0.1333,0.4917,Stewards
ASPI,Hands,Flow,0.5833,0.1,0.4833,Hands
ASPI,Lore,Archive,0.4167,0.0,0.4167,Lore
ASPI,Craft,Archive,0.7857,-0.375,0.4107,Craft
ASPI,Archive,Flow,-0.625,0.32,0.305,Archive
ASPI,Shield,Flow,0.3,0.08,0.22,Shield
ASPI,Shield,Craft,-0.325,-0.1429,0.1821,Shield
ASPI,Lore,Flow,0.2833,-0.12,0.1633,Lore
ASPI,Helm,Flow,-0.46,-0.3,0.16,Helm
ASPI,Craft,Hands,0.5,0.4167,0.0833,Craft
ASPI,Helm,Stewards,0.0,0.0,0.0,Stewards
ASPI,Lore,Stewards,-0.0833,-0.15,-0.0667,Stewards
ASPI,Helm,Archive,0.12,-0.2,-0.08,Archive
ASPI,Shield,Lore,0.25,-0.3333,-0.0833,Lore
ASPI,Shield,Hands,0.0,0.0833,-0.0833,Hands
ASPI,Helm,Hands,0.1,0.2167,-0.1167,Hands
ASPI,Hands,Archive,0.0833,-0.25,-0.1667,Archive
ASPI,Stewards,Craft,0.175,0.3571,-0.1821,Craft
ASPI,Shield,Archive,-0.25,-0.5,-0.25,Archive
ASPI,Helm,Craft,-0.46,0.7143,-0.2543,Craft
ASPI,Helm,Lore,-0.12,0.45,-0.33,Lore
ASPI,Lore,Hands,0.0833,0.4167,-0.3334,Hands
ASPI,Helm,Shield,-0.12,0.6,-0.48,Shield
ASPI,Stewards,Archive,0.4,-1.0,-0.6,Archive
Cuba,Craft,Flow,1.5,0.05,1.45,Craft
Cuba,Hands,Flow,1.0909,0.15,0.9409,Hands
Cuba,Helm,Flow,0.6,0.0,0.6,Helm
Cuba,Lore,Craft,0.7667,0.1875,0.5792,Lore
Cuba,Lore,Flow,0.75,-0.25,0.5,Lore
Cuba,Shield,Hands,0.4,0.0,0.4,Shield
Cuba,Lore,Hands,0.475,-0.1818,0.2932,Lore
Cuba,Helm,Lore,0.4143,-0.125,0.2893,Helm
Cuba,Shield,Flow,-0.3,0.1,0.2,Shield
Cuba,Archive,Flow,0.4286,-0.25,0.1786,Archive
Cuba,Helm,Hands,0.2429,0.0909,0.152,Helm
Cuba,Helm,Craft,0.1429,0.0,0.1429,Helm
Cuba,Helm,Archive,0.2857,0.1429,0.1428,Helm
Cuba,Craft,Hands,0.5,0.3636,0.1364,Craft
Cuba,Helm,Shield,0.3143,-0.2,0.1143,Helm
Cuba,Helm,Stewards,0.4286,-0.32,0.1086,Helm
Cuba,Lore,Archive,0.1667,0.0714,0.0953,Lore
Cuba,Shield,Craft,0.2,0.125,0.075,Shield
Cuba,Stewards,Archive,-0.35,0.2857,0.0643,Stewards
Cuba,Lore,Stewards,0.5417,-0.49,0.0517,Lore
Cuba,Shield,Archive,0.0,0.0,0.0,Archive
Cuba,Stewards,Flow,-0.02,0.05,-0.03,Flow
Cuba,Shield,Lore,0.0,-0.0667,-0.0667,Lore
Cuba,Stewards,Hands,-0.17,0.3182,-0.1482,Hands
Cuba,Craft,Archive,-0.3125,0.5286,-0.2161,Archive
Cuba,Shield,Stewards,0.0,-0.22,-0.22,Stewards
Cuba,Hands,Archive,-0.1364,0.3857,-0.2493,Archive
Cuba,Stewards,Craft,-0.15,0.4375,-0.2875,Craft
Iceland,Shield,Stewards,1.6,0.32,1.28,Shield
Iceland,Shield,Flow,1.5286,0.4,1.1286,Shield
Iceland,Archive,Flow,1.875,0.85,1.025,Archive
Iceland,Shield,Archive,1.1571,0.2,0.9571,Shield
Iceland,Shield,Hands,1.1286,0.2,0.9286,Shield
Iceland,Craft,Hands,0.9,0.125,0.775,Craft
Iceland,Craft,Flow,1.24,0.5,0.74,Craft
Iceland,Craft,Archive,0.86,0.5,0.36,Craft
Iceland,Lore,Stewards,0.7,0.4,0.3,Lore
Iceland,Lore,Flow,0.7833,0.5,0.2833,Lore
Iceland,Helm,Stewards,1.42,1.2,0.22,Helm
Iceland,Helm,Flow,1.42,1.25,0.17,Helm
Iceland,Stewards,Hands,1.3,1.175,0.125,Stewards
Iceland,Shield,Craft,0.6429,0.52,0.1229,Shield
Iceland,Lore,Archive,1.05,1.05,0.0,Archive
Iceland,Shield,Lore,0.2571,0.2667,-0.0096,Lore
Iceland,Hands,Archive,0.6,0.625,-0.025,Archive
Iceland,Helm,Lore,1.04,1.1167,-0.0767,Lore
Iceland,Lore,Hands,0.25,0.5,-0.25,Hands
Iceland,Lore,Craft,0.3333,0.64,-0.3067,Craft
Iceland,Helm,Hands,0.9,1.25,-0.35,Hands
Iceland,Helm,Shield,0.32,0.8143,-0.4943,Shield
Iceland,Stewards,Flow,1.12,1.675,-0.555,Flow
Iceland,Hands,Flow,0.8,1.375,-0.575,Flow
Iceland,Helm,Archive,1.26,2.3,-1.04,Archive
Iceland,Stewards,Craft,0.6,1.64,-1.04,Craft
Iceland,Stewards,Archive,0.68,1.75,-1.07,Archive
Iceland,Helm,Craft,0.6,1.68,-1.08,Craft
