Node_i,Node_j,I_mean,I_std,n_societies,Loop
Stewards,Flow,0.8221666666666666,0.10141904817800904,3,Cross-loop
Hands,Flow,0.7399,0.17618680427319178,3,Fast–Fast
Stewards,Hands,0.7295333333333334,0.17565125485840777,3,Cross-loop
Helm,Archive,0.6499666666666667,0.17211351874078143,3,Slow–Slow
Hands,Archive,0.6293000000000001,0.05257309197678984,3,Cross-loop
Archive,Flow,0.5900333333333333,0.181107988043966,3,Cross-loop
Helm,Flow,0.5873333333333334,0.15395912877557252,3,Cross-loop
Craft,Flow,0.5852333333333334,0.17039056116268103,3,Fast–Fast
Lore,Archive,0.5806,0.2369248192992874,3,Slow–Slow
Stewards,Archive,0.5746666666666667,0.045918442191926874,3,Slow–Slow
Craft,Hands,0.5535,0.34018787456345356,3,Fast–Fast
Helm,Stewards,0.5298333333333334,0.12087916831833903,3,Slow–Slow
Helm,Lore,0.5057,0.3104208755866783,3,Slow–Slow
Helm,Hands,0.5014,0.09555098115665793,3,Cross-loop
Lore,Hands,0.4961666666666667,0.12357638663326148,3,Cross-loop
Stewards,Craft,0.4930666666666667,0.3072321651997612,3,Cross-loop
Craft,Archive,0.49276666666666663,0.08657692148219023,3,Cross-loop
Lore,Craft,0.48310000000000003,0.11303963906524118,3,Cross-loop
Lore,Flow,0.3958,0.13771376111340505,3,Cross-loop
Helm,Craft,0.39419999999999994,0.08005916562143273,3,Cross-loop
Shield,Archive,0.3800666666666667,0.2729085988629405,3,Cross-loop
Lore,Stewards,0.3723666666666667,0.1575129306861292,3,Slow–Slow
Shield,Lore,0.2677,0.04811995428094255,3,Cross-loop
Shield,Stewards,0.25256666666666666,0.25243918739635757,3,Cross-loop
Shield,Hands,0.23586666666666667,0.17681290488347656,3,Fast–Fast
Helm,Shield,0.2312,0.07922348136758445,3,Cross-loop
Shield,Flow,0.2194,0.18211779155261026,3,Fast–Fast
Shield,Craft,0.20953333333333335,0.048895841677317864,3,Fast–Fast
