Society,Node_i,Node_j,Loop,I_ij,Var_dR,Var_dXi,Var_dXj,n_years,Coupling
ASPI,Helm,Shield,Cross-loop,0.2848,2.2306,1.7563,1.3626,23,Weakly coupled
ASPI,Helm,Lore,Slow–Slow,0.1761,1.7709,1.7563,0.393,23,Weakly coupled
ASPI,Helm,Stewards,Slow–Slow,0.6027,1.7602,1.7563,2.6742,23,Loosely associated
ASPI,Helm,Craft,Cross-loop,0.3365,1.7006,1.7563,0.8066,23,Loosely associated
ASPI,Helm,Hands,Cross-loop,0.4952,1.164,1.7563,0.5498,23,Loosely associated
ASPI,Helm,Archive,Slow–Slow,0.5302,1.5498,1.7563,1.5426,23,Loosely associated
ASPI,Helm,Flow,Cross-loop,0.6796,1.3836,1.7563,2.5615,23,Loosely associated
ASPI,Shield,Lore,Cross-loop,0.315,1.2026,1.3626,0.393,23,Loosely associated
ASPI,Shield,Stewards,Cross-loop,0.544,1.8407,1.3626,2.6742,23,Loosely associated
ASPI,Shield,Craft,Fast–Fast,0.2249,1.6813,1.3626,0.8066,23,Weakly coupled
ASPI,Shield,Hands,Fast–Fast,0.4355,1.0795,1.3626,0.5498,23,Loosely associated
ASPI,Shield,Archive,Cross-loop,0.6721,0.9526,1.3626,1.5426,23,Loosely associated
ASPI,Shield,Flow,Fast–Fast,0.4291,2.2402,1.3626,2.5615,23,Loosely associated
ASPI,Lore,Stewards,Slow–Slow,0.1919,2.4786,0.393,2.6742,23,Weakly coupled
ASPI,Lore,Craft,Cross-loop,0.3935,0.7275,0.393,0.8066,23,Loosely associated
ASPI,Lore,Hands,Cross-loop,0.3685,0.5953,0.393,0.5498,23,Loosely associated
ASPI,Lore,Archive,Slow–Slow,0.3135,1.3287,0.393,1.5426,23,Loosely associated
ASPI,Lore,Flow,Cross-loop,0.2402,2.2449,0.393,2.5615,23,Weakly coupled
ASPI,Stewards,Craft,Cross-loop,0.1677,2.8972,2.6742,0.8066,23,Weakly coupled
ASPI,Stewards,Hands,Cross-loop,0.5289,1.5189,2.6742,0.5498,23,Loosely associated
ASPI,Stewards,Archive,Slow–Slow,0.5868,1.7422,2.6742,1.5426,23,Loosely associated
ASPI,Stewards,Flow,Cross-loop,0.7707,1.2006,2.6742,2.5615,23,Rigid
ASPI,Craft,Hands,Fast–Fast,0.2342,1.0387,0.8066,0.5498,23,Weakly coupled
ASPI,Craft,Archive,Cross-loop,0.3928,1.4263,0.8066,1.5426,23,Loosely associated
ASPI,Craft,Flow,Fast–Fast,0.454,1.8389,0.8066,2.5615,23,Loosely associated
ASPI,Hands,Archive,Cross-loop,0.5784,0.8821,0.5498,1.5426,23,Loosely associated
ASPI,Hands,Flow,Fast–Fast,0.5509,1.3972,0.5498,2.5615,23,Loosely associated
ASPI,Archive,Flow,Cross-loop,0.6379,1.486,1.5426,2.5615,23,Loosely associated
Cuba,Helm,Shield,Cross-loop,0.2686,1.5568,1.8624,0.2663,36,Weakly coupled
Cuba,Helm,Lore,Slow–Slow,0.5485,1.6763,1.8624,1.8506,36,Loosely associated
Cuba,Helm,Stewards,Slow–Slow,0.3903,3.0616,1.8624,3.1593,36,Loosely associated
Cuba,Helm,Craft,Cross-loop,0.3605,3.0763,1.8624,2.9476,36,Loosely associated
Cuba,Helm,Hands,Cross-loop,0.4091,2.7759,1.8624,2.8353,36,Loosely associated
Cuba,Helm,Archive,Slow–Slow,0.5725,1.6276,1.8624,1.945,36,Loosely associated
Cuba,Helm,Flow,Cross-loop,0.4096,4.2754,1.8624,5.3791,36,Loosely associated
Cuba,Shield,Lore,Cross-loop,0.2693,1.5467,0.2663,1.8506,36,Weakly coupled
Cuba,Shield,Stewards,Cross-loop,0.1018,3.0768,0.2663,3.1593,36,Weakly coupled
Cuba,Shield,Craft,Fast–Fast,0.1548,2.7163,0.2663,2.9476,36,Weakly coupled
Cuba,Shield,Hands,Fast–Fast,0.1731,2.5648,0.2663,2.8353,36,Weakly coupled
Cuba,Shield,Archive,Cross-loop,0.3366,1.4669,0.2663,1.945,36,Loosely associated
Cuba,Shield,Flow,Fast–Fast,0.1282,4.9214,0.2663,5.3791,36,Weakly coupled
Cuba,Lore,Stewards,Slow–Slow,0.4822,2.5944,1.8506,3.1593,36,Loosely associated
Cuba,Lore,Craft,Cross-loop,0.4457,2.6596,1.8506,2.9476,36,Loosely associated
Cuba,Lore,Hands,Cross-loop,0.6152,1.8029,1.8506,2.8353,36,Loosely associated
