Society,Year,F_Deficit
Afghanistan,1900,0.875
Afghanistan,1901,0.875
Afghanistan,1902,0.875
Afghanistan,1903,0.875
Afghanistan,1904,0.875
Afghanistan,1905,0.875
Afghanistan,1906,0.875
Afghanistan,1907,0.875
Afghanistan,1908,0.875
Afghanistan,1909,0.875
Afghanistan,1910,0.875
Afghanistan,1911,0.875
Afghanistan,1912,0.875
Afghanistan,1913,0.875
Afghanistan,1914,0.875
Afghanistan,1915,0.875
Afghanistan,1916,0.875
Afghanistan,1917,0.875
Afghanistan,1918,0.875
Afghanistan,1919,1.0
Afghanistan,1920,1.0
Afghanistan,1921,1.0
Afghanistan,1922,0.25
Afghanistan,1923,0.25
Afghanistan,1924,0.25
Afghanistan,1925,0.25
Afghanistan,1926,0.25
Afghanistan,1927,0.25
Afghanistan,1928,1.0
Afghanistan,1929,1.0
Afghanistan,1930,1.0
Afghanistan,1931,1.0
Afghanistan,1932,1.0
Afghanistan,1933,1.0
Afghanistan,1934,1.0
Afghanistan,1935,1.0
Afghanistan,1936,1.0
Afghanistan,1937,1.0
Afghanistan,1938,1.0
Afghanistan,1939,1.0
Afghanistan,1940,1.0
Afghanistan,1941,1.0
Afghanistan,1942,1.0
Afghanistan,1943,1.0
Afghanistan,1944,1.0
Afghanistan,1945,0.5
Afghanistan,1946,0.5
Afghanistan,1947,0.5
Afghanistan,1948,0.5
Afghanistan,1949,0.5
Afghanistan,1950,0.5
Afghanistan,1951,0.5
Afghanistan,1952,0.5
Afghanistan,1953,0.5
Afghanistan,1954,0.5
Afghanistan,1955,0.5
Afghanistan,1956,0.5
Afghanistan,1957,0.5
Afghanistan,1958,0.5
Afghanistan,1959,0.5
Afghanistan,1960,0.5
Afghanistan,1961,0.5
Afghanistan,1962,0.5
Afghanistan,1963,0.5
Afghanistan,1964,0.25
Afghanistan,1965,0.25
Afghanistan,1966,0.25
Afghanistan,1967,0.25
Afghanistan,1968,0.25
Afghanistan,1969,0.125
Afghanistan,1970,0.125
Afghanistan,1971,0.125
Afghanistan,1972,0.125
Afghanistan,1973,0.125
Afghanistan,1974,0.625
Afghanistan,1975,0.625
Afghanistan,1976,0.625
Afghanistan,1977,1.0
Afghanistan,1978,1.0
Afghanistan,1979,1.0
Afghanistan,1980,1.0
Afghanistan,1981,1.0
Afghanistan,1982,1.0
Afghanistan,1983,1.0
Afghanistan,1984,1.0
Afghanistan,1985,1.0
Afghanistan,1986,1.0
Afghanistan,1987,1.0
Afghanistan,1988,1.0
Afghanistan,1989,1.0
Afghanistan,1990,1.0
Afghanistan,1991,1.0
Afghanistan,1992,1.0
Afghanistan,1993,1.0
Afghanistan,1994,1.0
Afghanistan,1995,1.0
Afghanistan,1996,1.0
Afghanistan,1997,1.0
Afghanistan,1998,1.0
Afghanistan,1999,1.0
Afghanistan,2000,1.0
Afghanistan,2001,1.0
Afghanistan,2002,1.0
Afghanistan,2003,1.0
Afghanistan,2004,1.0
Afghanistan,2005,1.0
Afghanistan,2006,1.0
Afghanistan,2007,1.0
Afghanistan,2008,1.0
Afghanistan,2009,1.0
Afghanistan,2010,1.0
Afghanistan,2011,1.0
Afghanistan,2012,1.0
Afghanistan,2013,1.0
Afghanistan,2014,1.0
Afghanistan,2015,1.0
Afghanistan,2016,1.0
Afghanistan,2017,1.0
Afghanistan,2018,1.0
Afghanistan,2019,1.0
Afghanistan,2020,1.0
Afghanistan,2021,1.0
Afghanistan,2022,1.0
Afghanistan,2023,1.0
Afghanistan,2024,1.0
Afghanistan,2025,1.0
Argentina,1950,0.0
Argentina,1951,0.0
Argentina,1952,0.25
Argentina,1953,0.5
Argentina,1954,0.5
Argentina,1955,1.0
Argentina,1956,0.875
Argentina,1957,0.25
Argentina,1958,0.0
Argentina,1959,0.5
Argentina,1960,0.0
Argentina,1961,0.0
Argentina,1962,1.0
Argentina,1963,0.25
Argentina,1964,0.0
Argentina,1965,0.0
Argentina,1966,0.5
Argentina,1967,0.125
Argentina,1968,0.375
Argentina,1969,0.875
Argentina,1970,1.0
Argentina,1971,1.0
Argentina,1972,1.0
Argentina,1973,0.25
Argentina,1974,1.0
Argentina,1975,1.0
Argentina,1976,0.875
Argentina,1977,0.875
Argentina,1978,0.875
Argentina,1979,0.75
Argentina,1980,0.75
Argentina,1981,0.875
Argentina,1982,1.0
Argentina,1983,0.875
Argentina,1984,0.125
Argentina,1985,0.5
Argentina,1986,0.125
Argentina,1987,0.625
Argentina,1988,1.0
Argentina,1989,1.0
Argentina,1990,1.0
Argentina,1991,0.0
Argentina,1992,0.0
Argentina,1993,0.0
Argentina,1994,0.0
Argentina,1995,0.0
Argentina,1996,0.0
Argentina,1997,0.0
Argentina,1998,0.0
Argentina,1999,0.5
Argentina,2000,1.0
Argentina,2001,1.0
Argentina,2002,1.0
Argentina,2003,1.0
Argentina,2004,0.25
Argentina,2005,0.0
