Society,Year,Rupture_Incoming,Is_Rupture_Year,Mean_S,Mean_K,SK_Ratio,Mean_NodeValue,Mean_BondStrength,Archive_V,Archive_S,Helm_V,Reactivity_Ratio,Cog_Gap,B_t_canonical,B_i_mean,N_v2,Cd_v2,T_v2,F_Deficit,P_i,Rupture_Deficit
Afghanistan,1900,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1901,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1902,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1903,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1904,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1905,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1906,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1907,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1908,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1909,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1910,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1911,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1912,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1913,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1914,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1915,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1916,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1917,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1918,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233,0.1698038415934825,0.1698038415934825,0.0,0.0726053043237247,0.1697159352599863,0.875,-22.0,0
Afghanistan,1919,0,0,6.75,3.5,1.929,2.188,0.1408,4.0,6.0,3.0,1.146,4.033,0.1407748442128266,0.1407748442128266,0.1530951478206744,0.0105895868575258,0.1427205931111227,1.0,-37.25,0
Afghanistan,1920,0,0,6.75,3.5,1.929,2.188,0.1408,4.0,6.0,3.0,1.146,4.033,0.1407748442128266,0.1407748442128266,0.1224761182565395,0.0105895868575258,0.1427205931111227,1.0,-37.25,0
Afghanistan,1921,0,0,5.75,3.875,1.484,4.0,0.1743,6.0,5.0,4.0,1.173,2.667,0.1743205711106558,0.1743205711106558,0.1756602541693277,0.016109859257259,0.1733427077541423,1.0,-24.125,0
Afghanistan,1922,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767,0.2298960469284799,0.2298960469284799,0.3500456455422153,0.2549407913866028,0.2437954740306508,0.25,4.875,0
Afghanistan,1923,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767,0.2298960469284799,0.2298960469284799,0.2895674382096752,0.2549407913866028,0.2437954740306508,0.25,4.875,0
Afghanistan,1924,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767,0.2298960469284799,0.2298960469284799,0.2120752001199019,0.2549407913866028,0.2437954740306508,0.25,4.875,0
Afghanistan,1925,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767,0.2298960469284799,0.2298960469284799,0.1455630724991765,0.2549407913866028,0.2437954740306508,0.25,4.875,0
Afghanistan,1926,1,0,4.75,4.625,1.027,6.812,0.2352,9.5,4.0,7.0,1.212,3.7,0.2352232131788443,0.2352232131788443,0.1560765654697726,0.2482323339810965,0.2481647222470025,0.25,5.5,0
Afghanistan,1927,1,0,4.75,4.625,1.027,6.812,0.2352,9.5,4.0,7.0,1.212,3.7,0.2352232131788443,0.2352232131788443,0.0920582631845698,0.2482323339810965,0.2481647222470025,0.25,5.5,1
Afghanistan,1928,1,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267,0.1783005323797948,0.1783005323797948,0.3743091933762448,0.0093314109585834,0.17450666895726,1.0,-24.875,1
Afghanistan,1929,0,1,6.75,2.75,2.455,1.0,0.1313,3.5,6.0,1.0,1.146,4.267,0.1312511019800382,0.1312511019800382,0.2537380464648366,0.0179664360016005,0.1406309443647401,1.0,-43.25,1
Afghanistan,1930,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267,0.1783005323797948,0.1783005323797948,0.2999256681861087,0.0093314109585834,0.17450666895726,1.0,-24.875,0
Afghanistan,1931,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267,0.1783005323797948,0.1783005323797948,0.2304792772581799,0.0093314109585834,0.17450666895726,1.0,-24.875,0
Afghanistan,1932,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267,0.1783005323797948,0.1783005323797948,0.1539929098381817,0.0093314109585834,0.17450666895726,1.0,-24.875,0
Afghanistan,1933,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267,0.1783005323797948,0.1783005323797948,0.0709523690491042,0.0093314109585834,0.17450666895726,1.0,-24.875,0
Afghanistan,1934,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267,0.1783005323797948,0.1783005323797948,0.0709523690491042,0.0093314109585834,0.17450666895726,1.0,-24.875,0
Afghanistan,1935,0,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267,0.1783005323797948,0.1783005323797948,0.0,0.0093314109585834,0.17450666895726,1.0,-24.875,0
