Society,Year,Rupture_Incoming,Is_Rupture_Year,Mean_S,Mean_K,SK_Ratio,Mean_NodeValue,Mean_BondStrength,Archive_V,Archive_S,Helm_V,Reactivity_Ratio,Cog_Gap
Afghanistan,1900,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1901,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1902,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1903,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1904,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1905,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1906,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1907,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1908,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1909,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1910,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1911,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1912,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1913,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1914,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1915,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1916,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1917,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1918,0,0,5.75,3.75,1.533,3.812,0.1698,6.0,5.0,4.5,1.173,4.233
Afghanistan,1919,0,0,6.75,3.5,1.929,2.188,0.1408,4.0,6.0,3.0,1.146,4.033
Afghanistan,1920,0,0,6.75,3.5,1.929,2.188,0.1408,4.0,6.0,3.0,1.146,4.033
Afghanistan,1921,0,0,5.75,3.875,1.484,4.0,0.1743,6.0,5.0,4.0,1.173,2.667
Afghanistan,1922,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767
Afghanistan,1923,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767
Afghanistan,1924,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767
Afghanistan,1925,0,0,4.75,4.625,1.027,6.688,0.2299,9.5,4.0,7.0,1.212,3.767
Afghanistan,1926,1,0,4.75,4.625,1.027,6.812,0.2352,9.5,4.0,7.0,1.212,3.7
Afghanistan,1927,1,0,4.75,4.625,1.027,6.812,0.2352,9.5,4.0,7.0,1.212,3.7
Afghanistan,1928,1,0,5.75,3.75,1.533,4.0,0.1783,6.5,5.0,4.0,1.173,4.267
