Society,N_base_test,N_aug_test,N_rupture_test,AUC_Baseline,AUC_Augmented,delta_AUC
Afghanistan,126,121,18,0.5247,0.5165,-0.0082
Argentina,76,71,12,0.4596,0.4839,0.0242
Australia,126,121,0,,,
Brazil,126,121,12,0.7156,0.6995,-0.0161
Canada,26,21,0,,,
Chile,126,121,6,0.6194,0.5855,-0.0339
China,126,121,15,0.6793,0.6956,0.0163
Colombia,126,121,6,0.8757,0.9029,0.0272
Denmark,3,3,0,,,
Egypt,126,121,11,0.7652,0.7529,-0.0123
Estonia,123,118,6,0.6211,0.622,0.0009
Finland,122,117,3,0.6947,0.7105,0.0158
France,126,121,6,0.9056,0.8826,-0.0229
Germany,126,121,9,0.9031,0.8968,-0.0063
Hong Kong,116,111,6,0.3515,0.2849,-0.0666
India,73,68,3,0.1429,0.1308,-0.0121
Indonesia,85,80,7,0.1905,0.1351,-0.0553
Iran,126,121,9,0.6163,0.6303,0.014
Iraq,124,119,24,0.7031,0.7129,0.0098
Israel,80,75,11,0.417,0.3224,-0.0946
Italy,124,119,9,0.7005,0.6626,-0.0379
Japan,126,121,6,0.6889,0.6659,-0.0229
Lebanon,83,78,13,0.3643,0.2953,-0.069
New Zealand,126,121,3,0.5881,0.5678,-0.0203
Nigeria,75,70,7,0.355,0.3379,-0.0172
Norway,126,121,3,0.7005,0.6893,-0.0113
Pakistan,78,73,12,0.4426,0.4447,0.0021
Palestine,81,76,9,0.5154,0.3714,-0.144
Philippines,117,112,6,0.8604,0.8616,0.0013
Poland,126,121,9,0.6287,0.6488,0.0201
Russia,126,121,17,0.3335,0.7296,0.3961
Saudi Arabia,125,120,3,0.041,0.0,-0.041
Singapore,96,91,3,0.81,0.7917,-0.0184
South Africa,126,121,9,0.6842,0.7153,0.031
Sweden,125,120,0,,,
Syria,112,107,9,0.7292,0.7494,0.0202
Thailand,124,119,12,0.3092,0.3006,-0.0085
Türkiye,25,20,0,,,
UAE,50,45,0,,,
USA,126,121,12,0.3874,0.3761,-0.0113
Ukraine,84,79,7,0.3748,0.3447,-0.03
United Kingdom,126,121,12,0.4331,0.3998,-0.0333
Venezuela,56,51,9,0.6738,0.5397,-0.1341
