Society,Year,T_Offset,set_id,Mean_C,Mean_K,Mean_S,Mean_A,Mean_NodeValue,Mean_BondStrength,SK_Ratio,Reactivity_Ratio,Cog_Gap,Archive_V,Archive_S,Helm_V,Helm_S,Shield_V,Shield_S
Afghanistan,1900,T+0,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1901,T+1,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1902,T+2,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1903,T+3,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1904,T+4,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1905,T+5,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1906,T+6,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1907,T+7,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1908,T+8,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1909,T+9,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1910,T+10,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1911,T+11,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1912,T+12,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1913,T+13,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1914,T+14,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1915,T+15,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1916,T+16,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
Afghanistan,1917,T+17,set_3,4.25,3.75,5.75,3.125,3.812,0.1698,1.533,1.173,4.233,6.0,5.0,4.5,6.0,3.5,6.0
