Society,Rupture_Year,Type
Afghanistan,1929,coup
Afghanistan,1973,coup
Afghanistan,1978,coup
Afghanistan,1992,civil_war
Afghanistan,2001,state_collapse
Afghanistan,2021,regime_change
Argentina,1930,coup
Argentina,1943,coup
Argentina,1955,coup
Argentina,1966,coup
Argentina,1976,coup
Argentina,2001,economic_crisis
Brazil,1930,coup
Brazil,1937,coup
Brazil,1964,coup
Brazil,2016,political_crisis
Chile,1973,coup
Chile,2019,political_crisis
China,1912,regime_change
China,1927,civil_war
China,1949,regime_change
China,1966,political_crisis
China,1989,political_crisis
Colombia,1953,coup
Colombia,1999,economic_crisis
Egypt,1952,coup
Egypt,1967,war_crisis
Egypt,2011,revolution
Egypt,2013,coup
Estonia,1940,occupation
Estonia,1991,independence
Finland,1918,civil_war
France,1940,occupation
France,1958,regime_change
Germany,1918,revolution
Germany,1933,coup
Germany,1945,state_collapse
Hong Kong,1967,political_crisis
Hong Kong,1997,regime_change
Hong Kong,2019,political_crisis
India,1947,independence
India,1975,political_crisis
Indonesia,1942,occupation
Indonesia,1965,coup
Indonesia,1997,economic_crisis
Iran,1906,revolution
Iran,1953,coup
Iran,1979,revolution
Iraq,1941,coup
Iraq,1958,coup
Iraq,1968,coup
Iraq,1980,war_crisis
Iraq,1990,war_crisis
Iraq,2003,state_collapse
Iraq,2006,civil_war
Iraq,2014,state_collapse
Israel,1948,war_crisis
Israel,1967,war_crisis
Israel,1973,war_crisis
Israel,2023,political_crisis
Italy,1922,coup
Italy,1943,war_crisis
Italy,1992,political_crisis
Japan,1932,coup
Japan,1945,state_collapse
Lebanon,1958,civil_conflict
Lebanon,1975,civil_war
Lebanon,2006,war_crisis
Lebanon,2019,revolution
Lebanon,2020,economic_crisis
Netherlands,1940,occupation
Nigeria,1966,coup
Nigeria,1967,civil_war
Nigeria,1983,coup
Norway,1940,occupation
Pakistan,1947,independence
Pakistan,1958,coup
Pakistan,1971,civil_war
Pakistan,1977,coup
Pakistan,1999,coup
Palestine,1948,war_crisis
Palestine,1967,occupation
Palestine,2007,political_crisis
Philippines,1972,coup
Philippines,1986,revolution
Poland,1939,occupation
Poland,1981,political_crisis
Poland,1989,regime_change
Russia,1905,revolution
Russia,1917,revolution
Russia,1991,state_collapse
Russia,1993,political_crisis
Russia,1998,economic_crisis
Russia,2022,war_crisis
Saudi Arabia,1979,political_crisis
Singapore,1965,independence
South Africa,1960,political_crisis
South Africa,1976,political_crisis
South Africa,2021,political_crisis
Syria,1963,coup
Syria,1970,coup
Syria,2011,civil_war
Thailand,1932,coup
Thailand,1973,revolution
Thailand,2006,coup
Thailand,2014,coup
Türkiye,1960,coup
Türkiye,1980,coup
Türkiye,2016,coup_attempt
USA,1929,economic_crisis
USA,2001,political_crisis
USA,2008,economic_crisis
USA,2021,political_crisis
Ukraine,1932,famine_crisis
Ukraine,1991,independence
Ukraine,2014,revolution
Ukraine,2022,war_crisis
United Kingdom,1940,war_crisis
United Kingdom,1956,political_crisis
United Kingdom,1976,economic_crisis
United Kingdom,2008,economic_crisis
Venezuela,1992,coup_attempt
Venezuela,2002,coup_attempt
Venezuela,2019,political_crisis
New Zealand,2020,economic_crisis
Denmark,1940,occupation
