Society,Rupture_Year,Type,Window_Mean_P,Window_Frac_Deficit,P_Type
Afghanistan,1929,coup,-31.0,1.0,deficit_crisis
Afghanistan,1973,coup,-0.75,0.6666666666666666,deficit_crisis
Afghanistan,1978,coup,-54.5,1.0,deficit_crisis
Afghanistan,1992,civil_war,-51.0,1.0,deficit_crisis
Afghanistan,2001,state_collapse,-49.166666666666664,1.0,deficit_crisis
Afghanistan,2021,regime_change,-53.5,1.0,deficit_crisis
Argentina,1930,coup,,,unknown
Argentina,1943,coup,,,unknown
Argentina,1955,coup,-22.587999999999997,1.0,deficit_crisis
Argentina,1966,coup,-4.712000000000001,0.6666666666666666,deficit_crisis
Argentina,1976,coup,-26.291666666666668,1.0,deficit_crisis
Argentina,2001,economic_crisis,-26.15833333333333,1.0,deficit_crisis
Brazil,1930,coup,-86.58333333333333,1.0,deficit_crisis
Brazil,1937,coup,159.29166666666666,0.0,coordination_transition
Brazil,1964,coup,-0.25,0.3333333333333333,deficit_crisis
Brazil,2016,political_crisis,-84.83333333333333,1.0,deficit_crisis
Chile,1973,coup,-32.147666666666666,1.0,deficit_crisis
Chile,2019,political_crisis,18.731333333333335,0.3333333333333333,coordination_transition
China,1912,regime_change,-42.875,1.0,deficit_crisis
China,1927,civil_war,-23.375,1.0,deficit_crisis
China,1949,regime_change,-10.166666666666666,1.0,deficit_crisis
China,1966,political_crisis,-44.208333333333336,1.0,deficit_crisis
China,1989,political_crisis,-4.833333333333333,0.6666666666666666,deficit_crisis
Colombia,1953,coup,-6.808333333333333,1.0,deficit_crisis
Colombia,1999,economic_crisis,-49.916666666666664,1.0,deficit_crisis
Egypt,1952,coup,-9.416666666666666,0.3333333333333333,deficit_crisis
Egypt,1967,war_crisis,-78.20833333333333,1.0,deficit_crisis
Egypt,2011,revolution,-146.04166666666666,1.0,deficit_crisis
Egypt,2013,coup,-21.916666666666668,0.3333333333333333,deficit_crisis
Estonia,1940,occupation,-46.166666666666664,1.0,deficit_crisis
Estonia,1991,independence,408.0,0.0,coordination_transition
Finland,1918,civil_war,159.04166666666666,0.0,coordination_transition
France,1940,occupation,-44.875,1.0,deficit_crisis
France,1958,regime_change,82.95833333333333,0.0,coordination_transition
Germany,1918,revolution,-71.41666666666667,1.0,deficit_crisis
Germany,1933,coup,-15.625,0.6666666666666666,deficit_crisis
Germany,1945,state_collapse,-39.041666666666664,1.0,deficit_crisis
Hong Kong,1967,political_crisis,12.125,0.6666666666666666,coordination_transition
Hong Kong,1997,regime_change,54.833333333333336,0.0,coordination_transition
Hong Kong,2019,political_crisis,,,unknown
India,1947,independence,,,unknown
India,1975,political_crisis,73.25,0.0,coordination_transition
Indonesia,1942,occupation,-22.333333333333332,1.0,deficit_crisis
Indonesia,1965,coup,-35.75,1.0,deficit_crisis
Indonesia,1997,economic_crisis,-46.791666666666664,1.0,deficit_crisis
Iran,1906,revolution,-46.720333333333336,1.0,deficit_crisis
Iran,1953,coup,-8.902333333333338,0.3333333333333333,deficit_crisis
Iran,1979,revolution,-63.971000000000004,1.0,deficit_crisis
Iraq,1941,coup,-31.708333333333332,1.0,deficit_crisis
Iraq,1958,coup,-40.875,1.0,deficit_crisis
Iraq,1968,coup,-21.0,1.0,deficit_crisis
Iraq,1980,war_crisis,-35.875,1.0,deficit_crisis
Iraq,1990,war_crisis,-42.625,1.0,deficit_crisis
Iraq,2003,state_collapse,-59.25,1.0,deficit_crisis
Iraq,2006,civil_war,-49.333333333333336,1.0,deficit_crisis
Iraq,2014,state_collapse,-42.625,1.0,deficit_crisis
Israel,1948,war_crisis,118.83333333333333,0.0,coordination_transition
Israel,1967,war_crisis,129.125,0.0,coordination_transition
Israel,1973,war_crisis,-47.25,1.0,deficit_crisis
Israel,2023,political_crisis,0.0,0.0,coordination_transition
Italy,1922,coup,84.04166666666667,0.0,coordination_transition
Italy,1943,war_crisis,-31.708333333333332,1.0,deficit_crisis
Italy,1992,political_crisis,60.875,0.0,coordination_transition
Japan,1932,coup,139.0,0.0,coordination_transition
Japan,1945,state_collapse,-117.08333333333333,1.0,deficit_crisis
Lebanon,1958,civil_conflict,0.0,0.0,coordination_transition
Lebanon,1975,civil_war,-55.5,1.0,deficit_crisis
Lebanon,2006,war_crisis,63.375,0.0,coordination_transition
Lebanon,2019,revolution,19.458333333333332,0.6666666666666666,coordination_transition
Lebanon,2020,economic_crisis,-2.5,1.0,deficit_crisis
Netherlands,1940,occupation,,,unknown
Nigeria,1966,coup,-37.541666666666664,1.0,deficit_crisis
Nigeria,1967,civil_war,-40.25,1.0,deficit_crisis
Nigeria,1983,coup,-40.25,1.0,deficit_crisis
Norway,1940,occupation,-26.081666666666663,1.0,deficit_crisis
Pakistan,1947,independence,-37.416666666666664,1.0,deficit_crisis
Pakistan,1958,coup,136.25,0.0,coordination_transition
Pakistan,1971,civil_war,-39.0,0.6666666666666666,deficit_crisis
Pakistan,1977,coup,0.0,0.0,coordination_transition
Pakistan,1999,coup,34.125,0.0,coordination_transition
Palestine,1948,war_crisis,44.583333333333336,0.0,coordination_transition
Palestine,1967,occupation,44.125,0.0,coordination_transition
Palestine,2007,political_crisis,-34.5,1.0,deficit_crisis
Philippines,1972,coup,42.291666666666664,0.3333333333333333,coordination_transition
Philippines,1986,revolution,-8.25,0.6666666666666666,deficit_crisis
Poland,1939,occupation,-126.75833333333333,1.0,deficit_crisis
Poland,1981,political_crisis,-39.166666666666664,1.0,deficit_crisis
Poland,1989,regime_change,-56.0,1.0,deficit_crisis
Russia,1905,revolution,-29.833333333333332,1.0,deficit_crisis
Russia,1917,revolution,-63.541666666666664,1.0,deficit_crisis
Russia,1991,state_collapse,-74.75,1.0,deficit_crisis
Russia,1993,political_crisis,-81.125,1.0,deficit_crisis
Russia,1998,economic_crisis,-85.16666666666667,1.0,deficit_crisis
Russia,2022,war_crisis,-65.375,1.0,deficit_crisis
Saudi Arabia,1979,political_crisis,122.58333333333333,0.0,coordination_transition
Singapore,1965,independence,29.5,0.3333333333333333,coordination_transition
South Africa,1960,political_crisis,90.04166666666667,0.3333333333333333,coordination_transition
South Africa,1976,political_crisis,6.875,0.3333333333333333,coordination_transition
South Africa,2021,political_crisis,-72.41666666666667,1.0,deficit_crisis
Syria,1963,coup,-44.083333333333336,1.0,deficit_crisis
Syria,1970,coup,-32.333333333333336,1.0,deficit_crisis
Syria,2011,civil_war,-42.375,1.0,deficit_crisis
Thailand,1932,coup,3.5,0.0,coordination_transition
Thailand,1973,revolution,122.75,0.0,coordination_transition
Thailand,2006,coup,123.375,0.0,coordination_transition
Thailand,2014,coup,123.375,0.0,coordination_transition
Türkiye,1960,coup,,,unknown
Türkiye,1980,coup,,,unknown
Türkiye,2016,coup_attempt,,,unknown
USA,1929,economic_crisis,-13.902333333333331,0.6666666666666666,deficit_crisis
USA,2001,political_crisis,103.89666666666666,0.0,coordination_transition
USA,2008,economic_crisis,6.096999999999999,0.6666666666666666,coordination_transition
USA,2021,political_crisis,-11.324000000000003,1.0,deficit_crisis
Ukraine,1932,famine_crisis,32.666666666666664,0.3333333333333333,coordination_transition
Ukraine,1991,independence,43.166666666666664,0.0,coordination_transition
