Society,Year,T_Offset,sigma_V,mean_V
Afghanistan,1900,T+0,2.75081156855832,3.8125
Afghanistan,1901,T+1,2.75081156855832,3.8125
Afghanistan,1910,T+10,2.75081156855832,3.8125
Afghanistan,2000,T+100,2.5877458475338284,-3.375
Afghanistan,2001,T+101,1.302470180629319,-5.375
Afghanistan,2002,T+102,2.052872551885702,-2.75
Afghanistan,2003,T+103,2.052872551885702,-2.75
Afghanistan,2004,T+104,2.052872551885702,0.25
Afghanistan,2005,T+105,2.052872551885702,0.25
Afghanistan,2006,T+106,2.052872551885702,0.25
Afghanistan,2007,T+107,2.052872551885702,0.25
Afghanistan,2008,T+108,2.052872551885702,0.25
Afghanistan,2009,T+109,2.052872551885702,0.25
Afghanistan,1911,T+11,2.75081156855832,3.8125
Afghanistan,2010,T+110,2.052872551885702,0.25
Afghanistan,2011,T+111,2.052872551885702,0.25
Afghanistan,2012,T+112,2.052872551885702,0.25
Afghanistan,2013,T+113,2.052872551885702,0.25
Afghanistan,2014,T+114,2.052872551885702,0.25
Afghanistan,2015,T+115,2.052872551885702,0.25
Afghanistan,2016,T+116,2.052872551885702,0.25
Afghanistan,2017,T+117,2.052872551885702,0.25
Afghanistan,2018,T+118,2.052872551885702,0.25
Afghanistan,2019,T+119,2.052872551885702,0.25
Afghanistan,1912,T+12,2.75081156855832,3.8125
Afghanistan,2020,T+120,2.052872551885702,0.25
Afghanistan,2021,T+121,2.052872551885702,-2.75
Afghanistan,2022,T+122,2.052872551885702,-2.75
Afghanistan,2023,T+123,2.052872551885702,-2.75
Afghanistan,2024,T+124,2.052872551885702,-2.75
Afghanistan,2025,T+125,2.052872551885702,-2.75
Afghanistan,1913,T+13,2.75081156855832,3.8125
Afghanistan,1914,T+14,2.75081156855832,3.8125
Afghanistan,1915,T+15,2.75081156855832,3.8125
Afghanistan,1916,T+16,2.75081156855832,3.8125
Afghanistan,1917,T+17,2.75081156855832,3.8125
Afghanistan,1918,T+18,2.75081156855832,3.8125
Afghanistan,1919,T+19,2.3895232638690564,2.1875
Afghanistan,1902,T+2,2.75081156855832,3.8125
Afghanistan,1920,T+20,2.3895232638690564,2.1875
Afghanistan,1921,T+21,1.9639610121239315,4.0
Afghanistan,1922,T+22,2.491951329494906,6.6875
Afghanistan,1923,T+23,2.491951329494906,6.6875
Afghanistan,1924,T+24,2.491951329494906,6.6875
Afghanistan,1925,T+25,2.491951329494906,6.6875
Afghanistan,1926,T+26,2.520452056958944,6.8125
Afghanistan,1927,T+27,2.520452056958944,6.8125
Afghanistan,1928,T+28,2.6457513110645907,4.0
Afghanistan,1929,T+29,2.6457513110645907,1.0
Afghanistan,1903,T+3,2.75081156855832,3.8125
Afghanistan,1930,T+30,2.6457513110645907,4.0
Afghanistan,1931,T+31,2.6457513110645907,4.0
Afghanistan,1932,T+32,2.6457513110645907,4.0
Afghanistan,1933,T+33,2.6457513110645907,4.0
Afghanistan,1934,T+34,2.6457513110645907,4.0
Afghanistan,1935,T+35,2.6457513110645907,4.0
Afghanistan,1936,T+36,2.6457513110645907,4.0
Afghanistan,1937,T+37,2.6457513110645907,4.0
Afghanistan,1938,T+38,2.6457513110645907,4.0
Afghanistan,1939,T+39,2.6457513110645907,4.0
Afghanistan,1904,T+4,2.75081156855832,3.8125
Afghanistan,1940,T+40,2.6457513110645907,4.0
Afghanistan,1941,T+41,2.6457513110645907,4.0
Afghanistan,1942,T+42,2.6457513110645907,4.0
Afghanistan,1943,T+43,2.6457513110645907,4.0
Afghanistan,1944,T+44,2.6457513110645907,4.0
Afghanistan,1945,T+45,2.52752702401831,5.9375
Afghanistan,1946,T+46,2.52752702401831,5.9375
Afghanistan,1947,T+47,2.52752702401831,5.9375
Afghanistan,1948,T+48,2.52752702401831,5.9375
Afghanistan,1949,T+49,2.52752702401831,5.9375
Afghanistan,1905,T+5,2.75081156855832,3.8125
Afghanistan,1950,T+50,2.52752702401831,5.9375
Afghanistan,1951,T+51,2.52752702401831,5.9375
Afghanistan,1952,T+52,2.52752702401831,5.9375
Afghanistan,1953,T+53,2.52752702401831,5.9375
Afghanistan,1954,T+54,2.52752702401831,5.9375
Afghanistan,1955,T+55,2.52752702401831,5.9375
Afghanistan,1956,T+56,2.52752702401831,5.9375
Afghanistan,1957,T+57,2.52752702401831,5.9375
Afghanistan,1958,T+58,2.52752702401831,5.9375
Afghanistan,1959,T+59,2.52752702401831,5.9375
Afghanistan,1906,T+6,2.75081156855832,3.8125
Afghanistan,1960,T+60,2.52752702401831,5.9375
Afghanistan,1961,T+61,2.52752702401831,5.9375
Afghanistan,1962,T+62,2.52752702401831,5.9375
Afghanistan,1963,T+63,2.52752702401831,5.9375
Afghanistan,1964,T+64,2.52752702401831,6.9375
Afghanistan,1965,T+65,2.52752702401831,6.9375
Afghanistan,1966,T+66,2.52752702401831,6.9375
Afghanistan,1967,T+67,2.52752702401831,6.9375
Afghanistan,1968,T+68,2.52752702401831,6.9375
Afghanistan,1969,T+69,2.4631208426941393,8.8125
Afghanistan,1907,T+7,2.75081156855832,3.8125
Afghanistan,1970,T+70,2.4631208426941393,8.8125
Afghanistan,1971,T+71,2.4631208426941393,8.8125
Afghanistan,1972,T+72,2.4631208426941393,8.8125
Afghanistan,1973,T+73,2.4631208426941393,8.8125
Afghanistan,1974,T+74,2.591193878173865,5.5
Afghanistan,1975,T+75,2.591193878173865,5.5
Afghanistan,1976,T+76,2.591193878173865,5.5
Afghanistan,1977,T+77,2.669269563007828,2.625
Afghanistan,1978,T+78,2.7902892835178013,-0.25
Afghanistan,1979,T+79,2.7902892835178013,-0.25
Afghanistan,1908,T+8,2.75081156855832,3.8125
Afghanistan,1980,T+80,2.7902892835178013,-0.25
Afghanistan,1981,T+81,2.7902892835178013,-0.25
Afghanistan,1982,T+82,2.748376143938713,-2.375
Afghanistan,1983,T+83,2.748376143938713,-2.375
Afghanistan,1984,T+84,3.3058389901160385,-0.75
Afghanistan,1985,T+85,3.3058389901160385,-0.75
Afghanistan,1986,T+86,3.3058389901160385,-0.75
Afghanistan,1987,T+87,3.3058389901160385,-0.75
Afghanistan,1988,T+88,3.3058389901160385,-0.75
Afghanistan,1989,T+89,3.3058389901160385,-0.75
Afghanistan,1909,T+9,2.75081156855832,3.8125
Afghanistan,1990,T+90,3.3058389901160385,-0.75
Afghanistan,1991,T+91,3.3058389901160385,-0.75
Afghanistan,1992,T+92,3.3058389901160385,-0.75
Afghanistan,1993,T+93,3.3058389901160385,-0.75
Afghanistan,1994,T+94,3.3058389901160385,-0.75
Afghanistan,1995,T+95,3.3058389901160385,-0.75
Afghanistan,1996,T+96,2.5877458475338284,-3.375
Afghanistan,1997,T+97,2.5877458475338284,-3.375
Afghanistan,1998,T+98,2.5877458475338284,-3.375
Afghanistan,1999,T+99,2.5877458475338284,-3.375
Argentina,1950,T+0,1.4606749907393595,9.725
Argentina,1951,T+1,1.5294723646688462,9.725
Argentina,1960,T+10,0.0,7.5
Argentina,1961,T+11,0.0,7.5
Argentina,1962,T+12,2.0119287121707723,2.675
Argentina,1963,T+13,0.9285164818907942,6.925000000000001
Argentina,1964,T+14,0.0,7.5
Argentina,1965,T+15,0.0,7.5
Argentina,1966,T+16,2.1293442988058895,6.2625
Argentina,1967,T+17,0.919238815542512,7.575
Argentina,1968,T+18,1.586944503485505,7.0125
Argentina,1969,T+19,1.5606202979218595,5.0874999999999995
Argentina,1952,T+2,1.2777631124072146,7.4125
Argentina,1970,T+20,1.1649647450214349,4.1
Argentina,1971,T+21,1.0673732778581795,3.7249999999999996
Argentina,1972,T+22,1.791597451597715,2.0875000000000004
Argentina,1973,T+23,1.5108535903351363,6.8375
Argentina,1974,T+24,0.8382592507265112,4.5625
Argentina,1975,T+25,1.3238876732670983,0.012500000000000094
Argentina,1976,T+26,3.5026265654709547,2.3375
Argentina,1977,T+27,4.423617621036301,2.9625
Argentina,1978,T+28,4.354779804175769,4.3875
Argentina,1979,T+29,4.186521740743059,5.3125
Argentina,1953,T+3,1.133184514038708,6.8875
Argentina,1980,T+30,3.8895464296716438,5.300000000000001
Argentina,1981,T+31,3.036445290137795,3.15
Argentina,1982,T+32,2.542776884768753,0.35000000000000003
Argentina,1983,T+33,1.6273883547398444,5.3625
Argentina,1984,T+34,2.094849125150271,8.0625
Argentina,1985,T+35,2.4625407900900123,7.6125
Argentina,1986,T+36,1.7907999010817166,8.3125
Argentina,1987,T+37,1.5528775133372792,6.0
Argentina,1988,T+38,1.7007876326656923,3.4124999999999996
Argentina,1989,T+39,2.9154453225144574,-1.2375
Argentina,1954,T+4,0.9218575966880287,6.9125
Argentina,1990,T+40,1.2229209763045665,4.3125
Argentina,1991,T+41,1.093813773650968,7.625
Argentina,1992,T+42,1.1630471062809844,7.6875
Argentina,1993,T+43,1.3946325680981353,8.925
Argentina,1994,T+44,1.382285891454545,8.875
Argentina,1995,T+45,1.625686668105863,9.0
Argentina,1996,T+46,1.7474471175321524,9.125
Argentina,1997,T+47,1.5146899729930592,9.4
Argentina,1998,T+48,1.2224097980160802,8.3
Argentina,1999,T+49,1.3281969518324994,6.3125
Argentina,1955,T+5,1.159972290309434,1.7625000000000002
Argentina,2000,T+50,1.862362171314392,3.2625
Argentina,2001,T+51,3.1066461015056093,-1.2625
