Year,IPR,Mean_Stress,Mean_Capacity,Mean_NodeValue,Mean_BondStrength,Stress_SD,Reactivity_Ratio,Cog_Gap,Archive_V,Archive_S,Stewards_V,Stewards_S,Hands_V,Hands_S,Shield_V,Interest_M,Revenue_M
1996,16.5894,3.525,7.85,14.4,31.6158,0.684,1.0659,1.0667,14.9,3.0,15.1,3.4,10.5,5.0,16.2,241053,1453053
1997,15.4495,3.05,8.25,15.575,35.0589,0.487,1.0088,0.8133,15.3,3.0,16.7,3.0,11.5,4.0,16.8,243984,1579232
1998,14.0044,4.25,7.95,13.2,26.639,1.3722,0.7143,-1.8133,10.1,5.8,16.3,3.2,11.5,4.0,15.4,241118,1721728
1999,12.5724,3.95,7.975,14.0375,30.2659,0.7387,0.7944,-0.9,13.1,3.8,16.4,3.6,11.5,4.0,14.0,229755,1827452
2000,11.0088,5.25,7.55,11.4375,22.6826,0.8864,0.9069,-0.7933,9.9,5.8,12.2,5.6,10.7,4.8,14.0,222949,2025191
2001,10.3545,7.275,6.85,9.425,21.3336,0.6042,1.0428,2.6,10.2,6.8,8.7,6.8,7.6,7.8,12.3,206167,1991082
2002,9.2248,5.9,7.0,10.7125,23.7211,0.5855,0.9732,1.78,11.4,5.6,9.1,6.4,7.8,6.4,12.6,170949,1853136
2003,8.5884,6.175,7.0,10.3,22.399,0.8172,0.9388,0.8,11.0,5.4,10.9,5.6,7.4,6.8,11.1,153073,1782314
2004,8.5232,6.075,7.125,10.2125,21.2975,1.0794,0.8333,-0.8333,9.9,6.0,11.5,5.0,9.2,6.2,9.1,160245,1880114
2005,8.5431,6.525,6.95,9.275,19.3638,1.4499,0.8624,-1.5867,6.0,7.8,12.3,5.2,5.6,7.8,10.5,183986,2153611
2006,9.4148,6.35,6.875,9.3,19.3755,1.2271,0.8532,-1.8133,7.3,6.8,12.5,5.0,7.0,7.0,7.7,226603,2406869
2007,9.2333,6.6,6.65,8.85,19.3914,1.1563,1.0163,0.08,8.5,6.0,7.8,7.8,7.0,7.0,9.5,237109,2567985
2008,10.0142,8.175,5.7,5.4125,13.988,1.2441,1.0998,2.2067,3.7,8.6,2.2,9.6,3.2,9.0,9.5,252757,2523991
2009,8.879,7.35,5.875,6.6125,15.4194,1.2083,1.1988,3.22,7.1,7.0,3.9,8.4,2.2,9.2,10.5,186902,2104989
2010,9.0717,6.6,6.175,7.9875,17.5172,0.8211,1.0833,1.9,8.1,6.4,7.5,7.0,3.8,8.0,10.5,196194,2162706
2011,9.9833,6.9,6.2,7.5125,16.4365,0.9856,1.0392,1.6733,6.3,7.2,7.5,7.0,3.0,8.4,11.9,229962,2303466
2012,8.9963,5.725,6.575,9.3625,19.4326,0.6756,1.0791,1.1133,8.9,5.6,9.5,6.0,6.4,7.0,11.5,220408,2449990
2013,7.9595,6.1,6.475,8.725,18.9906,1.3223,0.9236,0.4133,6.0,7.6,10.5,5.0,4.6,7.4,11.8,220885,2775106
2014,7.5776,6.1,6.5,8.6375,17.8846,1.042,0.957,-0.1533,6.9,6.6,10.5,5.0,4.4,7.8,10.3,228956,3021491
2015,6.8673,5.85,6.7,9.65,20.7241,0.8668,0.9333,-0.1333,9.0,6.0,11.5,5.0,6.0,7.0,10.5,223181,3249890
2016,7.345,6.65,6.525,7.9875,17.3532,1.5703,0.8523,-1.0333,5.4,7.8,10.5,5.0,3.9,8.0,10.5,240033,3267965
2017,7.9173,6.275,6.9,8.9125,18.4574,1.1853,0.8534,-1.58,6.4,7.2,11.7,5.0,6.5,7.0,10.3,262551,3316184
2018,9.7593,6.675,6.85,8.2625,17.1901,1.2736,0.8333,-2.0867,5.4,7.6,11.3,5.4,6.1,7.4,8.5,324975,3329907
2019,10.8322,6.575,6.85,8.1625,16.9006,1.6473,0.7959,-2.6733,4.0,8.6,11.5,5.0,6.3,7.2,9.5,375158,3463364
2020,10.098,9.275,5.125,2.7125,10.9939,0.6135,1.0573,1.62,1.8,9.4,3.5,8.8,0.3,10.0,6.1,345470,3421164
2021,8.7059,7.375,6.05,6.6875,15.7714,0.5175,0.991,0.5133,5.0,8.0,7.5,7.0,4.5,8.0,8.1,352338,4047111
2022,9.7173,6.9,6.375,7.7,16.9325,0.6503,1.0392,0.5333,7.0,7.0,8.5,7.0,4.5,8.0,10.5,475887,4897339
2023,14.8227,6.1,6.6,9.125,21.0239,1.1058,0.974,-0.3333,7.2,6.8,10.0,6.0,6.5,7.0,11.5,658267,4440948
2024,17.8841,6.5,6.5,8.375,19.4746,1.069,0.8824,-1.5333,5.0,8.0,10.0,6.0,6.5,7.0,10.5,879879,4919884
2025,18.5253,7.925,6.15,5.375,13.4184,1.1511,0.9883,-0.2533,1.5,9.0,8.0,7.0,2.7,8.8,8.5,970065,5236421
