Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,2000,Helm,6.8,7.0,4.0,5.8,12.7,0.399
USA,2000,Shield,7.2,8.2,2.8,5.0,15.1,0.427
USA,2000,Lore,5.8,6.0,4.2,6.0,10.6,0.38
USA,2000,Stewards,7.0,8.2,2.8,6.0,15.4,0.435
USA,2000,Craft,8.0,9.4,3.0,8.0,18.4,0.466
USA,2000,Hands,7.2,7.2,3.0,5.0,13.9,0.422
USA,2000,Archive,6.8,7.0,3.0,6.0,13.8,0.426
USA,2000,Flow,7.0,8.2,2.8,7.0,15.9,0.446
USA,2001,Helm,4.6,7.0,8.2,5.8,6.3,0.184
USA,2001,Shield,6.2,8.2,7.8,5.0,9.1,0.198
USA,2001,Lore,6.8,6.0,7.2,5.0,8.1,0.211
USA,2001,Stewards,6.0,7.0,7.0,5.0,8.5,0.206
USA,2001,Craft,6.0,7.4,6.0,7.0,10.9,0.231
USA,2001,Hands,5.0,6.0,7.0,4.0,6.0,0.189
USA,2001,Archive,4.6,7.0,7.4,5.0,6.7,0.187
USA,2001,Flow,5.0,7.0,7.0,6.0,8.0,0.203
USA,2002,Helm,4.8,7.0,7.2,4.8,7.0,0.201
USA,2002,Shield,6.2,8.2,6.8,5.0,10.1,0.222
USA,2002,Lore,5.8,6.0,6.2,5.0,8.1,0.226
USA,2002,Stewards,5.0,7.0,6.0,5.0,8.5,0.22
USA,2002,Craft,5.0,7.4,5.0,7.0,10.9,0.248
USA,2002,Hands,5.2,6.2,6.0,4.0,7.4,0.214
USA,2002,Archive,4.6,6.0,7.4,5.0,5.7,0.198
USA,2002,Flow,5.0,7.0,5.0,6.0,10.0,0.241
USA,2003,Helm,3.6,7.0,8.2,4.8,4.8,0.173
USA,2003,Shield,6.2,9.2,7.8,5.0,10.1,0.205
USA,2003,Lore,4.8,6.0,7.2,5.0,6.1,0.199
USA,2003,Stewards,5.0,7.2,6.8,5.0,7.9,0.206
USA,2003,Craft,6.0,7.4,4.0,7.0,12.9,0.268
USA,2003,Hands,5.2,6.2,5.0,4.0,8.4,0.223
USA,2003,Archive,3.6,6.0,7.4,5.0,4.7,0.183
USA,2003,Flow,6.0,7.2,4.8,6.0,11.4,0.25
