Society,Year,Node,C_sd,K_sd,S_sd,A_sd,V_range,V_min,V_max
USA,2000,Helm,0.447,0.0,0.0,0.447,1.5,11.5,13.0
USA,2000,Shield,0.447,0.447,0.447,0.0,3.0,14.5,17.5
USA,2000,Lore,0.447,0.0,0.447,0.0,2.0,9.0,11.0
USA,2000,Stewards,0.0,0.447,0.447,0.0,2.0,15.0,17.0
USA,2000,Craft,0.0,0.548,0.0,0.0,1.0,18.0,19.0
USA,2000,Hands,0.447,0.447,0.0,0.0,2.0,13.5,15.5
USA,2000,Archive,0.447,0.0,0.0,0.0,1.0,13.0,14.0
USA,2000,Flow,0.0,0.447,0.447,0.0,2.0,15.5,17.5
USA,2001,Helm,0.548,0.0,0.447,0.447,2.5,4.5,7.0
USA,2001,Shield,0.447,0.447,0.447,0.0,3.0,8.5,11.5
USA,2001,Lore,0.447,0.0,0.447,0.0,2.0,6.5,8.5
USA,2001,Stewards,0.0,0.0,0.0,0.0,0.0,8.5,8.5
USA,2001,Craft,0.0,0.548,0.0,0.0,1.0,10.5,11.5
USA,2001,Hands,0.0,0.0,0.0,0.0,0.0,6.0,6.0
USA,2001,Archive,0.548,0.0,0.548,0.0,2.0,5.5,7.5
USA,2001,Flow,0.0,0.0,0.0,0.0,0.0,8.0,8.0
USA,2002,Helm,0.447,0.0,0.447,0.447,2.5,5.0,7.5
USA,2002,Shield,0.447,0.447,0.447,0.0,3.0,9.5,12.5
USA,2002,Lore,0.447,0.0,0.447,0.0,2.0,6.5,8.5
USA,2002,Stewards,0.0,0.0,0.0,0.0,0.0,8.5,8.5
USA,2002,Craft,0.0,0.548,0.0,0.0,1.0,10.5,11.5
USA,2002,Hands,0.447,0.447,0.0,0.0,2.0,7.0,9.0
USA,2002,Archive,0.548,0.0,0.548,0.0,2.0,4.5,6.5
USA,2002,Flow,0.0,0.0,0.0,0.0,0.0,10.0,10.0
USA,2003,Helm,0.548,0.0,0.447,0.447,2.5,3.0,5.5
USA,2003,Shield,0.447,0.447,0.447,0.0,3.0,9.5,12.5
USA,2003,Lore,0.447,0.0,0.447,0.0,2.0,4.5,6.5
USA,2003,Stewards,0.0,0.447,0.447,0.0,2.0,7.5,9.5
USA,2003,Craft,0.0,0.548,0.0,0.0,1.0,12.5,13.5
USA,2003,Hands,0.447,0.447,0.0,0.0,2.0,8.0,10.0
USA,2003,Archive,0.548,0.0,0.548,0.0,2.0,3.5,5.5
USA,2003,Flow,0.0,0.447,0.447,0.0,2.0,11.0,13.0
USA,2004,Helm,0.447,0.0,0.447,0.447,2.5,5.5,8.0
USA,2004,Shield,0.447,0.447,0.447,0.0,3.0,7.5,10.5
USA,2004,Lore,0.447,0.0,0.447,0.0,2.0,4.5,6.5
USA,2004,Stewards,0.0,0.447,0.447,0.0,2.0,8.5,10.5
USA,2004,Craft,0.0,0.548,0.0,0.0,1.0,12.5,13.5
USA,2004,Hands,0.447,0.447,0.0,0.0,2.0,9.0,11.0
USA,2004,Archive,0.548,0.0,0.548,0.0,2.0,3.5,5.5
USA,2004,Flow,0.0,0.447,0.447,0.0,2.0,13.5,15.5
USA,2005,Helm,0.548,0.0,0.447,0.447,2.5,2.0,4.5
USA,2005,Shield,0.447,0.447,0.447,0.0,3.0,7.5,10.5
USA,2005,Lore,0.447,0.0,0.447,0.0,2.0,1.0,3.0
USA,2005,Stewards,0.0,0.447,0.447,0.0,2.0,5.0,7.0
USA,2005,Craft,0.0,0.548,0.0,0.0,1.0,12.5,13.5
USA,2005,Hands,0.447,0.447,0.0,0.0,2.0,7.0,9.0
USA,2005,Archive,0.548,0.0,0.548,0.0,2.0,2.0,4.0
USA,2005,Flow,0.0,0.447,0.447,0.0,2.0,13.5,15.5
USA,2006,Helm,0.447,0.0,0.447,0.447,2.5,3.0,5.5
USA,2006,Shield,0.447,0.447,0.447,0.0,3.0,7.5,10.5
USA,2006,Lore,0.447,0.0,0.447,0.0,2.0,3.5,5.5
USA,2006,Stewards,0.0,0.447,0.447,0.0,2.0,8.5,10.5
USA,2006,Craft,0.0,0.548,0.0,0.0,1.0,12.5,13.5
USA,2006,Hands,0.447,0.447,0.0,0.0,2.0,11.0,13.0
USA,2006,Archive,0.548,0.0,0.548,0.0,2.0,3.5,5.5
USA,2006,Flow,0.0,0.447,0.447,0.0,2.0,14.5,16.5
USA,2007,Helm,0.447,0.0,0.447,0.447,2.5,3.0,5.5
USA,2007,Shield,0.447,0.447,0.447,0.0,3.0,7.5,10.5
USA,2007,Lore,0.447,0.0,0.447,0.0,2.0,3.5,5.5
USA,2007,Stewards,0.0,0.447,0.0,0.0,1.0,4.0,5.0
USA,2007,Craft,0.0,0.548,0.0,0.0,1.0,11.5,12.5
USA,2007,Hands,0.447,0.447,0.0,0.0,2.0,8.0,10.0
USA,2007,Archive,0.548,0.0,0.548,0.0,2.0,3.5,5.5
USA,2007,Flow,0.0,0.447,0.447,0.0,2.0,8.0,10.0
USA,2008,Helm,0.548,0.0,0.447,0.447,2.5,-1.5,1.0
USA,2008,Shield,0.447,0.447,0.447,0.0,3.0,8.5,11.5
USA,2008,Lore,0.447,0.0,0.447,0.0,2.0,2.5,4.5
USA,2008,Stewards,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5
USA,2008,Craft,0.0,0.548,0.0,0.0,1.0,8.5,9.5
USA,2008,Hands,0.0,0.0,0.0,0.0,0.0,1.5,1.5
USA,2008,Archive,0.548,0.0,0.548,0.0,2.0,0.0,2.0
USA,2008,Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,2009,Helm,0.447,0.0,0.447,0.447,2.5,6.0,8.5
USA,2009,Shield,0.447,0.447,0.447,0.0,3.0,10.5,13.5
USA,2009,Lore,0.447,0.0,0.447,0.0,2.0,4.0,6.0
USA,2009,Stewards,0.0,0.0,0.0,0.0,0.0,3.0,3.0
USA,2009,Craft,0.0,0.548,0.0,0.0,1.0,7.5,8.5
USA,2009,Hands,0.0,0.0,0.0,0.0,0.0,0.5,0.5
USA,2009,Archive,0.447,0.0,0.548,0.0,2.0,5.5,7.5
USA,2009,Flow,0.0,0.0,0.0,0.0,0.0,2.0,2.0
USA,2010,Helm,0.447,0.0,0.447,0.447,2.5,5.0,7.5
USA,2010,Shield,0.447,0.447,0.447,0.0,3.0,11.5,14.5
USA,2010,Lore,0.837,0.0,0.548,0.0,3.0,0.5,3.5
USA,2010,Stewards,0.0,0.0,0.0,0.0,0.0,5.5,5.5
USA,2010,Craft,0.0,0.548,0.0,0.0,1.0,9.5,10.5
USA,2010,Hands,0.0,0.0,0.0,0.0,0.0,3.5,3.5
USA,2010,Archive,0.447,0.0,0.548,0.0,2.0,5.5,7.5
USA,2010,Flow,0.0,0.0,0.0,0.0,0.0,7.5,7.5
USA,2011,Helm,0.548,0.0,0.447,0.447,2.5,2.5,5.0
USA,2011,Shield,0.447,0.447,0.447,0.0,3.0,11.5,14.5
USA,2011,Lore,0.548,0.0,0.548,0.0,2.0,1.5,3.5
