Society,Year,T_Offset,eta_soil,sigma_V,BS_Lore,BS_Archive,C_Hands,S_Hands,numerator,denominator,path_type,artifact
USA,2000,0,0.13701,2.169,0.38,0.426,7.2,3.0,1.16554,8.5069,Intermediate/Uncertain,False
USA,2001,1,0.01562,1.5182,0.211,0.187,5.0,7.0,0.19728,12.6276,Intermediate/Uncertain,False
USA,2002,2,0.01947,1.659,0.226,0.198,5.2,6.0,0.23269,11.9541,Intermediate/Uncertain,False
USA,2003,3,0.01171,2.8335,0.199,0.183,5.2,5.0,0.18937,16.1674,Standard Transplant,False
USA,2004,4,0.01488,2.9436,0.209,0.192,6.2,5.0,0.24879,16.7181,Standard Transplant,False
USA,2005,5,0.00502,4.0339,0.161,0.157,5.2,6.0,0.13144,26.2034,Failed Transplant,False
USA,2006,6,0.01524,3.6431,0.21,0.194,6.2,4.0,0.25259,16.5722,Failed Transplant,False
USA,2007,7,0.01142,2.4969,0.186,0.171,5.2,5.0,0.16539,14.4844,Standard Transplant,False
USA,2008,8,0.00147,3.6609,0.137,0.112,3.0,8.0,0.04603,31.2869,Ruptured,False
USA,2009,9,0.00318,3.3301,0.183,0.185,3.0,9.0,0.10156,31.9706,Ruptured,False
USA,2010,10,0.00543,3.0584,0.158,0.201,4.0,7.0,0.12703,23.4086,Standard Transplant,False
USA,2011,11,0.00458,3.3026,0.159,0.181,4.0,7.0,0.11512,25.1184,Ruptured,False
USA,2012,12,0.01573,2.7994,0.2,0.242,5.2,5.0,0.25168,15.9972,Standard Transplant,False
USA,2013,13,0.00873,3.4598,0.184,0.176,5.2,5.0,0.1684,19.2988,Standard Transplant,False
USA,2014,14,0.00775,4.0372,0.161,0.168,5.2,4.0,0.14065,18.149,Failed Transplant,False
USA,2015,15,0.02748,2.6533,0.211,0.265,6.2,4.0,0.34667,12.6132,Standard Transplant,False
USA,2016,16,0.00631,4.895,0.134,0.164,6.2,4.0,0.13625,21.58,Failed Transplant,False
USA,2017,17,0.0053,5.8202,0.13,0.128,6.2,3.0,0.10317,19.4605,Failed Transplant,False
USA,2018,18,0.00474,5.2266,0.11,0.123,6.2,3.0,0.08389,17.6798,Ruptured,False
USA,2019,19,0.00723,5.5609,0.138,0.136,7.2,3.0,0.13513,18.6827,Failed Transplant,False
USA,2020,20,0.00024,3.8259,0.067,0.073,2.0,10.0,0.00978,40.2588,Ruptured,False
USA,2021,21,0.00229,3.1128,0.109,0.125,4.0,7.0,0.0545,23.7894,Ruptured,False
USA,2022,22,0.00193,4.6187,0.102,0.108,5.2,6.0,0.05728,29.7122,Ruptured,False
USA,2023,23,0.00599,4.9244,0.153,0.137,6.2,4.0,0.12996,21.6975,Failed Transplant,False
USA,2024,24,0.00332,6.5021,0.119,0.126,6.2,4.0,0.09296,28.0085,Ruptured,False
USA,2025,25,0.00052,4.9246,0.064,0.061,4.2,6.0,0.0164,31.5477,Ruptured,False
USA,2026,26,0.0008,4.7286,0.085,0.068,4.2,6.0,0.02428,30.3717,Ruptured,False
