Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Brazil,1880,Helm,7,7,5,7,12.5,2.304
Brazil,1880,Shield,6,7,6,6,10.0,2.010
Brazil,1880,Lore,7,7,4,7,13.5,2.481
Brazil,1880,Stewards,7,8,5,7,13.5,2.304
Brazil,1880,Craft,7,7,5,7,12.5,2.304
Brazil,1880,Hands,5,6,7,5,6.5,1.749
Brazil,1880,Archive,7,7,4,7,13.5,2.481
Brazil,1880,Flow,8,8,4,7,15.5,2.573
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Brazil,1881,Helm,7,7,5,7,12.5,2.304
Brazil,1881,Shield,6,7,6,6,10.0,2.010
Brazil,1881,Lore,7,7,4,7,13.5,2.481
Brazil,1881,Stewards,7,8,5,7,13.5,2.304
Brazil,1881,Craft,7,7,5,7,12.5,2.304
Brazil,1881,Hands,5,6,7,5,6.5,1.749
Brazil,1881,Archive,7,7,4,7,13.5,2.481
Brazil,1881,Flow,8,8,4,7,15.5,2.573
Brazil,1882,Helm,7,7,5,7,12.5,2.304
Brazil,1882,Shield,6,7,6,6,10.0,2.010
Brazil,1882,Lore,7,7,4,7,13.5,2.481
Brazil,1882,Stewards,7,8,5,7,13.5,2.304
Brazil,1882,Craft,7,7,5,7,12.5,2.304
Brazil,1882,Hands,5,6,7,5,6.5,1.749
Brazil,1882,Archive,7,7,4,7,13.5,2.481
Brazil,1882,Flow,8,8,4,7,15.5,2.573
Brazil,1883,Helm,7,7,5,7,12.5,2.304
Brazil,1883,Shield,6,7,6,6,10.0,2.010
Brazil,1883,Lore,7,7,4,7,13.5,2.481
Brazil,1883,Stewards,7,8,5,7,13.5,2.304
Brazil,1883,Craft,7,7,5,7,12.5,2.304
Brazil,1883,Hands,5,6,7,5,6.5,1.749
Brazil,1883,Archive,7,7,4,7,13.5,2.481
Brazil,1883,Flow,8,8,4,7,15.5,2.573
Brazil,1884,Helm,7,7,6,7,11.5,2.150
Brazil,1884,Shield,6,7,7,6,9.0,1.890
Brazil,1884,Lore,7,7,5,7,12.5,2.304
Brazil,1884,Stewards,7,8,6,7,12.5,2.150
Brazil,1884,Craft,7,7,6,7,11.5,2.150
Brazil,1884,Hands,4,6,8,5,4.5,1.600
Brazil,1884,Archive,7,7,5,7,12.5,2.304
Brazil,1884,Flow,8,8,5,7,14.5,2.419
Brazil,1885,Helm,6,7,7,7,9.5,1.950
Brazil,1885,Shield,5,6,8,6,6.0,1.700
Brazil,1885,Lore,7,7,5,7,12.5,2.250
Brazil,1885,Stewards,7,8,6,7,12.5,2.100
Brazil,1885,Craft,7,7,6,7,11.5,2.100
Brazil,1885,Hands,4,5,9,5,2.5,1.450
