 Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Chile,1880,Archive,7,6,4,6,12.0,2.441
Chile,1880,Craft,6,6,5,5,9.5,2.158
Chile,1880,Flow,7,7,5,6,12.0,2.264
Chile,1880,Hands,6,6,6,4,8.0,1.968
Chile,1880,Helm,8,7,6,7,12.5,2.153
Chile,1880,Lore,7,6,4,6,12.0,2.441
Chile,1880,Shield,8,8,6,6,13.0,2.135
Chile,1880,Stewards,7,7,5,6,12.0,2.264
Chile,1881,Archive,7,6,4,6,12.0,2.385
Chile,1881,Craft,6,6,5,5,9.5,2.112
Chile,1881,Flow,7,7,5,6,12.0,2.234
Chile,1881,Hands,6,6,6,4,8.0,1.945
Chile,1881,Helm,8,8,6,7,13.5,2.126
Chile,1881,Lore,7,6,4,6,12.0,2.385
Chile,1881,Shield,8,9,7,6,13.0,1.989
Chile,1881,Stewards,7,7,5,6,12.0,2.234
Chile,1882,Archive,7,7,4,7,13.5,2.356
Chile,1882,Craft,6,6,5,5,9.5,2.089
Chile,1882,Flow,7,7,4,6,13.0,2.367
Chile,1882,Hands,5,6,6,4,7.0,1.912
Chile,1882,Helm,8,8,6,7,13.5,2.105
Chile,1882,Lore,6,7,5,7,11.5,2.189
Chile,1882,Shield,7,8,7,6,11.0,1.854
Chile,1882,Stewards,7,7,4,6,13.0,2.367
Chile,1883,Archive,7,7,4,7,13.5,2.312
Chile,1883,Craft,6,6,5,5,9.5,2.056
Chile,1883,Flow,8,8,4,7,15.5,2.412
Chile,1883,Hands,5,6,6,4,7.0,1.876
Chile,1883,Helm,8,8,5,7,14.5,2.245
Chile,1883,Lore,5,7,6,7,9.5,2.015
Chile,1883,Shield,8,8,5,6,14.0,2.187
Chile,1883,Stewards,8,8,4,7,15.5,2.412
Chile,1884,Archive,7,7,3,7,14.5,2.456
Chile,1884,Craft,6,7,4,6,12.0,2.213
Chile,1884,Flow,8,8,3,7,16.5,2.567
Chile,1884,Hands,6,6,5,5,9.5,2.123
Chile,1884,Helm,8,8,5,7,14.5,2.289
Chile,1884,Lore,5,7,6,7,9.5,2.045
Chile,1884,Shield,8,8,4,6,15.0,2.345
Chile,1884,Stewards,8,8,3,7,16.5,2.567
Chile,1885,Archive,7,8,3,7,15.5,2.489
Chile,1885,Craft,7,7,4,6,13.0,2.256
Chile,1885,Flow,8,9,3,7,17.5,2.612
Chile,1885,Hands,6,7,5,5,10.5,2.156
Chile,1885,Helm,8,9,5,7,15.5,2.321
Chile,1885,Lore,5,7,6,7,9.5,2.089
Chile,1885,Shield,7,8,3,6,15.0,2.412
Chile,1885,Stewards,8,9,3,7,17.5,2.612
Chile,1886,Archive,7,8,3,7,15.5,2.412
Chile,1886,Craft,7,7,3,6,14.0,2.301
Chile,1886,Flow,9,9,2,7,19.5,2.789
Chile,1886,Hands,6,7,4,5,11.5,2.056
Chile,1886,Helm,8,9,3,7,17.5,2.445
Chile,1886,Lore,6,7,4,7,12.5,2.213
Chile,1886,Shield,8,8,3,6,16.0,2.356
Chile,1886,Stewards,8,9,2,7,18.5,2.712
Chile,1887,Archive,7,8,3,7,15.5,2.423
Chile,1887,Craft,7,7,3,6,14.0,2.312
Chile,1887,Flow,9,9,2,7,19.5,2.798
Chile,1887,Hands,6,7,5,5,10.5,2.012
Chile,1887,Helm,7,9,4,7,15.5,2.345
Chile,1887,Lore,6,7,4,7,12.5,2.223
Chile,1887,Shield,8,8,3,6,16.0,2.367
Chile,1887,Stewards,8,9,2,7,18.5,2.723
Chile,1888,Archive,7,8,3,7,15.5,2.401
Chile,1888,Craft,7,8,3,7,15.5,2.345
Chile,1888,Flow,9,10,2,7,20.5,2.812
Chile,1888,Hands,5,7,6,5,8.5,1.945
Chile,1888,Helm,6,9,5,7,13.5,2.212
Chile,1888,Lore,6,7,4,7,12.5,2.201
Chile,1888,Shield,8,8,3,7,16.5,2.378
Chile,1888,Stewards,7,10,4,7,16.5,2.567
Chile,1889,Archive,6,8,5,7,12.5,2.189
Chile,1889,Craft,6,7,5,6,11.0,2.056
Chile,1889,Flow,8,9,5,7,15.5,2.345
Chile,1889,Hands,5,6,7,5,6.5,1.756
Chile,1889,Helm,4,8,8,7,7.5,1.845
Chile,1889,Lore,5,7,5,7,10.5,2.012
Chile,1889,Shield,7,8,4,6,14.0,2.156
Chile,1889,Stewards,5,9,6,7,11.5,2.123
Chile,1890,Archive,5,7,7,7,8.5,1.845
Chile,1890,Craft,5,6,6,6,8.0,1.812
Chile,1890,Flow,7,8,7,7,11.5,2.012
Chile,1890,Hands,6,5,9,5,4.5,1.567
Chile,1890,Helm,2,5,10,7,0.5,1.423
Chile,1890,Lore,4,7,7,7,7.5,1.856
Chile,1890,Shield,5,8,7,6,9.0,1.789
Chile,1890,Stewards,4,8,8,7,7.5,1.745
Chile,1891,Archive,4,5,8,6,4.0,1.523
Chile,1891,Craft,4,5,8,6,4.0,1.512
Chile,1891,Flow,5,6,9,7,5.5,1.634
Chile,1891,Hands,3,4,9,4,0.0,1.245
Chile,1891,Helm,1,3,10,6,-3.0,1.056
Chile,1891,Lore,3,6,8,7,4.5,1.567
Chile,1891,Shield,1,2,10,5,-4.5,0.989
Chile,1891,Stewards,3,6,9,7,3.5,1.456
Chile,1892,Archive,5,6,5,6,9.0,2.123
Chile,1892,Craft,6,6,5,6,10.0,2.145
Chile,1892,Flow,7,7,4,7,13.5,2.412
Chile,1892,Hands,4,5,7,4,4.0,1.678
Chile,1892,Helm,5,5,5,6,8.0,1.989
Chile,1892,Lore,5,6,5,7,9.5,2.056
Chile,1892,Shield,6,6,5,6,10.0,2.112
Chile,1892,Stewards,8,8,3,7,16.5,2.567
Chile,1893,Archive,6,6,4,6,11.0,2.234
Chile,1893,Craft,6,6,4,6,11.0,2.212
Chile,1893,Flow,7,8,4,7,14.5,2.456
Chile,1893,Hands,5,5,6,4,6.0,1.823
Chile,1893,Helm,4,4,6,5,4.5,1.845
Chile,1893,Lore,6,7,4,7,12.5,2.256
Chile,1893,Shield,7,7,4,6,13.0,2.312
Chile,1893,Stewards,8,8,3,7,16.5,2.589
Chile,1894,Archive,6,7,4,6,12.0,2.267
Chile,1894,Craft,6,6,4,6,11.0,2.234
Chile,1894,Flow,7,8,4,7,14.5,2.478
Chile,1894,Hands,5,5,6,4,6.0,1.845
Chile,1894,Helm,4,4,5,5,5.5,1.889
Chile,1894,Lore,6,7,4,7,12.5,2.278
Chile,1894,Shield,7,7,4,6,13.0,2.334
Chile,1894,Stewards,8,8,3,7,16.5,2.612
Chile,1895,Archive,6,7,3,6,13.0,2.312
Chile,1895,Craft,7,7,4,6,13.0,2.289
Chile,1895,Flow,7,8,4,7,14.5,2.478
Chile,1895,Hands,5,6,6,4,7.0,1.867
Chile,1895,Helm,5,5,5,5,7.5,1.945
Chile,1895,Lore,6,7,4,7,12.5,2.289
Chile,1895,Shield,7,8,4,6,14.0,2.356
Chile,1895,Stewards,8,9,3,7,17.5,2.634
Chile,1896,Archive,6,7,3,7,13.5,2.356
Chile,1896,Craft,7,7,4,6,13.0,2.312
Chile,1896,Flow,8,9,3,7,17.5,2.612
Chile,1896,Hands,5,6,6,4,7.0,1.889
Chile,1896,Helm,4,4,5,5,5.5,1.889
Chile,1896,Lore,6,7,4,7,12.5,2.301
Chile,1896,Shield,7,8,4,6,14.0,2.367
Chile,1896,Stewards,9,9,2,7,19.5,2.745
Chile,1897,Archive,6,7,3,7,13.5,2.356
Chile,1897,Craft,7,7,4,6,13.0,2.312
Chile,1897,Flow,8,8,4,7,15.5,2.545
Chile,1897,Hands,5,6,6,4,7.0,1.889
Chile,1897,Helm,4,4,6,5,4.5,1.845
Chile,1897,Lore,6,7,4,7,12.5,2.301
Chile,1897,Shield,7,8,4,6,14.0,2.367
Chile,1897,Stewards,8,9,3,7,17.5,2.634
Chile,1898,Archive,6,7,3,7,13.5,2.356
Chile,1898,Craft,7,7,4,6,13.0,2.312
Chile,1898,Flow,8,9,3,7,17.5,2.612
Chile,1898,Hands,5,6,6,4,7.0,1.889
Chile,1898,Helm,4,5,5,5,6.5,1.912
Chile,1898,Lore,6,7,4,7,12.5,2.301
Chile,1898,Shield,8,9,3,6,17.0,2.545
Chile,1898,Stewards,9,9,2,7,19.5,2.745
Chile,1899,Archive,6,7,3,7,13.5,2.356
Chile,1899,Craft,7,7,4,6,13.0,2.312
Chile,1899,Flow,8,9,3,7,17.5,2.612
Chile,1899,Hands,5,6,7,4,6.0,1.845
Chile,1899,Helm,4,4,5,5,5.5,1.889
Chile,1899,Lore,6,7,4,7,12.5,2.301
Chile,1899,Shield,8,9,3,6,17.0,2.545
Chile,1899,Stewards,9,9,2,7,19.5,2.745
Chile,1900,Archive,7,7,3,7,14.5,2.445
Chile,1900,Craft,7,8,4,7,14.5,2.367
Chile,1900,Flow,8,9,3,7,17.5,2.656
Chile,1900,Hands,5,6,7,5,6.5,1.923
Chile,1900,Helm,4,4,6,5,4.5,1.867
Chile,1900,Lore,7,8,4,8,15.0,2.489
Chile,1900,Shield,8,9,3,7,17.5,2.612
Chile,1900,Stewards,9,10,2,7,20.5,2.789
Chile,1901,Archive,7,7,3,7,14.5,2.467
Chile,1901,Craft,7,7,4,6,13.0,2.345
Chile,1901,Flow,8,9,3,7,17.5,2.678
Chile,1901,Hands,5,5,6,4,6.0,1.876
Chile,1901,Helm,5,5,4,5,8.5,2.012
Chile,1901,Lore,7,7,3,8,15.0,2.512
Chile,1901,Shield,8,9,3,6,17.0,2.545
Chile,1901,Stewards,9,9,2,7,19.5,2.789
Chile,1902,Archive,7,7,4,7,13.5,2.356
Chile,1902,Craft,6,7,5,6,11.0,2.156
Chile,1902,Flow,8,8,4,7,15.5,2.467
Chile,1902,Hands,5,5,7,4,5.0,1.756
Chile,1902,Helm,5,5,5,5,7.5,1.934
Chile,1902,Lore,7,7,4,8,14.0,2.389
Chile,1902,Shield,8,9,4,6,16.0,2.423
Chile,1902,Stewards,9,9,3,7,18.5,2.612
Chile,1903,Archive,6,6,6,6,9.0,2.012
Chile,1903,Craft,6,6,7,6,8.0,1.856
Chile,1903,Flow,7,7,7,7,10.5,2.056
Chile,1903,Hands,4,5,9,4,2.0,1.423
Chile,1903,Helm,4,5,8,5,3.5,1.567
Chile,1903,Lore,6,7,5,8,12.0,2.123
Chile,1903,Shield,7,8,8,6,10.0,1.878
Chile,1903,Stewards,8,8,6,7,13.5,2.234
Chile,1904,Archive,7,7,4,7,13.5,2.378
Chile,1904,Craft,6,7,4,6,12.0,2.234
Chile,1904,Flow,8,9,3,7,17.5,2.656
Chile,1904,Hands,5,5,6,5,6.5,1.912
Chile,1904,Helm,5,5,4,5,8.5,2.056
Chile,1904,Lore,7,7,4,8,14.0,2.412
Chile,1904,Shield,8,9,3,6,17.0,2.567
Chile,1904,Stewards,9,9,2,7,19.5,2.789
Chile,1905,Archive,5,6,8,6,6.0,1.745
Chile,1905,Craft,5,6,8,6,6.0,1.723
Chile,1905,Flow,6,7,9,7,7.5,1.812
Chile,1905,Hands,3,5,10,4,0.0,1.256
Chile,1905,Helm,3,4,10,5,-0.5,1.189
Chile,1905,Lore,6,7,6,8,11.0,1.945
Chile,1905,Shield,5,7,9,6,6.0,1.567
Chile,1905,Stewards,7,8,8,7,10.5,1.912
Chile,1906,Archive,6,6,9,6,6.0,1.756
Chile,1906,Craft,5,5,9,6,4.0,1.612
Chile,1906,Flow,7,7,7,7,10.5,2.012
Chile,1906,Hands,4,5,8,4,3.0,1.545
Chile,1906,Helm,6,7,8,6,8.0,1.923
Chile,1906,Lore,7,7,5,8,13.0,2.234
Chile,1906,Shield,8,9,7,6,13.0,2.112
Chile,1906,Stewards,8,8,5,7,14.5,2.345
Chile,1907,Archive,7,7,5,7,12.5,2.212
Chile,1907,Craft,6,6,6,6,9.0,2.012
Chile,1907,Flow,8,9,4,7,16.5,2.456
Chile,1907,Hands,5,6,10,5,3.5,1.489
Chile,1907,Helm,6,6,7,6,8.0,1.912
Chile,1907,Lore,7,7,5,8,13.0,2.256
Chile,1907,Shield,8,9,8,6,12.0,1.989
Chile,1907,Stewards,9,9,3,7,18.5,2.567
Chile,1908,Archive,7,7,4,7,13.5,2.367
Chile,1908,Craft,6,7,5,6,11.0,2.156
Chile,1908,Flow,8,8,4,7,15.5,2.445
Chile,1908,Hands,4,5,7,5,4.5,1.745
Chile,1908,Helm,5,5,5,5,7.5,1.945
Chile,1908,Lore,7,7,4,8,14.0,2.389
Chile,1908,Shield,8,9,4,6,16.0,2.412
Chile,1908,Stewards,9,9,3,7,18.5,2.634
Chile,1909,Archive,7,8,3,7,15.5,2.456
Chile,1909,Craft,7,7,4,6,13.0,2.289
Chile,1909,Flow,8,9,3,7,17.5,2.612
Chile,1909,Hands,6,6,5,6,10.0,2.012
Chile,1909,Helm,5,5,5,5,7.5,1.967
Chile,1909,Lore,7,7,3,8,15.0,2.478
Chile,1909,Shield,8,9,3,6,17.0,2.523
Chile,1909,Stewards,9,9,2,7,19.5,2.756
Chile,1910,Archive,7,8,3,7,15.5,2.467
Chile,1910,Craft,7,8,4,7,14.5,2.345
Chile,1910,Flow,9,10,2,7,20.5,2.812
Chile,1910,Hands,6,6,5,6,10.0,2.056
Chile,1910,Helm,6,6,4,6,11.0,2.123
Chile,1910,Lore,8,8,3,9,17.5,2.612
Chile,1910,Shield,8,9,3,6,17.0,2.545
Chile,1910,Stewards,9,10,2,7,20.5,2.789
Chile,1911,Archive,7,8,3,7,15.5,2.467
Chile,1911,Craft,7,7,4,6,13.0,2.323
Chile,1911,Flow,8,9,3,7,17.5,2.645
Chile,1911,Hands,6,6,5,6,10.0,2.045
Chile,1911,Helm,5,5,5,5,7.5,1.956
Chile,1911,Lore,8,8,3,9,17.5,2.612
Chile,1911,Shield,8,9,3,6,17.0,2.545
Chile,1911,Stewards,9,9,2,7,19.5,2.756
Chile,1912,Archive,7,8,3,7,15.5,2.467
Chile,1912,Craft,7,7,4,6,13.0,2.323
Chile,1912,Flow,8,9,3,7,17.5,2.645
Chile,1912,Hands,6,6,5,6,10.0,2.045
Chile,1912,Helm,5,5,5,5,7.5,1.956
Chile,1912,Lore,8,8,3,9,17.5,2.612
Chile,1912,Shield,8,9,3,6,17.0,2.545
Chile,1912,Stewards,9,9,2,7,19.5,2.756
Chile,1913,Archive,7,8,3,7,15.5,2.467
Chile,1913,Craft,7,7,4,6,13.0,2.323
Chile,1913,Flow,8,9,3,7,17.5,2.645
Chile,1913,Hands,6,6,5,6,10.0,2.045
Chile,1913,Helm,5,5,5,5,7.5,1.956
Chile,1913,Lore,8,8,3,9,17.5,2.612
Chile,1913,Shield,8,9,3,6,17.0,2.545
Chile,1913,Stewards,9,9,2,7,19.5,2.756
Chile,1914,Archive,7,7,4,7,13.5,2.345
Chile,1914,Craft,6,6,6,6,9.0,2.012
Chile,1914,Flow,6,6,8,7,7.5,1.912
Chile,1914,Hands,5,5,8,5,4.5,1.756
Chile,1914,Helm,5,5,6,5,6.5,1.889
Chile,1914,Lore,7,8,4,9,15.5,2.456
Chile,1914,Shield,8,9,5,6,15.0,2.345
Chile,1914,Stewards,7,7,7,7,10.5,2.012
Chile,1915,Archive,7,7,4,7,13.5,2.356
Chile,1915,Craft,6,7,5,6,11.0,2.156
Chile,1915,Flow,7,7,6,7,11.5,2.189
Chile,1915,Hands,5,5,7,5,5.5,1.845
Chile,1915,Helm,5,5,5,5,7.5,1.945
Chile,1915,Lore,7,8,4,9,15.5,2.467
Chile,1915,Shield,8,9,4,6,16.0,2.423
Chile,1915,Stewards,8,8,5,7,14.5,2.345
Chile,1916,Archive,7,8,3,7,15.5,2.467
Chile,1916,Craft,7,7,4,6,13.0,2.323
Chile,1916,Flow,8,9,3,7,17.5,2.645
Chile,1916,Hands,6,6,6,6,9.0,2.012
Chile,1916,Helm,5,5,5,5,7.5,1.956
Chile,1916,Lore,8,8,3,9,17.5,2.612
Chile,1916,Shield,8,9,3,6,17.0,2.545
Chile,1916,Stewards,9,10,2,7,20.5,2.789
Chile,1917,Archive,7,8,4,7,14.5,2.412
Chile,1917,Craft,7,7,5,6,12.0,2.256
Chile,1917,Flow,9,10,3,7,19.5,2.712
Chile,1917,Hands,6,6,7,6,8.0,1.945
Chile,1917,Helm,5,5,6,5,6.5,1.889
Chile,1917,Lore,8,8,4,9,16.5,2.545
Chile,1917,Shield,8,9,3,6,17.0,2.545
Chile,1917,Stewards,9,10,3,7,19.5,2.712
Chile,1918,Archive,7,8,4,7,14.5,2.412
Chile,1918,Craft,7,8,5,7,13.5,2.289
Chile,1918,Flow,9,10,3,7,19.5,2.712
Chile,1918,Hands,6,6,7,6,8.0,1.945
Chile,1918,Helm,5,5,6,5,6.5,1.889
Chile,1918,Lore,8,8,4,9,16.5,2.545
Chile,1918,Shield,8,9,3,6,17.0,2.545
Chile,1918,Stewards,9,10,3,7,19.5,2.712
Chile,1919,Archive,6,7,6,7,10.5,2.012
Chile,1919,Craft,5,5,8,6,5.0,1.678
Chile,1919,Flow,4,5,9,7,3.5,1.545
Chile,1919,Hands,5,4,9,6,3.0,1.489
Chile,1919,Helm,4,4,8,5,2.5,1.567
Chile,1919,Lore,7,8,5,9,14.5,2.234
Chile,1919,Shield,8,8,5,6,14.0,2.123
Chile,1919,Stewards,5,6,9,7,5.5,1.612
Chile,1920,Archive,6,7,6,7,10.5,1.989
Chile,1920,Craft,5,5,7,6,6.0,1.756
Chile,1920,Flow,5,6,8,7,6.5,1.678
Chile,1920,Hands,6,5,8,7,6.5,1.689
Chile,1920,Helm,4,6,8,6,5.0,1.645
Chile,1920,Lore,7,8,5,9,14.5,2.234
Chile,1920,Shield,7,8,8,6,10.0,1.812
Chile,1920,Stewards,5,6,8,7,6.5,1.712
Chile,1921,Archive,6,7,6,7,10.5,1.967
Chile,1921,Craft,5,6,7,6,6.0,1.756
Chile,1921,Flow,5,6,8,7,6.5,1.723
Chile,1921,Hands,6,5,8,7,6.5,1.734
Chile,1921,Helm,3,4,8,5,1.5,1.545
Chile,1921,Lore,7,8,5,9,14.5,2.234
Chile,1921,Shield,6,8,7,6,10.0,1.889
Chile,1921,Stewards,6,7,7,7,9.5,1.912
Chile,1922,Archive,6,7,5,7,11.5,2.056
Chile,1922,Craft,6,6,6,6,9.0,1.878
Chile,1922,Flow,6,6,7,7,8.5,1.845
Chile,1922,Hands,5,5,7,6,6.0,1.789
Chile,1922,Helm,3,4,8,6,2.0,1.589
Chile,1922,Lore,7,8,4,9,15.5,2.345
Chile,1922,Shield,6,8,6,6,11.0,2.012
Chile,1922,Stewards,6,7,6,7,10.5,1.989
Chile,1923,Archive,5,6,6,7,8.5,1.912
Chile,1923,Craft,6,6,6,6,9.0,1.934
Chile,1923,Flow,6,7,6,7,10.5,2.012
Chile,1923,Hands,5,5,8,6,5.0,1.678
Chile,1923,Helm,2,3,9,6,-1.0,1.345
Chile,1923,Lore,6,8,5,9,13.5,2.156
Chile,1923,Shield,5,8,8,6,8.0,1.789
Chile,1923,Stewards,6,7,6,7,10.5,1.956
Chile,1924,Archive,4,5,8,7,4.5,1.645
Chile,1924,Craft,5,5,8,6,5.0,1.612
Chile,1924,Flow,5,6,8,7,6.5,1.656
Chile,1924,Hands,6,5,8,7,6.5,1.712
Chile,1924,Helm,1,2,10,6,-4.0,1.156
Chile,1924,Lore,5,7,7,8,9.0,1.845
Chile,1924,Shield,4,7,9,6,5.0,1.567
Chile,1924,Stewards,5,6,8,7,6.5,1.678
Chile,1925,Archive,5,6,7,7,7.5,1.856
Chile,1925,Craft,5,6,7,6,7.0,1.823
Chile,1925,Flow,6,7,6,7,10.5,1.989
Chile,1925,Hands,6,5,9,7,5.5,1.745
Chile,1925,Helm,4,6,9,8,5.0,1.712
Chile,1925,Lore,6,7,6,9,11.5,2.056
Chile,1925,Shield,4,8,9,6,6.0,1.689
Chile,1925,Stewards,6,7,7,7,9.5,1.934
Chile,1926,Archive,6,7,5,7,11.5,2.123
Chile,1926,Craft,6,6,6,6,9.0,1.956
Chile,1926,Flow,6,7,6,7,10.5,2.012
Chile,1926,Hands,4,5,8,6,4.0,1.678
Chile,1926,Helm,6,7,5,7,11.5,2.056
Chile,1926,Lore,6,7,5,8,12.0,2.123
Chile,1926,Shield,7,8,5,6,13.0,2.189
Chile,1926,Stewards,7,8,5,7,13.5,2.234
Chile,1927,Archive,7,8,3,7,15.5,2.467
Chile,1927,Craft,7,7,4,6,13.0,2.323
Chile,1927,Flow,8,8,3,7,16.5,2.567
Chile,1927,Hands,3,5,9,5,1.5,1.456
Chile,1927,Helm,9,9,3,7,18.5,2.545
Chile,1927,Lore,5,7,6,8,10.0,2.012
Chile,1927,Shield,9,9,2,6,19.0,2.589
Chile,1927,Stewards,8,8,3,7,16.5,2.567
Chile,1928,Archive,8,8,2,7,17.5,2.612
Chile,1928,Craft,7,8,3,7,15.5,2.456
Chile,1928,Flow,9,10,2,7,20.5,2.812
Chile,1928,Hands,3,6,8,5,3.5,1.589
Chile,1928,Helm,9,10,2,7,20.5,2.712
Chile,1928,Lore,5,7,6,8,10.0,2.056
Chile,1928,Shield,9,10,2,7,20.5,2.745
Chile,1928,Stewards,9,9,2,7,19.5,2.789
Chile,1929,Archive,8,9,2,7,18.5,2.645
Chile,1929,Craft,7,8,3,7,15.5,2.478
Chile,1929,Flow,9,10,2,7,20.5,2.834
