Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node value,Bond strength
China,1980,Executive,5,5,-3.0,4.0,14.0,14.4
China,1980,Army,2,3,0.0,1.0,5.5,4.8
China,1980,Priests,1,1,1.0,1.0,3.5,2.4
China,1980,Property Owners,1,1,2.0,1.0,3.5,3.0
China,1980,Trades/Professions,2,3,1.0,1.0,5.5,4.8
China,1980,Proletariat,5,7,-2.0,1.0,13.5,12.0
China,1980,State Memory,5,5,-4.0,5.0,14.5,13.2
China,1980,Shopkeepers/Merchants,2,3,0.0,1.0,6.5,4.8
China,1981,Executive,6,6,-4.0,5.0,17.0,16.8
China,1981,Army,3,4,-1.0,2.0,9.0,8.4
China,1981,Priests,1,1,1.0,1.0,3.5,2.4
China,1981,Property Owners,1,2,1.0,1.0,4.5,4.2
China,1981,Trades/Professions,3,4,0.0,2.0,9.0,7.2
China,1981,Proletariat,6,8,-3.0,2.0,16.0,14.4
China,1981,State Memory,6,6,-5.0,6.0,17.0,15.6
China,1981,Shopkeepers/Merchants,3,4,-1.0,2.0,10.0,8.4
China,1982,Executive,7,7,-5.0,6.0,19.0,19.2
China,1982,Army,4,5,-2.0,3.0,12.5,10.8
China,1982,Priests,1,1,1.0,1.0,3.5,2.4
China,1982,Property Owners,2,3,0.0,1.5,7.8,6.6
China,1982,Trades/Professions,4,5,-1.0,3.0,12.5,10.8
China,1982,Proletariat,7,9,-4.0,2.0,18.0,16.8
China,1982,State Memory,7,7,-6.0,7.0,19.5,18.0
China,1982,Shopkeepers/Merchants,4,5,-2.0,3.0,13.0,10.8
China,1983,Executive,8,8,-6.0,7.0,22.0,22.8
China,1983,Army,5,6,-3.0,4.0,15.0,13.2
China,1983,Priests,1,1,1.0,1.0,3.5,2.4
China,1983,Property Owners,3,4,-1.0,2.0,10.0,9.0
China,1983,Trades/Professions,5,6,-2.0,4.0,15.0,14.4
China,1983,Proletariat,8,9,-5.0,2.0,19.0,18.0
China,1983,State Memory,8,8,-7.0,8.0,22.0,21.6
China,1983,Shopkeepers/Merchants,5,6,-3.0,4.0,15.0,13.2
China,1984,Executive,7,7,-5.0,6.0,19.0,19.2
China,1984,Army,4,5,-2.0,3.0,12.5,10.8
China,1984,Priests,1,1,1.0,1.0,3.5,2.4
China,1984,Property Owners,2,3,0.0,1.5,7.8,6.6
China,1984,Trades/Professions,4,5,-1.0,3.0,12.5,10.8
China,1984,Proletariat,7,9,-4.0,2.0,18.0,16.8
China,1984,State Memory,7,7,-6.0,7.0,19.5,18.0
China,1984,Shopkeepers/Merchants,4,5,-2.0,3.0,13.0,10.8
China,1985,Executive,6,6,-4.0,5.0,17.0,16.8
China,1985,Army,3,4,-1.0,2.0,9.0,8.4
China,1985,Priests,1,1,1.0,1.0,3.5,2.4
China,1985,Property Owners,1,2,1.0,1.0,4.5,4.2
China,1985,Trades/Professions,3,4,0.0,2.0,9.0,7.2
China,1985,Proletariat,6,8,-3.0,2.0,16.0,14.4
China,1985,State Memory,6,6,-5.0,6.0,17.0,15.6
China,1985,Shopkeepers/Merchants,3,4,-1.0,2.0,10.0,8.4
China,1986,Executive,7,7,-5.0,6.0,19.0,19.2
China,1986,Army,4,5,-2.0,3.0,12.5,10.8
China,1986,Priests,1,1,,,,
China,1987,Executive,8,8,-6.0,7.0,21.0,21.6
China,1987,Army,5,6,-3.0,4.0,15.0,13.2
China,1987,Priests,1,1,1.0,1.0,3.5,2.4
