Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1975,Archive,6,6,5,5,9.5,1.356
China,1975,Craft,5,6,6,5,7.5,1.289
China,1975,Flow,5,5,6,4,6.0,1.256
China,1975,Hands,7,6,5,3,9.5,1.321
China,1975,Helm,3,6,8,5,3.5,1.134
China,1975,Lore,4,5,7,4,4.0,1.198
China,1975,Shield,6,7,5,5,10.5,1.345
China,1975,Stewards,5,5,6,4,6.0,1.256
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1976,Archive,5,5,7,5,5.5,1.021
China,1976,Craft,4,5,7,5,4.5,0.987
China,1976,Flow,4,4,7,4,3.0,0.945
China,1976,Hands,5,5,8,3,3.5,0.923
China,1976,Helm,2,5,10,4,-1.0,0.765
China,1976,Lore,3,4,8,4,1.0,0.854
China,1976,Shield,7,7,6,5,10.5,1.156
China,1976,Stewards,4,5,7,4,4.0,0.967
China,1977,Archive,6,6,5,5,9.5,1.387
China,1977,Craft,5,6,6,5,7.5,1.312
China,1977,Flow,5,5,6,4,6.0,1.278
China,1977,Hands,6,6,5,3,10.5,1.345
China,1977,Helm,5,6,6,5,7.5,1.321
China,1977,Lore,5,5,6,6,7.0,1.354
China,1977,Shield,7,7,5,5,11.5,1.456
China,1977,Stewards,5,5,6,4,6.0,1.278
China,1978,Archive,6,6,4,6,11.0,1.612
China,1978,Craft,6,6,5,6,10.0,1.543
China,1978,Flow,6,6,5,5,9.5,1.512
China,1978,Hands,6,6,5,4,9.0,1.487
China,1978,Helm,7,7,5,7,12.5,1.654
China,1978,Lore,7,6,4,7,12.5,1.687
China,1978,Shield,7,7,5,5,11.5,1.567
China,1978,Stewards,6,6,5,5,9.5,1.512
China,1979,Archive,7,7,4,6,13.0,1.723
China,1979,Craft,6,7,5,6,11.0,1.612
China,1979,Flow,6,6,5,5,9.5,1.587
China,1979,Hands,7,7,4,4,12.0,1.643
China,1979,Helm,7,7,5,7,12.5,1.698
China,1979,Lore,7,7,4,7,13.5,1.734
China,1979,Shield,7,6,7,5,8.5,1.456
China,1979,Stewards,6,6,5,5,9.5,1.587
China,1980,Archive,7,7,4,6,13.0,1.756
China,1980,Craft,7,7,4,7,13.5,1.789
China,1980,Flow,7,7,4,6,13.0,1.745
China,1980,Hands,8,8,3,4,15.0,1.812
China,1980,Helm,8,8,4,7,15.5,1.834
China,1980,Lore,7,7,4,7,13.5,1.767
China,1980,Shield,7,7,4,6,13.0,1.723
China,1980,Stewards,7,7,4,6,13.0,1.745
China,1981,Archive,7,7,4,7,13.5,1.812
China,1981,Craft,7,7,4,7,13.5,1.812
China,1981,Flow,7,7,4,6,13.0,1.767
China,1981,Hands,8,8,3,5,15.5,1.856
China,1981,Helm,8,8,4,8,16.0,1.898
China,1981,Lore,7,7,4,8,14.0,1.834
China,1981,Shield,7,7,4,6,13.0,1.767
China,1981,Stewards,7,7,4,6,13.0,1.767
China,1982,Archive,8,8,3,7,16.5,2.012
China,1982,Craft,7,8,4,7,14.5,1.876
China,1982,Flow,7,8,4,7,14.5,1.876
China,1982,Hands,8,9,3,5,16.5,1.934
China,1982,Helm,8,8,3,8,17.0,2.056
China,1982,Lore,7,8,3,8,16.0,1.987
China,1982,Shield,7,7,4,7,13.5,1.876
China,1982,Stewards,7,8,4,7,14.5,1.876
China,1983,Archive,8,8,3,7,16.5,2.023
China,1983,Craft,8,8,3,8,17.0,2.056
China,1983,Flow,8,8,3,7,16.5,2.023
China,1983,Hands,9,9,3,5,17.5,1.967
China,1983,Helm,8,8,4,8,16.0,1.989
China,1983,Lore,6,7,5,8,12.0,1.845
China,1983,Shield,8,8,3,7,16.5,2.012
China,1983,Stewards,8,8,3,7,16.5,2.023
China,1984,Archive,8,8,3,8,17.0,2.134
China,1984,Craft,8,9,3,8,18.0,2.156
China,1984,Flow,9,9,3,8,19.0,2.189
China,1984,Hands,9,10,3,6,19.0,2.045
China,1984,Helm,9,9,3,9,19.5,2.234
China,1984,Lore,8,8,3,9,17.5,2.178
China,1984,Shield,8,8,3,8,17.0,2.134
China,1984,Stewards,9,9,3,8,19.0,2.189
Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
China,1985,Archive,7,7,4,6,13.0,1.723
China,1985,Craft,7,7,4,6,13.0,1.723
China,1985,Flow,7,7,5,6,12.0,1.643
China,1985,Hands,7,8,5,5,12.5,1.587
China,1985,Helm,6,7,5,7,11.5,1.612
China,1985,Lore,6,7,5,7,11.5,1.612
China,1985,Shield,7,7,4,6,13.0,1.723
China,1985,Stewards,7,7,4,6,13.0,1.723
China,1986,Archive,6,7,4,6,12.0,1.687
