Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Egypt,1900,Helm,7,8,4,8,15.0,2.456
Egypt,1900,Shield,7,7,4,7,13.5,2.345
Egypt,1900,Lore,6,6,4,7,11.5,2.123
Egypt,1900,Stewards,6,8,5,6,12.0,2.234
Egypt,1900,Craft,6,6,5,6,10.0,2.012
Egypt,1900,Hands,5,7,6,4,8.0,1.890
Egypt,1900,Archive,7,7,4,7,13.5,2.345
Egypt,1900,Flow,7,8,4,7,14.5,2.567
Egypt,1901,Helm,8,8,4,8,16.0,2.678
Egypt,1901,Shield,7,7,4,7,14.0,2.567
Egypt,1901,Lore,6,6,5,7,10.5,2.234
Egypt,1901,Stewards,7,8,5,6,13.0,2.345
Egypt,1901,Craft,6,6,5,6,10.0,2.012
Egypt,1901,Hands,5,7,5,4,9.0,2.012
Egypt,1901,Archive,7,7,4,7,13.5,2.345
Egypt,1901,Flow,8,8,4,7,15.0,2.567
Egypt,1902,Helm,8,8,4,8,16.0,2.678
Egypt,1902,Shield,7,7,4,7,14.0,2.567
Egypt,1902,Lore,6,6,5,7,10.5,2.234
Egypt,1902,Stewards,7,8,5,6,13.0,2.345
Egypt,1902,Craft,6,6,5,6,10.0,2.012
Egypt,1902,Hands,5,7.5,5,4,9.5,2.123
Egypt,1902,Archive,7,7,4,7,13.5,2.345
Egypt,1902,Flow,8,8.5,4,7,15.5,2.678
Egypt,1903,Helm,8,8,4,8,16.0,2.678
Egypt,1903,Shield,7,7,4,7,14.0,2.567
Egypt,1903,Lore,6,6,5,7,10.5,2.234
Egypt,1903,Stewards,7,8,5,6,13.0,2.345
Egypt,1903,Craft,6,6,5,6,10.0,2.012
Egypt,1903,Hands,5,7.5,5,4,9.5,2.123
Egypt,1903,Archive,7,7,4,7,13.5,2.345
Egypt,1903,Flow,8,8.5,4,7,15.5,2.678
Egypt,1904,Helm,8,8,4,8,16.0,2.678
Egypt,1904,Shield,7,7,4,7,14.0,2.567
Egypt,1904,Lore,6,6,5,7,10.5,2.234
Egypt,1904,Stewards,7,8,5,6,13.0,2.345
Egypt,1904,Craft,6,6,5,6,10.0,2.012
Egypt,1904,Hands,5,8,6,4,9.0,2.012
Egypt,1904,Archive,7,7,4,7,13.5,2.345
Egypt,1904,Flow,8,9,4,7,16.5,2.789
Egypt,1905,Helm,8,8,4,8,16.0,2.678
Egypt,1905,Shield,7,7,5,7,13.5,2.456
Egypt,1905,Lore,6,6,6,7,9.5,2.123
Egypt,1905,Stewards,7,8,5,6,13.0,2.345
Egypt,1905,Craft,6,6,5,6,10.0,2.012
Egypt,1905,Hands,5,8,6,4,8.0,1.890
Egypt,1905,Archive,7,7,4,7,13.5,2.345
Egypt,1905,Flow,8,9,4,7,16.5,2.789
Egypt,1906,Helm,8,8,5,8,15.0,2.567
Egypt,1906,Shield,7,7,6,7,13.0,2.345
Egypt,1906,Lore,6,6,7,7,9.0,1.890
Egypt,1906,Stewards,7,8,5,6,13.0,2.345
Egypt,1906,Craft,6,6,5,6,10.0,2.012
Egypt,1906,Hands,5,7,7,4,7.5,1.678
Egypt,1906,Archive,7,7,4,7,13.5,2.345
Egypt,1906,Flow,8,9,4,7,16.5,2.789
Egypt,1907,Helm,7,8,5,8,14.0,2.456
Egypt,1907,Shield,7,7,6,7,13.0,2.345
Egypt,1907,Lore,6,6,7,7,9.0,1.890
Egypt,1907,Stewards,7,8,5,6,13.0,2.345
Egypt,1907,Craft,6,6,5,6,10.0,2.012
Egypt,1907,Hands,5,7.2,7,4,7.7,1.789
Egypt,1907,Archive,7,7,4,7,13.5,2.345
Egypt,1907,Flow,8,9,4,7,16.5,2.789
Egypt,1908,Helm,8,8,5,8,15.0,2.567
Egypt,1908,Shield,7,7,5,7,13.5,2.456
Egypt,1908,Lore,6,6,7,7,9.0,1.890
Egypt,1908,Stewards,7,8,5,6,13.0,2.345
Egypt,1908,Craft,6,6,5,6,10.0,2.012
Egypt,1908,Hands,5,7.4,6,4,8.4,1.901
Egypt,1908,Archive,7,7,4,7,13.5,2.345
Egypt,1908,Flow,8,9.2,4,7,16.7,2.845
Egypt,1909,Helm,8,8,4,8,16.0,2.678
Egypt,1909,Shield,7,7,5,7,13.5,2.456
Egypt,1909,Lore,6,6,6,7,9.5,2.123
Egypt,1909,Stewards,7,8,5,6,13.0,2.345
Egypt,1909,Craft,6,6,5,6,10.0,2.012
Egypt,1909,Hands,5,7.6,6,4,8.6,1.945
Egypt,1909,Archive,7,7,4,7,13.5,2.345
Egypt,1909,Flow,8,9.3,4,7,16.8,2.867
Egypt,1910,Helm,8,8,4,8,16.0,2.678
Egypt,1910,Shield,7,7,5,7,13.5,2.456
Egypt,1910,Lore,6,6,6,7,9.5,2.123
Egypt,1910,Stewards,7,8,5,6,13.0,2.345
Egypt,1910,Craft,6,6,5,6,10.0,2.012
Egypt,1910,Hands,5,7.8,6,4,8.8,1.989
Egypt,1910,Archive,7,7,4,7,13.5,2.345
Egypt,1910,Flow,8,9.4,4,7,16.9,2.890
Egypt,1911,Helm,8,8,4,8,16.0,2.678
Egypt,1911,Shield,7,7,5,7,13.5,2.456
Egypt,1911,Lore,6,6,6,7,9.5,2.123
Egypt,1911,Stewards,7,8,5,6,13.0,2.345
Egypt,1911,Craft,6,6,5,6,10.0,2.012
Egypt,1911,Hands,5,8,5,4,9.0,2.012
Egypt,1911,Archive,7,7,4,7,13.5,2.345
Egypt,1911,Flow,8,9.5,4,7,17.0,2.912
Egypt,1912,Helm,8,8,4,8,16.0,2.678
Egypt,1912,Shield,7,7,5,7,13.5,2.456
Egypt,1912,Lore,6,6,6,7,9.5,2.123
Egypt,1912,Stewards,7,8,5,6,13.0,2.345
Egypt,1912,Craft,6,6,5,6,10.0,2.012
Egypt,1912,Hands,5,8,5,4,9.0,2.012
Egypt,1912,Archive,7,7,4,7,13.5,2.345
Egypt,1912,Flow,8,9.5,4,7,17.0,2.912
Egypt,1913,Helm,8,8,4,8,16.0,2.678
Egypt,1913,Shield,7,7,5,7,13.5,2.456
Egypt,1913,Lore,6,6,6,7,9.5,2.123
Egypt,1913,Stewards,7,8,5,6,13.0,2.345
Egypt,1913,Craft,6,6,5,6,10.0,2.012
Egypt,1913,Hands,5,8,5,4,9.0,2.012
Egypt,1913,Archive,7,7,4,7,13.5,2.345
Egypt,1913,Flow,8,9.5,4,7,17.0,2.912
Egypt,1914,Helm,8,8,5,8,15.0,2.567
Egypt,1914,Shield,7,7,6,7,13.0,2.345
Egypt,1914,Lore,6,6,6,7,9.5,2.123
Egypt,1914,Stewards,7,8,6,6,12.0,2.234
Egypt,1914,Craft,6,6,6,6,9.0,1.901
Egypt,1914,Hands,5,7,7,4,7.5,1.678
Egypt,1914,Archive,7,7,5,7,12.5,2.234
Egypt,1914,Flow,8,8,6,7,14.0,2.456
Egypt,1915,Helm,7,7,6,7,12.5,2.234
Egypt,1915,Shield,7,7,7,7,12.0,2.123
Egypt,1915,Lore,6,6,7,7,9.0,1.890
Egypt,1915,Stewards,7,7,7,6,11.0,2.012
Egypt,1915,Craft,6,6,7,6,8.0,1.789
Egypt,1915,Hands,5,6,8,4,5.0,1.456
Egypt,1915,Archive,7,7,6,7,11.5,2.123
Egypt,1915,Flow,7,7,7,7,11.5,2.123
Egypt,1916,Helm,7,7,7,7,12.0,2.123
Egypt,1916,Shield,6,7,7,7,11.5,2.012
Egypt,1916,Lore,5,6,8,7,7.5,1.678
Egypt,1916,Stewards,6,7,7,6,10.0,1.901
Egypt,1916,Craft,6,6,7,6,8.0,1.789
Egypt,1916,Hands,4,6,9,4,3.0,1.234
Egypt,1916,Archive,7,7,7,7,10.5,1.901
Egypt,1916,Flow,7,7,7,7,11.5,2.123
Egypt,1917,Helm,7,7,7,7,12.0,2.123
Egypt,1917,Shield,6,7,8,7,10.5,1.890
Egypt,1917,Lore,5,6,8,7,7.5,1.678
Egypt,1917,Stewards,6,7,7,6,10.0,1.901
Egypt,1917,Craft,6,6,7,6,8.0,1.789
Egypt,1917,Hands,4,6,9,4,3.0,1.234
Egypt,1917,Archive,6,7,7,7,10.0,1.901
Egypt,1917,Flow,7,7,8,7,10.5,1.890
Egypt,1918,Helm,6,7,8,7,10.5,1.890
Egypt,1918,Shield,6,7,8,7,10.5,1.890
Egypt,1918,Lore,5,6,9,7,6.5,1.567
Egypt,1918,Stewards,6,7,8,6,9.0,1.789
Egypt,1918,Craft,5,6,8,6,7.0,1.678
Egypt,1918,Hands,4,6,9,4,3.0,1.234
Egypt,1918,Archive,6,7,8,7,9.0,1.789
Egypt,1918,Flow,7,7,8,7,10.5,1.890
Egypt,1919,Helm,4,5,9,6,5.0,1.456
Egypt,1919,Shield,5,6,9,7,7.0,1.678
Egypt,1919,Lore,4,5,10,7,3.5,1.123
Egypt,1919,Stewards,5,6,9,6,6.0,1.567
Egypt,1919,Craft,4,5,9,6,4.0,1.345
Egypt,1919,Hands,3,5,10,4,1.0,0.890
Egypt,1919,Archive,5,6,9,7,6.0,1.567
Egypt,1919,Flow,6,6,9,7,7.0,1.678
Egypt,1920,Helm,5,6,8,7,8.0,1.789
Egypt,1920,Shield,6,7,8,7,10.5,1.890
Egypt,1920,Lore,5,6,8,7,7.5,1.678
Egypt,1920,Stewards,6,7,8,6,9.0,1.789
Egypt,1920,Craft,5,6,8,6,7.0,1.678
Egypt,1920,Hands,4,6,9,4,3.0,1.234
Egypt,1920,Archive,6,7,8,7,9.0,1.789
Egypt,1920,Flow,7,8,7,7,12.0,2.234
Egypt,1921,Helm,6,7,6,7,11.5,2.123
Egypt,1921,Shield,7,7,5,7,13.5,2.456
Egypt,1921,Lore,6,6,6,7,9.5,2.123
Egypt,1921,Stewards,7,8,5,6,13.0,2.345
Egypt,1921,Craft,6,6,5,6,10.0,2.012
Egypt,1921,Hands,5,7,6,4,8.0,1.890
Egypt,1921,Archive,7,7,5,7,12.5,2.234
Egypt,1921,Flow,8,8,5,7,14.5,2.567
Egypt,1922,Helm,7,8,5,7,13.5,2.456
Egypt,1922,Shield,7,7,5,7,13.5,2.456
Egypt,1922,Lore,6,6,6,7,9.5,2.123
Egypt,1922,Stewards,7,8,5,6,13.0,2.345
Egypt,1922,Craft,6,6,5,6,10.0,2.012
Egypt,1922,Hands,5,7,6,4,8.0,1.890
Egypt,1922,Archive,7,7,5,7,12.5,2.234
Egypt,1922,Flow,8,8.5,5,7,15.0,2.567
Egypt,1923,Helm,8,8,5,8,15.0,2.567
Egypt,1923,Shield,7,7,5,7,13.5,2.456
Egypt,1923,Lore,6,7,6,7,10.5,2.234
Egypt,1923,Stewards,7,8,5,6,13.0,2.345
Egypt,1923,Craft,6,7,5,6,11.0,2.123
Egypt,1923,Hands,5,7,6,4,8.0,1.890
Egypt,1923,Archive,7,7,5,7,12.5,2.234
Egypt,1923,Flow,8,9,5,7,16.0,2.678
Egypt,1924,Helm,8,8,6,8,14.0,2.456
Egypt,1924,Shield,7,7,6,7,13.0,2.345
Egypt,1924,Lore,7,7,6,7,11.5,2.345
Egypt,1924,Stewards,7,8,5,6,13.0,2.345
Egypt,1924,Craft,7,7,5,6,11.5,2.234
Egypt,1924,Hands,5,7,6,4,8.0,1.890
Egypt,1924,Archive,7,7,5,7,12.5,2.234
Egypt,1924,Flow,8,9,5,7,16.0,2.678
Egypt,1925,Helm,6,7,7,7,10.5,1.890
Egypt,1925,Shield,7,7,6,7,13.0,2.345
Egypt,1925,Lore,6,6,7,7,9.0,1.890
Egypt,1925,Stewards,7,8,5,6,13.0,2.345
Egypt,1925,Craft,6,6,6,6,9.0,1.901
Egypt,1925,Hands,5,7,6,4,8.0,1.890
Egypt,1925,Archive,7,7,6,7,11.5,2.123
Egypt,1925,Flow,8,8.5,5,7,15.0,2.567
Egypt,1926,Helm,7,8,6,7,13.5,2.456
Egypt,1926,Shield,7,7,6,7,13.0,2.345
Egypt,1926,Lore,6,7,6,7,10.5,2.234
Egypt,1926,Stewards,7,8,5,6,13.0,2.345
Egypt,1926,Craft,6,7,5,6,11.0,2.123
Egypt,1926,Hands,5,7,6,4,8.0,1.890
Egypt,1926,Archive,7,7,5,7,12.5,2.234
Egypt,1926,Flow,8,9,5,7,16.0,2.678
Egypt,1927,Helm,6,7,7,7,10.5,1.890
Egypt,1927,Shield,7,7,6,7,13.0,2.345
Egypt,1927,Lore,6,6,7,7,9.0,1.890
Egypt,1927,Stewards,7,8,5,6,13.0,2.345
Egypt,1927,Craft,6,6,6,6,9.0,1.901
Egypt,1927,Hands,5,7,6,4,8.0,1.890
Egypt,1927,Archive,7,7,6,7,11.5,2.123
Egypt,1927,Flow,8,8.5,5,7,15.0,2.567
Egypt,1928,Helm,7,7,6,7,12.0,2.123
Egypt,1928,Shield,7,7,6,7,13.0,2.345
Egypt,1928,Lore,6,7,7,7,10.0,2.012
