Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Estonia,1900,Executive,6.5,5,-3,4,14.5,
Estonia,1900,Army,7,4,-4,3,14.5,
Estonia,1900,Priests,5,3,-1,3,10.5,
Estonia,1900,Property Owners,8,6,-2,5,18.5,
Estonia,1900,Trades/Professions,6,5,-1,4,15,
Estonia,1900,Proletariat,4,7,2,2,14,
Estonia,1900,State Memory,7,4,-3,4,14.5,
Estonia,1900,Shopkeepers/Merchants,6,5,-1,3,13.5,
Estonia,1901,Executive,6.5,5,-3,4,14.5,
Estonia,1901,Army,7,4,-4,3,14.5,
Estonia,1901,Priests,5,3,-1,3,10.5,
Estonia,1901,Property Owners,8,6,-2,5,18.5,
Estonia,1901,Trades/Professions,6,5,-1,4,15,
Estonia,1901,Proletariat,4,7,2,2,14,
Estonia,1901,State Memory,7,4,-3,4,14.5,
Estonia,1901,Shopkeepers/Merchants,6,5,-1,3,13.5,
Estonia,1902,Executive,6.5,5,-3,4,14.5,
Estonia,1902,Army,7,4,-4,3,14.5,
Estonia,1902,Priests,5,3,-1,3,10.5,
Estonia,1902,Property Owners,8,6,-2,5,18.5,
Estonia,1902,Trades/Professions,6,5,-1,4,15,
Estonia,1902,Proletariat,4,7,2,2,14,
Estonia,1902,State Memory,7,4,-3,4,14.5,
Estonia,1902,Shopkeepers/Merchants,6,5,-1,3,13.5,
Estonia,1903,Executive,6.5,5,-2,4.5,16,
Estonia,1903,Army,7,4.5,-3,3.5,16,
Estonia,1903,Priests,5,3,-1,3,10.5,
Estonia,1903,Property Owners,8,6,-2,5.5,19.5,
Estonia,1903,Trades/Professions,6.5,5.5,-1,4.5,16.5,
Estonia,1903,Proletariat,4.5,7,1,2.5,15,
Estonia,1903,State Memory,7.5,4.5,-2,4.5,17,
Estonia,1903,Shopkeepers/Merchants,6.5,5.5,-1,3.5,15,
Estonia,1904,Executive,6.5,5,-2,4.5,16,
Estonia,1904,Army,7,4.5,-3,3.5,16,
Estonia,1904,Priests,5,3,-1,3,10.5,
Estonia,1904,Property Owners,8,6,-2,5.5,19.5,
Estonia,1904,Trades/Professions,6.5,5.5,-1,4.5,16.5,
Estonia,1904,Proletariat,4.5,7,1,2.5,15,
Estonia,1904,State Memory,7.5,4.5,-2,4.5,17,
Estonia,1904,Shopkeepers/Merchants,6.5,5.5,-1,3.5,15,
Estonia,1905,Executive,6,4.5,1,4,14.5,
Estonia,1905,Army,6.5,4,-1,3,14,
Estonia,1905,Priests,4.5,2.5,2,2.5,9.5,
Estonia,1905,Property Owners,7.5,5.5,-1,5,18,
Estonia,1905,Trades/Professions,6,5,0,4,15,
Estonia,1905,Proletariat,4,6.5,4,2,13.5,
Estonia,1905,State Memory,7,4,-2,4,15,
Estonia,1905,Shopkeepers/Merchants,6,5,0,3,14,
Estonia,1906,Executive,6.5,5,-1,4.5,16.5,
Estonia,1906,Army,7,4.5,-2,3.5,16,
Estonia,1906,Priests,5,3,-1,3,10.5,
Estonia,1906,Property Owners,8,6,-2,5.5,19.5,
