Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Finland,1900,Helm,6,7,4,6,12.0,2.162
Finland,1900,Shield,7,6,3,5,12.5,2.234
Finland,1900,Lore,8,7,3,8,16.0,2.651
Finland,1900,Stewards,7,7,3,6,14.0,2.388
Finland,1900,Craft,7,6,3,6,13.0,2.315
Finland,1900,Hands,6,5,3,4,10.0,2.012
Finland,1900,Archive,8,8,3,8,17.0,2.724
Finland,1900,Flow,7,7,3,7,14.5,2.461
Finland,1901,Helm,5,6,6,6,8.0,1.643
Finland,1901,Shield,4,4,8,5,2.5,1.218
Finland,1901,Lore,8,7,4,8,15.0,2.321
Finland,1901,Stewards,6,6,4,6,11.0,1.954
Finland,1901,Craft,7,6,4,6,12.0,2.027
Finland,1901,Hands,6,5,4,4,9.0,1.751
Finland,1901,Archive,7,7,4,8,14.0,2.248
Finland,1901,Flow,6,6,5,7,10.5,1.815
Finland,1902,Helm,4,5,7,6,5.0,1.382
Finland,1902,Shield,3,3,9,4,0.0,0.985
Finland,1902,Lore,9,7,5,8,15.0,2.184
Finland,1902,Stewards,6,6,5,6,10.0,1.741
Finland,1902,Craft,7,6,5,6,11.0,1.814
Finland,1902,Hands,7,5,5,4,9.0,1.662
Finland,1902,Archive,8,7,5,8,14.0,2.111
Finland,1902,Flow,6,6,6,7,9.5,1.612
Finland,1903,Helm,6,7,8,6,8.0,1.321
Finland,1903,Shield,3,4,9,4,1.0,1.012
Finland,1903,Lore,8,7,6,8,13.0,1.914
Finland,1903,Stewards,6,6,6,6,9.0,1.625
Finland,1903,Craft,6,6,6,6,9.0,1.625
Finland,1903,Hands,6,5,6,4,7.0,1.441
Finland,1903,Archive,6,6,6,8,10.0,1.734
Finland,1903,Flow,6,6,7,7,8.5,1.488
Finland,1904,Helm,3,4,9,6,1.0,0.954
Finland,1904,Shield,2,3,10,4,-2.0,0.762
Finland,1904,Lore,8,7,7,8,12.0,1.711
Finland,1904,Stewards,5,5,7,6,6.0,1.424
Finland,1904,Craft,6,6,7,6,8.0,1.498
Finland,1904,Hands,7,5,7,4,7.0,1.385
Finland,1904,Archive,5,6,7,8,8.0,1.571
Finland,1904,Flow,5,6,8,7,7.5,1.321
Finland,1905,Helm,2,3,10,6,-2.0,0.782
Finland,1905,Shield,2,2,10,4,-3.0,0.701
Finland,1905,Lore,8,7,6,8,13.0,1.914
