Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Germany,1750,Army,8,8,3,7,16.5,3.014
Germany,1750,Executive,7,7,4,7,13.5,2.646
Germany,1750,Merchants / Shopkeepers,6,6,4,6,11.0,2.466
Germany,1750,Priesthood / Knowledge Workers,5,5,5,6,8.0,2.160
Germany,1750,Proletariat,3,3,2,3,5.5,2.364
Germany,1750,Property Owners,7,7,4,5,12.5,2.502
Germany,1750,State Memory,6,6,4,7,11.5,2.538
Germany,1750,Trades / Professions,6,6,4,6,11.0,2.466
Germany,1751,Army,8,8,3,7,16.5,3.014
Germany,1751,Executive,7,7,4,7,13.5,2.646
Germany,1751,Merchants / Shopkeepers,6,6,4,6,11.0,2.466
Germany,1751,Priesthood / Knowledge Workers,5,5,5,6,8.0,2.160
Germany,1751,Proletariat,3,3,2,3,5.5,2.364
Germany,1751,Property Owners,7,7,4,5,12.5,2.502
Germany,1751,State Memory,6,6,4,7,11.5,2.538
Germany,1751,Trades / Professions,6,6,4,6,11.0,2.466
Germany,1752,Army,8,8,3,7,16.5,3.014
Germany,1752,Executive,7,7,4,7,13.5,2.646
Germany,1752,Merchants / Shopkeepers,6,6,4,6,11.0,2.466
Germany,1752,Priesthood / Knowledge Workers,5,5,5,6,8.0,2.160
Germany,1752,Proletariat,3,3,2,3,5.5,2.364
Germany,1752,Property Owners,7,7,4,5,12.5,2.502
Germany,1752,State Memory,6,6,4,7,11.5,2.538
Germany,1752,Trades / Professions,6,6,4,6,11.0,2.466
Germany,1753,Army,8,8,3,7,16.5,3.014
Germany,1753,Executive,7,7,4,7,13.5,2.646
Germany,1753,Merchants / Shopkeepers,6,6,4,6,11.0,2.466
Germany,1753,Priesthood / Knowledge Workers,5,5,5,6,8.0,2.160
Germany,1753,Proletariat,3,3,2,3,5.5,2.364
Germany,1753,Property Owners,7,7,4,5,12.5,2.502
Germany,1753,State Memory,6,6,4,7,11.5,2.538
Germany,1753,Trades / Professions,6,6,4,6,11.0,2.466
Germany,1754,Army,8,8,3,7,16.5,3.014
Germany,1754,Executive,7,7,4,7,13.5,2.646
Germany,1754,Merchants / Shopkeepers,6,6,4,6,11.0,2.466
Germany,1754,Priesthood / Knowledge Workers,5,5,5,6,8.0,2.160
Germany,1754,Proletariat,3,3,2,3,5.5,2.364
Germany,1754,Property Owners,7,7,4,5,12.5,2.502
Germany,1754,State Memory,6,6,4,7,11.5,2.538
Germany,1754,Trades / Professions,6,6,4,6,11.0,2.466
Germany,1755,Army,7,7,4,7,14.5,2.698
Germany,1755,Executive,6,6,5,6,10.0,2.327
Germany,1755,Merchants / Shopkeepers,5,5,5,5,7.5,2.029
Germany,1755,Priesthood / Knowledge Workers,5,5,5,6,8.0,2.160
Germany,1755,Proletariat,3,3,3,3,5.0,2.091
Germany,1755,Property Owners,7,7,4,5,12.5,2.502
Germany,1755,State Memory,6,6,5,7,10.5,2.235
Germany,1755,Trades / Professions,5,5,5,5,7.5,2.029
Germany,1756,Army,7,7,2,7,15.5,3.136
Germany,1756,Executive,6,6,2,6,13.0,2.946
Germany,1756,Merchants / Shopkeepers,5,4,5,5,6.5,1.961
Germany,1756,Priesthood / Knowledge Workers,4,4,6,5,5.5,1.751
Germany,1756,Proletariat,2,2,1,2,4.0,2.000
Germany,1756,Property Owners,6,6,5,4,9.0,2.012
Germany,1756,State Memory,5,5,5,6,8.5,2.160
Germany,1756,Trades / Professions,5,4,5,5,6.5,1.961
Germany,1757,Army,6,7,2,7,14.5,3.109
Germany,1757,Executive,5,6,2,6,12.0,2.835
Germany,1757,Merchants / Shopkeepers,4,4,6,4,4.0,1.571
Germany,1757,Priesthood / Knowledge Workers,3,4,7,4,3.0,1.385
Germany,1757,Proletariat,2,1,1,1,2.5,1.785
Germany,1757,Property Owners,5,5,6,3,5.5,1.670
Germany,1757,State Memory,4,5,6,5,5.5,1.751
Germany,1757,Trades / Professions,4,4,6,4,4.0,1.571
Germany,1758,Army,6,7,1,7,15.5,3.535
Germany,1758,Executive,5,6,1,6,13.0,3.220
Germany,1758,Merchants / Shopkeepers,4,3,6,4,3.0,1.488
Germany,1758,Priesthood / Knowledge Workers,3,3,7,3,1.5,1.250
Germany,1758,Proletariat,1,1,1,1,1.5,1.555
Germany,1758,Property Owners,4,5,7,3,3.5,1.480
Germany,1758,State Memory,3,4,7,4,3.0,1.385
Germany,1758,Trades / Professions,4,3,6,4,3.0,1.488
Germany,1759,Army,5,6,1,6,13.0,3.190
Germany,1759,Executive,4,5,1,5,10.5,2.830
Germany,1759,Merchants / Shopkeepers,3,3,7,3,0.5,1.189
Germany,1759,Priesthood / Knowledge Workers,2,2,8,2,-2.0,1.000
Germany,1759,Proletariat,1,1,2,1,0.5,1.196
Germany,1759,Property Owners,3,4,8,2,0.0,1.189
Germany,1759,State Memory,2,3,8,3,-0.5,1.109
Germany,1759,Trades / Professions,3,3,7,3,0.5,1.189
Germany,1760,Army,4,5,1,5,10.5,2.830
Germany,1760,Executive,3,4,1,4,8.0,2.449
Germany,1760,Merchants / Shopkeepers,2,2,7,2,-1.0,1.000
Germany,1760,Priesthood / Knowledge Workers,1,1,9,1,-6.5,0.767
Germany,1760,Proletariat,1,1,3,1,0.0,1.066
Germany,1760,Property Owners,2,3,9,1,-3.5,1.000
Germany,1760,State Memory,1,2,9,2,-5.0,0.852
Germany,1760,Trades / Professions,2,2,7,2,-1.0,1.000
