Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Japan,1880,Helm,7,7,5,7,13.5,2.678
Japan,1880,Shield,8,7,4,6,14,2.721
Japan,1880,Lore,6,6,6,7,10.5,2.456
Japan,1880,Stewards,7,7,5,6,12.5,2.612
Japan,1880,Craft,7,7,4,7,14,2.789
Japan,1880,Hands,6,7,5,5,11.5,2.567
Japan,1880,Archive,7,6,5,7,11.5,2.589
Japan,1880,Flow,7,7,5,7,13.5,2.834
,,,,,,,,
Japan,1881,Helm,7,7,5,7,13.5,2.701
Japan,1881,Shield,8,7,4,6,14,2.743
Japan,1881,Lore,6,6,5,7,11,2.512
Japan,1881,Stewards,7,7,5,7,13.5,2.678
Japan,1881,Craft,7,8,4,7,15,2.834
Japan,1881,Hands,6,7,5,5,11.5,2.589
Japan,1881,Archive,7,7,4,7,13,2.678
Japan,1881,Flow,8,8,4,7,15,2.89
Japan,1882,Helm,7,8,4,7,15,2.789
Japan,1882,Shield,8,8,4,7,15,2.834
Japan,1882,Lore,7,7,5,7,13,2.612
Japan,1882,Stewards,8,8,4,7,15,2.834
Japan,1882,Craft,8,8,4,7,15,2.89
Japan,1882,Hands,6,7,5,5,11.5,2.612
Japan,1882,Archive,8,7,4,7,14,2.789
Japan,1882,Flow,8,8,4,8,16,2.945
Japan,1883,Helm,8,8,4,7,15,2.834
Japan,1883,Shield,8,8,4,7,15,2.856
Japan,1883,Lore,7,7,4,8,14,2.721
Japan,1883,Stewards,8,8,4,7,15,2.856
Japan,1883,Craft,8,8,3,8,16,2.945
Japan,1883,Hands,7,7,4,5,12.5,2.701
Japan,1883,Archive,8,8,4,8,15,2.834
Japan,1883,Flow,8,8,4,8,16,2.967
Japan,1884,Helm,8,8,3,8,16,2.945
Japan,1884,Shield,9,8,3,7,16.5,2.967
Japan,1884,Lore,7,7,4,8,14,2.789
Japan,1884,Stewards,8,8,3,8,16,2.945
Japan,1884,Craft,8,9,3,8,17,3.012
Japan,1884,Hands,7,8,4,6,13,2.789
Japan,1884,Archive,8,8,3,8,16,2.945
Japan,1884,Flow,9,9,3,8,18,3.078
Japan,1885,Helm,8,8,4,8,15,2.89
Japan,1885,Shield,9,8,3,7,16.5,2.99
Japan,1885,Lore,7,8,4,8,15,2.834
Japan,1885,Stewards,8,8,4,8,15,2.89
Japan,1885,Craft,8,9,3,8,17,3.012
Japan,1885,Hands,7,8,4,6,13,2.812
Japan,1885,Archive,8,8,4,8,15,2.89
Japan,1885,Flow,9,9,3,9,18,3.123
Japan,1886,Helm,8,8,4,8,15,2.912
Japan,1886,Shield,9,9,3,8,17,3.045
Japan,1886,Lore,8,8,3,8,16,2.945
Japan,1886,Stewards,8,9,3,8,17,3.012
Japan,1886,Craft,9,9,3,8,18,3.1
Japan,1886,Hands,7,8,4,6,13,2.834
Japan,1886,Archive,8,8,3,8,16,2.967
Japan,1886,Flow,9,9,3,9,18,3.145
Japan,1887,Helm,7,8,5,8,13.5,2.789
Japan,1887,Shield,9,9,3,8,17,3.045
Japan,1887,Lore,8,8,4,8,15,2.89
Japan,1887,Stewards,8,9,4,8,16,2.945
Japan,1887,Craft,9,9,3,9,18,3.145
Japan,1887,Hands,7,8,5,6,12,2.743
Japan,1887,Archive,8,8,4,8,15,2.89
Japan,1887,Flow,9,9,4,9,17.5,3.078
Japan,1888,Helm,7,8,5,8,13.5,2.767
Japan,1888,Shield,9,9,3,8,17,3.045
Japan,1888,Lore,8,8,4,9,15.5,2.945
Japan,1888,Stewards,8,9,4,8,16,2.945
Japan,1888,Craft,9,9,3,9,18,3.145
Japan,1888,Hands,7,8,5,6,12,2.743
Japan,1888,Archive,8,8,4,9,15.5,2.945
