Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
1850,Executive,4,3,-4,2,5,7
1850,Army,5,4,-3,2,8,7
1850,Priests,6,5,-2,4,13,7
1850,Property Owners,5,4,-3,3,9,7
1850,Trades/Professions,4,3,-3,3,7,6
1850,Proletariat,3,2,-4,1,2,6
1850,State Memory,5,3,-3,4,9,6
1850,Shopkeepers/Merchants,4,3,-2,2,7,5
1850,Executive,4,3,-4,2,5,7
1850,Army,5,4,-3,2,8,7
1850,Priests,6,5,-2,4,13,7
1850,Property Owners,5,4,-3,3,9,7
1850,Trades/Professions,4,3,-3,3,7,6
1850,Proletariat,3,2,-4,1,2,6
1850,State Memory,5,3,-3,4,9,6
1850,Shopkeepers/Merchants,4,3,-2,2,7,5
1860,Executive,4,3,-5,2,4,8
1860,Army,5,4,-4,2,7,8
1860,Priests,6,5,-3,4,12,8
1860,Property Owners,5,4,-4,3,8,8
1860,Trades/Professions,4,3,-3,3,7,6
1860,Proletariat,3,2,-5,1,1,7
1860,State Memory,5,3,-3,4,9,6
1860,Shopkeepers/Merchants,4,3,-3,2,6,6
1870,Executive,3,3,-6,2,2,9
1870,Army,6,5,-4,3,10,9
1870,Priests,6,5,-3,4,12,8
1870,Property Owners,5,4,-5,3,7,9
1870,Trades/Professions,4,3,-4,3,6,7
1870,Proletariat,2,2,-5,1,0,7
1870,State Memory,5,4,-4,4,9,8
1870,Shopkeepers/Merchants,4,3,-4,2,5,7
1880,Executive,2,4,-7,2,1,11
1880,Army,7,6,-4,3,12,10
1880,Priests,6,5,-4,4,11,9
1880,Property Owners,5,5,-5,3,8,10
1880,Trades/Professions,4,4,-4,3,7,8
1880,Proletariat,2,2,-6,1,-1,8
1880,State Memory,5,4,-4,4,9,8
1880,Shopkeepers/Merchants,4,4,-5,2,5,9
1890,Executive,2,5,-8,3,2,13
1890,Army,8,7,-3,4,16,10
1890,Priests,5,5,-4,4,10,9
1890,Property Owners,5,6,-6,3,8,12
1890,Trades/Professions,4,4,-5,3,6,9
1890,Proletariat,2,2,-7,1,-2,9
1890,State Memory,4,4,-5,4,7,9
1890,Shopkeepers/Merchants,4,5,-6,2,5,11
1900,Executive,2,6,-9,4,3,15
1900,Army,9,8,-2,5,20,10
1900,Priests,4,4,-5,4,7,9
1900,Property Owners,4,6,-7,3,6,13
1900,Trades/Professions,4,5,-5,3,7,10
1900,Proletariat,2,2,-8,1,-3,10
1900,State Memory,3,4,-6,4,5,10
1900,Shopkeepers/Merchants,4,5,-7,2,4,12
1910,Executive,3,7,-9,5,6,16
1910,Army,10,9,-1,5,23,10
1910,Priests,3,4,-6,4,5,10
1910,Property Owners,4,7,-7,4,8,14
1910,Trades/Professions,4,5,-6,4,7,11
1910,Proletariat,2,3,-8,1,-2,11
1910,State Memory,3,5,-6,5,7,11
1910,Shopkeepers/Merchants,4,6,-7,3,6,13
1920,Executive,3,7,-8,5,7,15
1920,Army,10,9,-1,5,23,10
1920,Priests,3,4,-5,4,6,9
1920,Property Owners,4,7,-6,4,9,13
1920,Trades/Professions,4,5,-5,4,8,10
1920,Proletariat,2,3,-7,1,-1,10
1920,State Memory,3,5,-5,5,8,10
1920,Shopkeepers/Merchants,4,6,-6,3,7,12
1930,Executive,4,8,-7,6,11,15
1930,Army,10,10,-1,6,25,11
1930,Priests,3,4,-4,4,7,8
1930,Property Owners,5,8,-5,5,13,13
1930,Trades/Professions,5,6,-4,4,11,10
1930,Proletariat,3,3,-6,2,2,9
1930,State Memory,4,6,-4,5,11,10
1930,Shopkeepers/Merchants,5,7,-5,4,11,12
1940,Executive,5,8,-6,6,13,14
1940,Army,10,10,-1,6,25,11
1940,Priests,4,5,-3,5,11,8
1940,Property Owners,6,8,-4,5,15,12
1940,Trades/Professions,5,6,-3,5,13,9
1940,Proletariat,4,4,-5,3,6,9
1940,State Memory,5,6,-3,6,14,9
1940,Shopkeepers/Merchants,5,7,-4,4,12,11
1950,Executive,6,8,-5,7,16,13
1950,Army,10,10,-1,6,25,11
1950,Priests,5,6,-2,5,14,8
1950,Property Owners,6,8,-3,6,17,11
1950,Trades/Professions,6,7,-2,5,16,9
1950,Proletariat,5,5,-4,4,11,9
1950,State Memory,6,7,-2,6,17,9
1950,Shopkeepers/Merchants,6,8,-3,5,16,11
1960,Executive,7,7,-4,7,17,11
1960,Army,8,8,-2,6,20,10
1960,Priests,5,6,-1,6,16,7
1960,Property Owners,7,7,-2,6,18,9
1960,Trades/Professions,6,7,-1,6,18,8
1960,Proletariat,6,6,-3,5,14,9
1960,State Memory,7,7,-1,7,20,8
1960,Shopkeepers/Merchants,7,7,-2,6,18,9
1970,Executive,6,8,-5,7,16,13
1970,Army,9,9,-2,7,23,11
1970,Priests,5,6,-2,6,15,8
1970,Property Owners,7,8,-3,6,18,11
1970,Trades/Professions,6,7,-2,6,17,9
1970,Proletariat,5,6,-4,5,12,10
1970,State Memory,6,7,-2,7,18,9
1970,Shopkeepers/Merchants,6,7,-3,6,16,10
1980,Executive,5,7,-6,6,12,13
1980,Army,8,8,-3,6,19,11
1980,Priests,5,6,-3,5,13,9
1980,Property Owners,6,7,-4,5,14,11
1980,Trades/Professions,5,6,-3,5,13,9
1980,Proletariat,4,5,-5,4,8,10
1980,State Memory,5,6,-3,6,14,9
1980,Shopkeepers/Merchants,5,6,-4,5,12,10
1990,Executive,4,6,-7,5,8,13
1990,Army,7,7,-4,5,15,11
1990,Priests,5,6,-4,4,11,10
1990,Property Owners,5,6,-5,4,10,11
1990,Trades/Professions,4,5,-4,4,9,9
1990,Proletariat,3,4,-6,3,4,10
1990,State Memory,4,5,-4,5,10,9
1990,Shopkeepers/Merchants,4,5,-5,4,8,10
1990,Executive,4,6,-7,5,8,13
1990,Army,7,7,-4,5,15,11
1990,Priests,5,6,-4,4,11,10
1990,Property Owners,5,6,-5,4,10,11
1990,Trades/Professions,4,5,-4,4,9,9
1990,Proletariat,3,4,-6,3,4,10
1990,State Memory,4,5,-4,5,10,9
1990,Shopkeepers/Merchants,4,5,-5,4,8,10
2000,Executive,5,7,-6,6,12,13
2000,Army,7,8,-3,6,18,11
2000,Priests,6,7,-3,5,15,10
2000,Property Owners,6,7,-4,5,14,11
2000,Trades/Professions,5,6,-3,5,13,9
2000,Proletariat,4,5,-5,4,8,10
2000,State Memory,5,6,-3,6,14,9
2000,Shopkeepers/Merchants,5,6,-4,5,12,10
2010,Executive,6,7,-5,7,15,12
2010,Army,8,8,-2,7,21,10
2010,Priests,6,7,-2,6,17,9
2010,Property Owners,7,8,-3,6,18,11
2010,Trades/Professions,6,7,-2,6,17,9
