Nation,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Nigeria,1950,Executive,6,7,-3,5,18.5,0
Nigeria,1950,Army,5,6,-2,4,15,0
Nigeria,1950,Priests,7,6,-1,6,17,0
Nigeria,1950,Property Owners,6,5,-2,5,15.5,0
Nigeria,1950,Trades/Professions,5,6,-3,6,17,0
Nigeria,1950,Proletariat,4,4,-4,4,14,0
Nigeria,1950,State Memory,6,7,-2,7,18.5,0
Nigeria,1950,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1951,Executive,6,7,-3,5,18.5,0
Nigeria,1951,Army,5,6,-2,4,15,0
Nigeria,1951,Priests,7,6,-1,6,17,0
Nigeria,1951,Property Owners,6,5,-2,5,15.5,0
Nigeria,1951,Trades/Professions,5,6,-3,6,17,0
Nigeria,1951,Proletariat,4,4,-4,4,14,0
Nigeria,1951,State Memory,6,7,-2,7,18.5,0
Nigeria,1951,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1952,Executive,6,7,-3,5,18.5,0
Nigeria,1952,Army,5,6,-2,4,15,0
Nigeria,1952,Priests,7,6,-1,6,17,0
Nigeria,1952,Property Owners,6,5,-2,5,15.5,0
Nigeria,1952,Trades/Professions,5,6,-3,6,17,0
Nigeria,1952,Proletariat,4,4,-4,4,14,0
Nigeria,1952,State Memory,6,7,-2,7,18.5,0
Nigeria,1952,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1953,Executive,6,7,-3,5,18.5,0
Nigeria,1953,Army,5,6,-2,4,15,0
Nigeria,1953,Priests,7,6,-1,6,17,0
Nigeria,1953,Property Owners,6,5,-2,5,15.5,0
Nigeria,1953,Trades/Professions,5,6,-3,6,17,0
Nigeria,1953,Proletariat,4,4,-4,4,14,0
Nigeria,1953,State Memory,6,7,-2,7,18.5,0
Nigeria,1953,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1954,Executive,6,7,-3,5,18.5,0
Nigeria,1954,Army,5,6,-2,4,15,0
Nigeria,1954,Priests,7,6,-1,6,17,0
Nigeria,1954,Property Owners,6,5,-2,5,15.5,0
Nigeria,1954,Trades/Professions,5,6,-3,6,17,0
Nigeria,1954,Proletariat,4,4,-4,4,14,0
Nigeria,1954,State Memory,6,7,-2,7,18.5,0
Nigeria,1954,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1955,Executive,6,7,-3,5,18.5,0
Nigeria,1955,Army,5,6,-2,4,15,0
Nigeria,1955,Priests,7,6,-1,6,17,0
Nigeria,1955,Property Owners,6,5,-2,5,15.5,0
Nigeria,1955,Trades/Professions,5,6,-3,6,17,0
Nigeria,1955,Proletariat,4,4,-4,4,14,0
Nigeria,1955,State Memory,6,7,-2,7,18.5,0
Nigeria,1955,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1956,Executive,6,7,-3,5,18.5,0
Nigeria,1956,Army,5,6,-2,4,15,0
Nigeria,1956,Priests,7,6,-1,6,17,0
Nigeria,1956,Property Owners,6,5,-2,5,15.5,0
Nigeria,1956,Trades/Professions,5,6,-3,6,17,0
Nigeria,1956,Proletariat,4,4,-4,4,14,0
Nigeria,1956,State Memory,6,7,-2,7,18.5,0
Nigeria,1956,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1957,Executive,6,7,-3,5,18.5,0
Nigeria,1957,Army,5,6,-2,4,15,0
Nigeria,1957,Priests,7,6,-1,6,17,0
Nigeria,1957,Property Owners,6,5,-2,5,15.5,0
Nigeria,1957,Trades/Professions,5,6,-3,6,17,0
Nigeria,1957,Proletariat,4,4,-4,4,14,0
Nigeria,1957,State Memory,6,7,-2,7,18.5,0
Nigeria,1957,Shopkeepers/Merchants,5,6,-3,5,16.5,0
Nigeria,1959,Executive,8,6,-2,7,19.5,
Nigeria,1959,Army,7,5,-3,5,17.5,
Nigeria,1959,Priests,9,7,-4,9,24.5,
Nigeria,1959,Property Owners,8,6,-1,6,18,
Nigeria,1959,Trades/Professions,7,6,-2,5,17.5,
Nigeria,1959,Proletariat,6,5,-1,4,14,
Nigeria,1959,State Memory,8,6,-2,7,19.5,
Nigeria,1959,Shopkeepers/Merchants,7,6,-2,5,17.5,
Nigeria,1960,Executive,7,7,-1,6,18,
Nigeria,1960,Army,6,6,-2,4,16,
Nigeria,1960,Priests,8,7,-3,8,22,
Nigeria,1960,Property Owners,7,7,0,5,16.5,
Nigeria,1960,Trades/Professions,7,6,-1,5,16.5,
