Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node value,Bond strength
Palestine,1945,Army,3,3,9,3,3.5,1.571
Palestine,1945,Executive,5,4,9,5,7.5,2.057
Palestine,1945,Merchants / Shopkeepers,4,5,7,4,7.0,2.171
Palestine,1945,Priesthood / Knowledge Workers,6,5,6,6,11.0,2.571
Palestine,1945,Proletariat,4,3,8,3,4.5,1.743
Palestine,1945,Property Owners,4,6,7,4,7.0,2.200
Palestine,1945,State Memory,5,5,7,6,10.5,2.514
Palestine,1945,Trades / Professions,4,4,7,4,6.5,2.057
Palestine,1946,Army,3,4,9,3,4.5,1.686
Palestine,1946,Executive,5,5,8,6,10.0,2.429
Palestine,1946,Merchants / Shopkeepers,4,5,8,4,7.5,2.186
Palestine,1946,Priesthood / Knowledge Workers,6,5,6,6,10.0,2.486
Palestine,1946,Proletariat,4,4,8,3,5.0,1.829
Palestine,1946,Property Owners,4,6,7,4,7.0,2.200
Palestine,1946,State Memory,5,5,7,6,10.5,2.514
Palestine,1946,Trades / Professions,4,5,7,4,7.0,2.114
Palestine,1947,Army,4,5,8,4,6.5,2.143
Palestine,1947,Executive,6,6,7,7,14.0,2.857
Palestine,1947,Merchants / Shopkeepers,5,6,7,5,10.0,2.571
Palestine,1947,Priesthood / Knowledge Workers,7,6,5,7,14.5,2.971
Palestine,1947,Proletariat,5,5,7,4,7.5,2.286
Palestine,1947,Property Owners,5,7,6,5,11.0,2.714
Palestine,1947,State Memory,6,6,6,7,13.0,2.857
Palestine,1947,Trades / Professions,5,6,6,5,10.0,2.571
Palestine,1948,Army,5,6,7,5,10.5,2.543
Palestine,1948,Executive,7,7,6,7,16.5,3.086
Palestine,1948,Merchants / Shopkeepers,6,7,6,6,12.5,2.800
Palestine,1948,Priesthood / Knowledge Workers,7,7,5,7,15.5,3.143
Palestine,1948,Proletariat,6,6,6,5,11.5,2.686
Palestine,1948,Property Owners,6,7,5,6,13.5,2.971
Palestine,1948,State Memory,7,7,5,7,15.0,3.086
Palestine,1948,Trades / Professions,6,7,6,6,12.5,2.800
Palestine,1949,Army,6,7,6,6,12.0,2.800
Palestine,1949,Executive,7,7,6,7,14.5,3.086
Palestine,1949,Merchants / Shopkeepers,6,6,6,6,11.0,2.743
Palestine,1949,Priesthood / Knowledge Workers,7,7,5,7,14.0,3.029
Palestine,1949,Proletariat,6,6,6,5,11.0,2.686
Palestine,1949,Property Owners,6,7,5,6,13.0,2.914
Palestine,1949,State Memory,7,7,5,7,14.0,3.029
Palestine,1949,Trades / Professions,6,6,6,6,11.0,2.743
Palestine,1950,Army,6,7,6,6,12.0,2.800
Palestine,1950,Executive,7,7,6,7,14.5,3.086
Palestine,1950,Merchants / Shopkeepers,6,6,6,6,11.0,2.743
Palestine,1950,Priesthood / Knowledge Workers,7,7,5,7,14.0,3.029
Palestine,1950,Proletariat,6,6,6,5,11.0,2.686
Palestine,1950,Property Owners,6,7,5,6,13.0,2.914
Palestine,1950,State Memory,7,7,5,7,14.0,3.029
Palestine,1950,Trades / Professions,6,6,6,6,11.0,2.743
Palestine,1951,Army,6,7,6,6,12.0,2.800
Palestine,1951,Executive,7,7,6,7,14.5,3.086
Palestine,1951,Merchants / Shopkeepers,6,6,6,6,11.0,2.743
Palestine,1951,Priesthood / Knowledge Workers,7,7,5,7,14.0,3.029
Palestine,1951,Proletariat,6,6,6,5,11.0,2.686
Palestine,1951,Property Owners,6,7,5,6,13.0,2.914
Palestine,1951,State Memory,7,7,5,7,14.0,3.029
Palestine,1951,Trades / Professions,6,6,6,6,11.0,2.743
Palestine,1952,Army,6,7,6,6,12.0,2.800
Palestine,1952,Executive,7,7,6,7,14.5,3.086
Palestine,1952,Merchants / Shopkeepers,6,6,6,6,11.0,2.743
Palestine,1952,Priesthood / Knowledge Workers,7,7,5,7,14.0,3.029
Palestine,1952,Proletariat,6,6,6,5,11.0,2.686
Palestine,1952,Property Owners,6,7,5,6,13.0,2.914
Palestine,1952,State Memory,7,7,5,7,14.0,3.029
Palestine,1952,Trades / Professions,6,6,6,6,11.0,2.743
Palestine,1953,Army,6,7,6,6,12.0,2.800
Palestine,1953,Executive,7,7,6,7,14.5,3.086
Palestine,1953,Merchants / Shopkeepers,6,6,6,6,11.0,2.743
Palestine,1953,Priesthood / Knowledge Workers,7,7,5,7,14.0,3.029
Palestine,1953,Proletariat,6,6,6,5,11.0,2.686
Palestine,1953,Property Owners,6,7,5,6,13.0,2.914
Palestine,1953,State Memory,7,7,5,7,14.0,3.029
Palestine,1953,Trades / Professions,6,6,6,6,11.0,2.743
Palestine,1954,Army,6,7,6,6,12.0,2.800
Palestine,1954,Executive,7,7,6,7,14.5,3.086
Palestine,1954,Merchants / Shopkeepers,6,6,6,6,11.0,2.743
Palestine,1954,Priesthood / Knowledge Workers,7,7,5,7,14.0,3.029
Palestine,1954,Proletariat,6,6,6,5,11.0,2.686
Palestine,1954,Property Owners,6,7,5,6,13.0,2.914
Palestine,1954,State Memory,7,7,5,7,14.0,3.029
Palestine,1954,Trades / Professions,6,6,6,6,11.0,2.743
Palestine,1955,Army,6,7,6,6,12.0,2.800
Palestine,1955,Executive,7,7,6,7,14.5,3.086
Palestine,1955,Merchants / Shopkeepers,6,6,6,6,11.0,2.743
Palestine,1955,Priesthood / Knowledge Workers,7,7,5,7,14.0,3.029
Palestine,1955,Proletariat,6,6,6,5,11.0,2.686
