Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Russia,1901,Archive,7,7,4,7,11.5,4.089
Russia,1901,Army,8,8,5,6,13.0,4.501
Russia,1901,Craft,6,8,5,6,10.5,4.012
Russia,1901,Executive,7,8,6,7,11.5,4.278
Russia,1901,Flow,7,7,5,7,11.0,4.234
Russia,1901,Hands,6,6,5,5,9.5,3.856
Russia,1901,Helm,7,8,6,7,11.5,4.278
Russia,1901,Lore,6,7,5,7,10.5,3.998
Russia,1901,Shield,8,8,5,6,13.0,4.501
Russia,1901,Stewards,7,7,5,6,11.0,4.178
Russia,1902,Archive,7,7,5,7,11.0,3.912
Russia,1902,Army,8,8,5,6,13.0,4.478
Russia,1902,Craft,7,8,5,7,11.5,4.156
Russia,1902,Executive,7,8,6,7,11.5,4.255
Russia,1902,Flow,7,8,5,7,11.5,4.289
Russia,1902,Hands,6,6,5,5,9.5,3.834
Russia,1902,Helm,7,8,6,7,11.5,4.255
Russia,1902,Lore,6,7,5,7,10.5,3.976
Russia,1902,Shield,8,8,5,6,13.0,4.478
Russia,1902,Stewards,7,7,5,6,11.0,4.156
Russia,1903,Archive,6,7,6,7,10.0,3.678
Russia,1903,Army,7,8,6,6,11.0,4.123
Russia,1903,Craft,7,8,6,7,11.0,4.012
Russia,1903,Executive,6,7,7,6,9.0,3.789
Russia,1903,Flow,7,8,6,7,11.0,4.078
Russia,1903,Hands,5,6,6,5,8.5,3.567
Russia,1903,Helm,6,7,7,6,9.0,3.789
Russia,1903,Lore,6,7,6,7,10.0,3.789
Russia,1903,Shield,7,8,6,6,11.0,4.123
Russia,1903,Stewards,6,7,6,6,10.0,3.912
Russia,1904,Archive,5,6,8,6,7.0,3.112
Russia,1904,Army,6,7,9,5,7.5,3.456
Russia,1904,Craft,6,7,7,6,9.0,3.678
Russia,1904,Executive,5,6,9,5,6.5,3.289
Russia,1904,Flow,6,7,7,6,9.0,3.789
Russia,1904,Hands,5,5,8,4,6.0,3.234
Russia,1904,Helm,5,6,9,5,6.5,3.289
Russia,1904,Lore,5,6,8,6,7.0,3.412
Russia,1904,Shield,6,7,9,5,7.5,3.456
Russia,1904,Stewards,5,6,8,5,7.0,3.489
Russia,1905,Archive,3,5,10,5,3.5,2.678
Russia,1905,Army,4,5,10,4,4.0,2.789
Russia,1905,Craft,4,6,9,5,5.0,2.912
Russia,1905,Executive,2,4,10,4,1.0,2.456
Russia,1905,Flow,4,6,9,5,5.0,2.989
Russia,1905,Hands,3,4,10,3,2.5,2.567
Russia,1905,Helm,2,4,10,4,1.0,2.456
Russia,1905,Lore,4,5,9,6,5.0,2.834
Russia,1905,Shield,4,5,10,4,4.0,2.789
Russia,1905,Stewards,4,5,9,5,5.0,2.912
Russia,1906,Archive,4,5,9,5,5.0,2.889
Russia,1906,Army,5,6,8,5,7.0,3.234
Russia,1906,Craft,5,6,8,6,7.0,3.356
Russia,1906,Executive,4,5,9,5,5.0,3.012
Russia,1906,Flow,5,6,8,6,7.0,3.412
Russia,1906,Hands,4,5,9,4,5.0,3.012
