Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1800,Army,4,4,3,4,7.0,1.968
USA,1800,Executive,7,6,7,8,10.0,2.152
USA,1800,Merchants / Shopkeepers,7,8,6,6,12.0,2.305
USA,1800,Priesthood / Knowledge Workers,6,6,3,8,13.0,2.548
USA,1800,Proletariat,3,5,8,2,1.0,1.385
USA,1800,Property Owners,6,9,3,6,15.0,2.476
USA,1800,State Memory,8,6,4,9,14.5,2.565
USA,1800,Trades / Professions,6,6,4,5,10.5,2.441
USA,1801,Army,4,4,5,4,5.0,1.841
USA,1801,Executive,8,6,4,8,14.0,2.502
USA,1801,Merchants,7,8,5,6,13.0,2.455
USA,1801,Priesthood,6,6,3,8,13.0,2.515
USA,1801,Proletariat,3,5,8,2,1.0,1.340
USA,1801,Prop. Owners,6,9,3,6,15.0,2.433
USA,1801,State Memory,7,6,6,9,11.5,2.395
USA,1801,Trades,6,6,4,5,10.5,2.396
USA,1802,Army,4,4,5,6,6.0,1.944
USA,1802,Executive,8,7,4,8,15.0,2.548
USA,1802,Merchants,7,8,4,7,14.5,2.610
USA,1802,Priesthood,6,6,3,8,13.0,2.549
USA,1802,Proletariat,3,5,8,2,1.0,1.354
USA,1802,Prop. Owners,6,9,3,6,15.0,2.470
USA,1802,State Memory,8,6,5,9,13.5,2.536
USA,1802,Trades,6,6,4,5,10.5,2.437
USA,1803,Army,5,5,5,6,8.0,2.055
USA,1803,Executive,9,9,5,8,17.0,2.628
USA,1803,Merchants,7,8,5,7,13.5,2.502
USA,1803,Priesthood,6,6,3,8,13.0,2.571
USA,1803,Proletariat,3,5,8,2,1.0,1.365
USA,1803,Prop. Owners,7,10,3,7,17.5,2.584
USA,1803,State Memory,8,7,4,10,16.0,2.677
USA,1803,Trades,6,6,4,5,10.5,2.450
USA,1804,Army,5,5,5,7,8.5,2.105
USA,1804,Executive,8,9,6,8,15.0,2.541
USA,1804,Merchants,7,8,5,7,13.5,2.502
USA,1804,Priesthood,6,6,3,8,13.0,2.564
USA,1804,Proletariat,3,5,9,2,0.0,1.311
USA,1804,Prop. Owners,7,10,3,7,17.5,2.571
USA,1804,State Memory,9,7,3,10,18.0,2.766
USA,1804,Trades,6,6,4,5,10.5,2.441
USA,1805,Army,6,6,4,7,11.5,2.298
USA,1805,Executive,10,9,4,8,19.0,2.825
USA,1805,Merchants,8,8,4,7,15.5,2.765
USA,1805,Priesthood,6,6,3,8,13.0,2.650
USA,1805,Proletariat,3,5,9,2,0.0,1.352
USA,1805,Prop. Owners,7,10,3,7,17.5,2.680
USA,1805,State Memory,9,7,3,10,18.0,2.846
USA,1805,Trades,7,7,3,6,14.0,2.657
USA,1806,Army,5,5,4,5,8.5,2.052
USA,1806,Executive,9,9,5,8,17.0,2.583
USA,1806,Merchants,8,8,4,7,15.5,2.651
USA,1806,Priesthood,6,6,3,8,13.0,2.595
USA,1806,Proletariat,3,5,9,2,0.0,1.332
USA,1806,Prop. Owners,7,10,3,7,17.5,2.624
USA,1806,State Memory,8,7,4,10,16.0,2.682
USA,1806,Trades,7,7,3,6,14.0,2.607
USA,1807,Army,7,5,5,5,9.5,1.838
USA,1807,Executive,8,8,7,8,13.0,2.222
USA,1807,Merchants,7,3,8,6,5.0,1.558
USA,1807,Priesthood,6,6,4,8,12.0,2.277
USA,1807,Proletariat,3,5,8,2,1.0,1.250
USA,1807,Prop. Owners,6,9,4,6,14.0,2.215
USA,1807,State Memory,8,7,5,10,15.0,2.378
USA,1807,Trades,6,5,6,5,7.5,1.954
USA,1808,Army,6,6,4,5,10.5,1.966
USA,1808,Executive,7,7,7,8,11.0,2.155
USA,1808,Merchants,5,3,8,6,3.0,1.554
USA,1808,Priesthood,6,6,4,8,12.0,2.257
USA,1808,Proletariat,3,5,8,2,1.0,1.252
USA,1808,Prop. Owners,6,8,6,6,11.0,2.062
USA,1808,State Memory,8,7,5,10,15.0,2.366
USA,1808,Trades,6,5,6,5,7.5,1.938
USA,1809,Army,6,6,4,5,10.5,2.164
USA,1809,Executive,8,6,5,8,13.0,2.502
USA,1809,Merchants,6,5,6,6,8.0,2.046
USA,1809,Priesthood,6,6,4,8,12.0,2.441
USA,1809,Proletariat,3,5,8,2,1.0,1.298
USA,1809,Prop. Owners,7,9,4,7,15.5,2.455
USA,1809,State Memory,8,7,5,10,15.0,2.584
USA,1809,Trades,6,6,5,6,10.0,2.215
USA,1810,Army,6,7,4,5,11.5,2.247
USA,1810,Executive,8,6,5,9,13.5,2.595
USA,1810,Merchants,7,6,5,7,11.5,2.245
USA,1810,Priesthood,6,6,4,8,12.0,2.492
USA,1810,Proletariat,3,5,8,2,1.0,1.309
USA,1810,Prop. Owners,7,9,4,7,15.5,2.515
USA,1810,State Memory,8,7,5,10,15.0,2.651
USA,1810,Trades,7,6,5,6,11.0,2.302
USA,1811,Army,8,7,4,6,14.0,2.148
USA,1811,Executive,8,6,6,9,12.5,2.378
USA,1811,Merchants,7,5,6,7,9.5,2.085
USA,1811,Priesthood,6,6,4,8,12.0,2.305
USA,1811,Proletariat,3,5,9,2,0.0,1.152
USA,1811,Prop. Owners,7,8,5,7,13.5,2.224
USA,1811,State Memory,8,7,5,10,15.0,2.455
USA,1811,Trades,7,6,5,6,11.0,2.138
USA,1812,Army,8,5,8,6,8.0,1.834
USA,1812,Executive,8,5,8,9,9.5,1.996
USA,1812,Merchants,7,5,8,7,7.5,1.838
USA,1812,Priesthood,6,6,5,8,11.0,2.015
USA,1812,Proletariat,3,5,8,2,1.0,1.178
USA,1812,Prop. Owners,7,8,6,7,12.5,1.954
USA,1812,State Memory,8,7,5,10,15.0,2.164
USA,1812,Trades,7,6,6,6,10.0,1.944
USA,1813,Army,6,6,8,6,7.0,1.802
USA,1813,Executive,6,5,8,9,7.5,1.916
USA,1813,Merchants,6,4,8,7,5.5,1.785
USA,1813,Priesthood,6,6,5,8,11.0,1.976
USA,1813,Proletariat,3,5,8,2,1.0,1.162
USA,1813,Prop. Owners,7,8,6,7,12.5,1.916
USA,1813,State Memory,8,7,6,10,14.0,2.062
USA,1813,Trades,7,6,6,6,10.0,1.906
USA,1814,Army,7,8,8,6,10.0,1.638
USA,1814,Executive,3,5,9,7,2.5,1.408
USA,1814,Merchants,6,3,9,7,3.5,1.441
USA,1814,Priesthood,6,6,5,8,11.0,1.714
USA,1814,Proletariat,3,5,8,2,1.0,1.054
USA,1814,Prop. Owners,6,8,7,7,10.5,1.624
USA,1814,State Memory,8,5,10,10,8.0,1.650
USA,1814,Trades,6,5,7,6,7.0,1.578
USA,1815,Army,10,8,4,7,17.5,2.502
USA,1815,Executive,9,7,4,8,16.0,2.595
USA,1815,Merchants,8,9,4,7,16.5,2.584
USA,1815,Priesthood,6,6,3,8,13.0,2.481
USA,1815,Proletariat,3,5,8,2,1.0,1.340
USA,1815,Prop. Owners,7,9,3,7,16.5,2.515
