Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
USA,1970,Helm,6,7,7,7,12.5,2.345
USA,1970,Shield,8,9,6,8,19.0,2.678
USA,1970,Lore,7,7,6,8,15.0,2.567
USA,1970,Stewards,7,7,5,7,13.5,2.456
USA,1970,Craft,7,8,4,8,17.0,2.589
USA,1970,Hands,6,7,5,6,11.0,2.234
USA,1970,Archive,8,8,4,8,18.0,2.678
USA,1970,Flow,7,8,5,7,14.5,2.512

USA,1971,Helm,6,7,7,7,12.5,2.312
USA,1971,Shield,8,9,6,8,19.0,2.645
USA,1971,Lore,7,7,6,8,15.0,2.534
USA,1971,Stewards,6,6,6,7,11.5,2.312
USA,1971,Craft,7,8,5,8,16.5,2.534
USA,1971,Hands,6,7,6,6,10.0,2.189
USA,1971,Archive,8,8,4,8,18.0,2.645
USA,1971,Flow,6,7,6,7,11.5,2.456
USA,1972,Helm,7,8,6,7,15.5,2.456
USA,1972,Shield,8,9,5,8,20.0,2.712
USA,1972,Lore,7,8,5,8,16.0,2.612
USA,1972,Stewards,7,7,5,7,13.5,2.456
USA,1972,Craft,7,8,4,8,17.0,2.612
USA,1972,Hands,6,7,5,6,11.0,2.312
USA,1972,Archive,8,8,4,8,18.0,2.712
USA,1972,Flow,7,8,5,7,14.5,2.534
USA,1973,Helm,5,6,8,7,9.5,2.189
USA,1973,Shield,8,9,6,8,19.0,2.534
USA,1973,Lore,7,7,7,8,14.0,2.456
USA,1973,Stewards,5,5,8,7,6.5,2.123
USA,1973,Craft,7,8,6,8,15.0,2.456
USA,1973,Hands,5,6,7,6,7.0,2.089
USA,1973,Archive,8,8,5,8,17.0,2.534
USA,1973,Flow,5,6,8,7,7.5,2.234
USA,1974,Helm,3,4,10,6,1.0,1.789
USA,1974,Shield,8,9,7,8,18.0,2.312
USA,1974,Lore,6,6,8,8,10.0,2.189
USA,1974,Stewards,4,4,9,7,3.5,1.945
USA,1974,Craft,7,7,7,8,13.5,2.312
USA,1974,Hands,5,5,8,6,5.0,1.945
USA,1974,Archive,7,7,6,8,14.0,2.312
USA,1974,Flow,4,5,9,7,4.5,2.012

USA,1975,Helm,5,6,7,6,8.0,2.089
USA,1975,Shield,7,7,6,7,13.5,2.312
USA,1975,Lore,6,6,7,7,10.5,2.123
USA,1975,Stewards,5,5,8,6,5.0,1.945
USA,1975,Craft,6,7,7,7,11.5,2.089
USA,1975,Hands,5,6,8,5,5.0,1.789
USA,1975,Archive,7,7,6,7,13.5,2.312
USA,1975,Flow,5,6,8,6,6.0,1.945
USA,1976,Helm,6,6,6,6,10.0,2.189
USA,1976,Shield,7,8,5,7,15.5,2.456
USA,1976,Lore,7,7,6,7,13.5,2.312
USA,1976,Stewards,6,6,7,6,8.0,2.089
USA,1976,Craft,7,7,6,7,13.5,2.312
USA,1976,Hands,6,6,7,5,7.5,1.945
USA,1976,Archive,8,8,5,7,16.5,2.456
USA,1976,Flow,6,7,7,6,9.0,2.123
USA,1977,Helm,6,7,7,7,11.5,2.234
USA,1977,Shield,7,8,6,7,14.5,2.389
USA,1977,Lore,7,7,6,8,14.0,2.456
USA,1977,Stewards,6,6,7,7,9.5,2.234
USA,1977,Craft,7,8,6,8,15.0,2.456
USA,1977,Hands,6,7,7,6,9.0,2.089
USA,1977,Archive,8,8,5,8,17.0,2.567
USA,1977,Flow,6,7,7,7,10.5,2.312
USA,1978,Helm,5,6,8,7,8.0,2.012
USA,1978,Shield,7,8,6,7,14.5,2.312
USA,1978,Lore,6,7,7,8,12.0,2.234
USA,1978,Stewards,5,6,8,7,7.0,2.012
USA,1978,Craft,7,8,7,8,14.0,2.312
USA,1978,Hands,5,6,8,6,6.0,1.945
USA,1978,Archive,7,8,6,8,15.0,2.389
USA,1978,Flow,5,6,8,7,7.0,2.089
USA,1979,Helm,4,5,9,7,5.5,1.789
USA,1979,Shield,7,8,7,7,13.5,2.189
USA,1979,Lore,6,6,8,8,10.0,2.012
USA,1979,Stewards,4,5,9,7,4.5,1.789
USA,1979,Craft,7,7,8,8,12.0,2.123
USA,1979,Hands,5,5,9,6,4.0,1.789
USA,1979,Archive,7,7,7,8,13.0,2.189
USA,1979,Flow,4,5,9,7,4.5,1.845
USA,1980,Helm,3,4,10,6,1.0,1.567
USA,1980,Shield,7,8,7,7,13.5,2.089
USA,1980,Lore,6,6,8,8,10.0,1.945
USA,1980,Stewards,4,4,9,7,3.5,1.678
USA,1980,Craft,6,7,8,8,11.0,2.012
USA,1980,Hands,4,5,9,6,3.0,1.678
USA,1980,Archive,7,7,7,8,13.0,2.089
USA,1980,Flow,4,5,9,7,4.5,1.789
USA,1981,Helm,6,7,8,7,11.5,2.234
USA,1981,Shield,8,9,6,8,18.0,2.567
USA,1981,Lore,7,7,7,8,14.0,2.456
USA,1981,Stewards,5,6,9,7,7.5,2.089
USA,1981,Craft,7,8,8,8,14.0,2.389
USA,1981,Hands,5,6,9,7,7.0,2.012
USA,1981,Archive,8,8,6,8,17.0,2.567
USA,1981,Flow,5,6,9,7,7.5,2.189
USA,1982,Helm,6,7,7,7,12.5,2.312
USA,1982,Shield,8,9,5,8,19.5,2.678
USA,1982,Lore,7,8,6,8,16.0,2.567
USA,1982,Stewards,6,7,8,7,10.5,2.312
USA,1982,Craft,7,8,7,8,15.0,2.456
USA,1982,Hands,5,6,9,7,6.5,2.089
USA,1982,Archive,8,8,5,8,18.0,2.678
USA,1982,Flow,6,7,8,7,10.5,2.389

USA,1983,Helm,7,8,6,8,17.0,2.678
USA,1983,Shield,8,9,7,8,18.0,2.678
USA,1983,Lore,7,8,5,8,16.0,2.612
USA,1983,Stewards,7,8,6,8,15.0,2.567
USA,1983,Craft,8,9,5,9,19.5,2.789
USA,1983,Hands,6,7,7,7,10.5,2.312
USA,1983,Archive,8,9,4,8,19.0,2.789
USA,1983,Flow,7,8,6,8,14.0,2.567
USA,1984,Helm,8,9,5,8,19.0,2.789
USA,1984,Shield,8,9,6,8,19.0,2.789
USA,1984,Lore,8,8,5,8,17.0,2.678
USA,1984,Stewards,8,9,5,8,17.0,2.678
USA,1984,Craft,8,9,4,9,20.5,2.856
USA,1984,Hands,7,8,6,7,13.5,2.456
USA,1984,Archive,8,9,4,8,19.0,2.789
USA,1984,Flow,8,9,5,8,16.0,2.678
USA,1985,Helm,7,8,6,8,16.0,2.567
USA,1985,Shield,8,9,6,8,19.0,2.678
USA,1985,Lore,7,8,6,8,15.0,2.456
USA,1985,Stewards,7,8,7,8,13.0,2.456
USA,1985,Craft,8,9,6,9,18.5,2.678
USA,1985,Hands,6,7,7,7,10.5,2.234
USA,1985,Archive,8,9,5,8,18.0,2.678
USA,1985,Flow,7,8,7,8,12.0,2.456

USA,1986,Helm,6,7,8,7,10.5,2.234
USA,1986,Shield,8,9,6,8,18.0,2.567
USA,1986,Lore,7,8,6,8,15.0,2.456
USA,1986,Stewards,7,8,7,8,13.0,2.456
USA,1986,Craft,8,9,5,9,19.5,2.789
USA,1986,Hands,6,7,7,7,10.5,2.312
USA,1986,Archive,8,9,5,8,18.0,2.678
USA,1986,Flow,7,8,7,8,12.0,2.456
USA,1987,Helm,5,6,9,7,7.5,2.012
USA,1987,Shield,8,9,7,8,17.0,2.456
USA,1987,Lore,7,7,7,8,13.0,2.312
USA,1987,Stewards,6,7,9,8,9.0,2.189
USA,1987,Craft,8,9,7,9,17.5,2.567
USA,1987,Hands,6,7,8,7,9.0,2.189
USA,1987,Archive,8,8,6,8,16.0,2.567
USA,1987,Flow,6,7,9,8,8.0,2.234
USA,1988,Helm,7,8,6,8,16.0,2.567
USA,1988,Shield,8,9,6,8,18.0,2.678
USA,1988,Lore,7,8,6,8,15.0,2.456
USA,1988,Stewards,7,8,6,8,14.0,2.456
USA,1988,Craft,8,9,5,9,19.5,2.789
USA,1988,Hands,7,8,6,8,14.0,2.567
USA,1988,Archive,8,9,5,8,18.0,2.678
USA,1988,Flow,7,8,6,8,13.0,2.456
USA,1989,Helm,7,8,5,8,17.0,2.678
USA,1989,Shield,8,9,5,8,19.5,2.789
USA,1989,Lore,8,8,5,9,17.0,2.678
USA,1989,Stewards,7,8,5,8,15.0,2.567
USA,1989,Craft,8,9,4,9,20.5,2.856
USA,1989,Hands,7,8,5,8,15.0,2.678
USA,1989,Archive,8,9,4,9,19.5,2.856
USA,1989,Flow,7,8,5,8,15.0,2.567

USA,1990,Helm,7,8,6,8,16.0,2.567
USA,1990,Shield,9,9,5,9,21.5,2.856
USA,1990,Lore,8,8,5,9,17.0,2.678
USA,1990,Stewards,7,8,6,8,14.0,2.456
USA,1990,Craft,8,9,4,9,20.5,2.856
USA,1990,Hands,7,8,6,8,14.0,2.567
USA,1990,Archive,8,9,4,9,19.5,2.856
USA,1990,Flow,7,8,6,8,13.0,2.456
USA,1991,Helm,8,9,5,8,19.0,2.789
USA,1991,Shield,9,10,4,9,23.0,2.945
USA,1991,Lore,8,9,4,9,19.5,2.856
USA,1991,Stewards,8,9,5,8,17.0,2.678
USA,1991,Craft,8,9,4,9,20.5,2.856
USA,1991,Hands,7,8,5,8,15.0,2.678
USA,1991,Archive,8,9,4,9,19.5,2.856
USA,1991,Flow,8,9,5,8,16.0,2.678
USA,1992,Helm,6,7,7,7,11.5,2.312
USA,1992,Shield,8,9,5,9,20.0,2.789
USA,1992,Lore,8,8,6,9,16.0,2.567
USA,1992,Stewards,7,8,7,8,12.0,2.456
USA,1992,Craft,8,9,5,9,19.5,2.789
USA,1992,Hands,6,7,8,8,9.0,2.234
USA,1992,Archive,8,9,5,9,18.5,2.789
USA,1992,Flow,7,8,7,8,11.0,2.456
USA,1993,Helm,7,8,7,8,14.0,2.456
USA,1993,Shield,8,9,6,9,18.0,2.678
USA,1993,Lore,8,8,6,9,16.0,2.567
USA,1993,Stewards,7,8,6,8,14.0,2.456
USA,1993,Craft,8,9,5,9,19.5,2.789
USA,1993,Hands,7,8,7,8,12.0,2.456
USA,1993,Archive,8,9,5,9,18.5,2.789
