Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Marker002,1900,Archive,5.667,5.148,7.168,7.267,7.280,1.257
Marker002,1900,Craft,2.640,3.518,9.185,3.767,-1.145,0.903
Marker002,1900,Flow,2.889,4.444,8.955,5.964,1.360,1.030
Marker002,1900,Hands,2.188,3.500,9.591,3.060,-2.373,0.828
Marker002,1900,Helm,1.748,1.738,9.998,5.159,-3.933,0.717
Marker002,1900,Lore,3.701,3.795,9.383,4.710,0.469,0.988
Marker002,1900,Shield,2.330,2.388,10.000,3.913,-3.325,0.763
Marker002,1900,Stewards,2.661,4.158,9.057,4.993,0.257,0.977
Marker002,1902,Archive,6.986,5.866,4.842,6.878,11.449,1.956
Marker002,1902,Craft,5.087,5.072,6.192,3.951,5.942,1.701
Marker002,1902,Flow,3.697,5.024,7.317,6.276,4.542,1.625
Marker002,1902,Hands,3.232,4.882,7.740,3.762,2.255,1.489
Marker002,1902,Helm,3.788,4.293,7.523,5.461,3.289,1.553
Marker002,1902,Lore,6.206,4.791,5.676,6.207,8.424,1.823
Marker002,1902,Shield,3.224,2.997,6.889,4.516,1.591,1.446
Marker002,1902,Stewards,5.002,4.980,6.206,6.035,6.794,1.744
Marker002,1903,Archive,6.832,5.758,4.600,6.980,11.480,2.074
Marker002,1903,Craft,4.771,5.027,5.037,5.438,7.479,1.882
Marker002,1903,Flow,4.236,6.228,5.703,6.108,7.816,1.900
Marker002,1903,Hands,3.021,4.940,7.177,3.206,2.387,1.583
Marker002,1903,Helm,4.713,3.742,5.628,4.924,5.289,1.763
Marker002,1903,Lore,6.651,5.212,6.179,5.759,8.564,1.937
Marker002,1903,Shield,3.960,3.898,5.468,5.740,5.260,1.761
Marker002,1903,Stewards,4.832,5.125,6.282,5.868,6.609,1.836
Marker002,1903,Archive,6.929,6.324,3.680,8.099,13.623,2.307
Marker002,1903,Craft,5.485,4.837,4.992,6.179,8.420,2.054
Marker002,1903,Flow,5.199,5.951,6.229,7.160,8.500,2.058
Marker002,1903,Hands,2.941,4.783,7.132,3.114,2.149,1.664
Marker002,1903,Helm,4.879,5.195,4.851,6.432,8.439,2.055
Marker002,1903,Lore,6.326,4.827,4.346,7.031,10.322,2.152
Marker002,1903,Shield,4.908,4.709,5.325,5.868,7.227,1.988
Marker002,1903,Stewards,5.967,6.259,5.185,5.969,10.025,2.137
Marker002,1906,Archive,7.377,6.116,4.341,7.746,13.026,2.282
Marker002,1906,Craft,5.736,6.210,4.699,6.481,10.487,2.162
Marker002,1906,Flow,5.013,6.240,5.873,6.908,8.833,2.077
Marker002,1906,Hands,3.951,4.895,6.710,3.044,3.658,1.770
Marker002,1906,Helm,4.925,4.843,6.205,6.802,6.964,1.975
Marker002,1906,Lore,4.031,4.085,7.920,7.763,4.077,1.798
Marker002,1906,Shield,6.124,6.579,4.207,6.904,11.949,2.232
Marker002,1906,Stewards,5.761,6.037,5.438,7.231,9.976,2.136
Marker002,1906,Archive,6.898,5.750,4.688,8.160,12.039,2.240
Marker002,1906,Craft,5.816,6.097,4.689,7.005,10.726,2.177
Marker002,1906,Flow,4.892,5.971,6.034,7.434,8.546,2.065
Marker002,1906,Hands,4.330,5.232,6.900,3.281,4.301,1.816
Marker002,1906,Helm,5.048,4.496,6.031,6.154,6.591,1.956
Marker002,1906,Lore,4.139,4.048,7.231,8.118,5.016,1.861
Marker002,1906,Shield,6.010,6.155,3.903,7.358,11.941,2.236
Marker002,1906,Stewards,5.778,7.121,6.378,6.742,9.892,2.135
Marker002,1907,Archive,6.796,6.412,3.854,8.203,13.456,2.300
Marker002,1907,Craft,5.653,5.564,5.431,7.238,9.405,2.106
Marker002,1907,Flow,5.108,5.970,5.999,6.799,8.478,2.057
Marker002,1907,Hands,3.894,5.050,6.581,2.547,3.637,1.768
Marker002,1907,Helm,4.718,4.906,6.028,7.050,7.121,1.983
Marker002,1907,Lore,3.766,3.463,6.970,7.901,4.209,1.806
Marker002,1907,Shield,6.108,7.011,3.856,6.860,12.694,2.266
Marker002,1907,Stewards,5.953,7.150,6.509,6.645,9.917,2.132
Marker002,1908,Archive,6.805,6.361,4.019,7.970,13.131,2.205
Marker002,1908,Craft,5.886,5.912,5.305,6.958,9.972,2.060
Marker002,1908,Flow,5.674,6.172,7.290,6.376,7.744,1.948
Marker002,1908,Hands,4.295,4.809,7.654,2.690,2.795,1.653
Marker002,1908,Helm,3.364,3.917,7.943,6.407,2.542,1.635
Marker002,1908,Lore,3.760,4.408,7.459,6.943,4.181,1.743
Marker002,1908,Shield,5.218,6.864,5.117,7.198,10.564,2.089
Marker002,1908,Stewards,6.417,6.992,6.569,7.653,10.666,2.093
Marker002,1909,Archive,7.290,5.585,3.275,7.773,13.487,2.158
Marker002,1909,Craft,6.778,5.839,6.161,7.508,10.210,2.015
Marker002,1909,Flow,5.055,6.178,6.887,7.156,7.924,1.904
Marker002,1909,Hands,3.155,5.469,7.795,4.123,2.890,1.615
Marker002,1909,Helm,2.782,3.846,7.943,5.939,1.653,1.531
Marker002,1909,Lore,3.960,4.401,7.451,7.181,4.500,1.716
Marker002,1909,Shield,5.002,6.648,6.372,7.124,8.840,1.950
Marker002,1909,Stewards,4.743,5.803,7.924,7.166,6.205,1.813
Marker002,1910,Archive,6.885,6.166,5.125,7.819,11.836,2.010
Marker002,1910,Craft,5.039,6.273,7.131,6.969,7.666,1.821
Marker002,1910,Flow,5.335,5.933,7.554,6.810,7.119,1.794
Marker002,1910,Hands,3.415,5.093,8.664,3.771,1.730,1.482
Marker002,1910,Helm,3.234,4.559,8.289,7.037,3.023,1.565
Marker002,1910,Lore,4.440,4.563,8.175,6.868,4.262,1.640
Marker002,1910,Shield,4.052,6.279,6.960,6.851,6.796,1.777
Marker002,1910,Stewards,4.973,5.822,9.213,7.262,5.214,1.693
Marker002,1911,Archive,6.236,5.426,7.976,7.522,7.447,1.444
Marker002,1911,Craft,4.468,4.880,8.879,6.779,3.859,1.295
Marker002,1911,Flow,3.177,3.961,9.883,7.320,0.915,1.147
Marker002,1911,Hands,1.963,4.987,10.000,4.011,-1.044,1.030
Marker002,1911,Helm,2.145,2.891,10.000,5.717,-2.106,0.957
Marker002,1911,Lore,3.763,3.574,9.239,7.416,1.807,1.195
Marker002,1911,Shield,3.111,4.156,10.000,5.635,0.084,1.100
Marker002,1911,Stewards,2.962,5.074,10.000,7.233,1.652,1.187
Marker002,1912,Archive,5.225,4.056,6.382,7.055,6.427,1.586
Marker002,1912,Craft,4.992,4.874,8.606,6.703,4.612,1.499
Marker002,1912,Flow,4.343,5.164,8.800,6.692,4.053,1.470
