Year,Node,C,K,S,A,Vi,B_Archive_Craft,B_Archive_Flow,B_Archive_Hands,B_Archive_Helm,B_Archive_Lore,B_Archive_Shield,B_Archive_Stewards,B_Craft_Flow,B_Craft_Hands,B_Craft_Helm,B_Craft_Lore,B_Craft_Shield,B_Craft_Stewards,B_Flow_Hands,B_Flow_Helm,B_Flow_Lore,B_Flow_Shield,B_Flow_Stewards,B_Hands_Helm,B_Hands_Lore,B_Hands_Shield,B_Hands_Stewards,B_Helm_Lore,B_Helm_Shield,B_Helm_Stewards,B_Lore_Shield,B_Lore_Stewards,B_Shield_Stewards
1931,Archive,7.7033,7.7454,2.8776,6.8632,16.0027,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Craft,5.8764,5.8417,5.7828,6.2021,9.0363,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Flow,8.2172,8.0410,8.1329,6.8660,11.5583,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Hands,3.2319,5.7727,9.0606,3.7243,1.8061,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Helm,7.8633,6.7744,4.6757,6.8879,13.4059,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Lore,3.8248,4.5296,3.8205,5.2036,7.1357,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Shield,6.9897,5.9707,3.9741,5.2568,11.6147,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Stewards,6.3635,6.0494,7.5490,7.3255,8.5266,0.6319,0.6771,0.4794,0.7083,0.5956,0.6781,0.6224,0.5704,0.4039,0.5968,0.5018,0.5713,0.5244,0.4328,0.6394,0.5377,0.6121,0.5618,0.4528,0.3807,0.4334,0.3978,0.5625,0.6403,0.5878,0.5384,0.4942,0.5626
1931,Archive,7.3144,6.2757,2.9858,6.0645,13.6366,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1931,Craft,4.4900,3.7708,6.7072,4.6480,3.8776,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1931,Flow,5.7097,3.0059,8.8405,6.2051,2.9777,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1931,Hands,2.8852,3.0716,9.2445,3.0198,-1.7778,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1931,Helm,6.8439,6.4453,4.7483,5.7657,11.4239,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1931,Lore,6.0146,5.0198,4.8224,4.9670,8.6955,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1931,Shield,4.8578,2.5587,5.2943,3.4725,3.8585,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1931,Stewards,3.8094,2.3276,8.7259,4.8525,-0.1626,0.5010,0.4816,0.3626,0.6406,0.5939,0.5006,0.4069,0.3568,0.2686,0.4747,0.4401,0.3709,0.3015,0.2583,0.4563,0.4231,0.3566,0.2899,0.3435,0.3185,0.2684,0.2182,0.5628,0.4743,0.3856,0.4397,0.3575,0.3013
1932,Archive,6.9922,6.1406,3.8216,5.7012,12.1618,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1932,Craft,5.5104,4.1738,6.8167,4.9624,5.3488,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1932,Flow,5.8495,3.7368,7.8152,6.0380,4.7901,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1932,Hands,3.0270,2.6972,8.0508,2.9677,-0.8427,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1932,Helm,7.0861,5.8573,4.6942,6.3165,11.4075,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1932,Lore,5.7276,5.3063,4.6591,4.2398,8.4946,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1932,Shield,4.6402,4.1510,5.0664,3.7699,5.6097,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1932,Stewards,4.2444,3.8967,7.6075,5.7736,3.4204,0.5127,0.5018,0.3754,0.6182,0.5699,0.5177,0.4742,0.4083,0.3055,0.5030,0.4637,0.4212,0.3858,0.2990,0.4923,0.4539,0.4123,0.3777,0.3683,0.3395,0.3084,0.2825,0.5591,0.5079,0.4652,0.4682,0.4289,0.3896
1934,Archive,7.2313,5.6957,4.1877,6.1032,11.7910,0.5351,0.5330,0.4574,0.6051,0.5717,0.5746,0.5242,0.4612,0.3957,0.5235,0.4946,0.4972,0.4536,0.3942,0.5215,0.4927,0.4952,0.4518,0.4475,0.4228,0.4250,0.3877,0.5594,0.5622,0.5129,0.5312,0.4846,0.4871
1934,Craft,5.6588,4.6987,6.1403,5.1953,6.8148,0.5351,0.5330,0.4574,0.6051,0.5717,0.5746,0.5242,0.4612,0.3957,0.5235,0.4946,0.4972,0.4536,0.3942,0.5215,0.4927,0.4952,0.4518,0.4475,0.4228,0.4250,0.3877,0.5594,0.5622,0.5129,0.5312,0.4846,0.4871
