Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Burma,1800,Helm,5.8,6.0,4.0,4.5,10.1,17.514
Burma,1800,Shield,6.0,5.8,5.2,3.8,8.5,16.364
Burma,1800,Lore,5.8,6.0,2.8,5.5,11.8,19.289
Burma,1800,Stewards,NA,NA,NA,NA,NA,NA
Burma,1800,Craft,5.0,4.8,4.0,4.2,7.9,15.782
Burma,1800,Hands,5.6,5.4,4.4,3.6,8.4,16.024
Burma,1800,Archive,5.0,5.5,3.5,4.0,9.0,15.923
Burma,1800,Flow,4.6,5.4,3.8,3.8,8.1,14.764
Burma,1801,Helm,6.2,5.6,4.4,5.4,10.1,18.881
Burma,1801,Shield,5.2,6.4,5.2,4.2,8.5,15.502
Burma,1801,Lore,6.0,6.4,2.4,5.0,12.5,19.714
Burma,1801,Stewards,NA,NA,NA,NA,NA,NA
Burma,1801,Craft,5.0,5.3,3.3,4.3,9.2,16.505
Burma,1801,Hands,5.7,5.7,3.3,2.7,9.5,16.176
Burma,1801,Archive,4.7,5.0,3.7,4.0,8.0,15.361
Burma,1801,Flow,5.0,4.8,4.0,3.6,7.6,15.348
Burma,1802,Helm,6.4,5.8,4.2,5.8,10.9,20.717
Burma,1802,Shield,6.0,6.2,5.4,3.8,8.7,17.252
Burma,1802,Lore,6.5,6.0,3.0,5.0,12.0,21.207
Burma,1802,Stewards,NA,NA,NA,NA,NA,NA
Burma,1802,Craft,5.2,5.2,4.6,4.0,7.8,16.504
Burma,1802,Hands,6.2,6.2,4.0,3.2,10.0,18.053
Burma,1802,Archive,5.4,5.0,3.6,3.8,8.7,17.424
Burma,1802,Flow,4.8,5.2,3.8,4.6,8.5,16.838
Burma,1803,Helm,5.8,6.2,4.0,4.8,10.4,17.321
Burma,1803,Shield,6.0,6.0,5.5,4.0,8.5,15.97
Burma,1803,Lore,5.8,6.2,2.8,5.2,11.8,18.502
Burma,1803,Stewards,NA,NA,NA,NA,NA,NA
Burma,1803,Craft,5.0,5.2,4.4,4.2,7.9,15.119
Burma,1803,Hands,5.5,6.0,4.8,2.8,8.1,14.487
Burma,1803,Archive,4.8,6.0,4.0,3.4,8.5,14.28
Burma,1803,Flow,5.2,4.8,4.2,3.6,7.6,15.08
Burma,1804,Helm,6.0,6.6,4.2,4.8,10.8,18.571
Burma,1804,Shield,6.0,6.2,5.2,4.0,9.0,17.143
Burma,1804,Lore,6.8,6.0,2.5,5.2,12.9,21.744
Burma,1804,Stewards,NA,NA,NA,NA,NA,NA
Burma,1804,Craft,5.2,4.6,3.8,4.2,8.1,16.802
Burma,1804,Hands,5.8,5.6,3.6,3.0,9.3,16.967
Burma,1804,Archive,4.4,4.6,3.8,3.4,6.9,14.413
Burma,1804,Flow,5.4,5.2,4.0,3.6,8.4,16.5
Burma,1805,Helm,6.2,5.8,4.0,4.8,10.4,19.111
Burma,1805,Shield,5.6,5.8,4.8,4.8,9.0,17.424
Burma,1805,Lore,5.8,6.2,3.4,5.4,11.3,19.382
Burma,1805,Stewards,NA,NA,NA,NA,NA,NA
Burma,1805,Craft,5.2,4.8,3.8,3.0,7.7,15.591
Burma,1805,Hands,6.5,7.0,4.0,2.8,10.9,17.63
Burma,1805,Archive,4.8,4.5,4.5,4.5,7.1,15.852
Burma,1805,Flow,5.0,5.2,3.5,4.8,9.1,17.222
Burma,1806,Helm,5.6,6.2,4.4,5.2,10.0,17.511
Burma,1806,Shield,5.8,6.0,5.4,4.4,8.6,16.452
Burma,1806,Lore,6.0,6.0,2.6,5.0,11.9,19.383
Burma,1806,Stewards,NA,NA,NA,NA,NA,NA
Burma,1806,Craft,4.8,4.6,3.4,4.0,8.0,15.62
Burma,1806,Hands,6.2,5.6,4.6,3.0,8.7,16.322
Burma,1806,Archive,4.6,5.0,3.8,3.8,7.7,14.776
Burma,1806,Flow,4.8,4.8,3.6,4.2,8.1,15.683
Burma,1807,Helm,6.0,6.7,4.0,4.7,11.0,18.009
Burma,1807,Shield,5.6,5.8,4.8,4.0,8.6,16.142
Burma,1807,Lore,6.5,6.0,2.8,4.5,11.9,19.643
Burma,1807,Stewards,NA,NA,NA,NA,NA,NA
Burma,1807,Craft,5.2,4.6,4.0,3.8,7.7,15.761
Burma,1807,Hands,5.4,6.8,3.8,2.4,9.6,14.937
Burma,1807,Archive,4.6,5.2,3.8,3.6,7.8,14.537
Burma,1807,Flow,5.2,5.2,3.6,4.2,8.9,16.381
Burma,1808,Helm,6.5,6.0,3.8,5.0,11.2,19.776
Burma,1808,Shield,6.2,6.0,5.2,4.2,9.1,17.487
Burma,1808,Lore,6.2,6.0,3.2,5.2,11.6,19.882
Burma,1808,Stewards,NA,NA,NA,NA,NA,NA
Burma,1808,Craft,5.8,5.6,4.6,4.0,8.8,17.027
Burma,1808,Hands,5.4,5.6,4.4,3.4,8.3,15.853
Burma,1808,Archive,4.4,5.4,5.0,3.8,6.7,13.933
Burma,1808,Flow,5.2,4.8,4.2,4.0,7.8,16.189
Burma,1809,Helm,5.8,6.2,4.0,5.8,10.9,18.815
Burma,1809,Shield,5.8,6.5,5.5,4.2,8.9,16.471
Burma,1809,Lore,6.0,6.0,2.6,5.0,11.9,19.542
Burma,1809,Stewards,NA,NA,NA,NA,NA,NA
Burma,1809,Craft,NA,NA,NA,NA,NA,NA
Burma,1809,Hands,5.6,6.4,4.0,2.4,9.2,15.323
Burma,1809,Archive,5.0,5.0,3.5,4.2,8.6,16.389
Burma,1809,Flow,4.6,4.6,3.6,3.6,7.4,14.986
Burma,1810,Helm,6.0,6.4,3.6,5.8,11.7,20.356
Burma,1810,Shield,6.0,5.8,4.4,4.2,9.5,18.191
Burma,1810,Lore,6.5,5.8,2.8,5.0,12.0,21.177
Burma,1810,Stewards,NA,NA,NA,NA,NA,NA
Burma,1810,Craft,4.6,5.2,3.6,3.8,8.1,15.655
Burma,1810,Hands,5.4,6.6,4.4,3.4,9.3,16.242
Burma,1810,Archive,5.2,4.8,3.4,4.6,8.9,17.84
Burma,1810,Flow,5.0,5.2,4.0,4.2,8.3,16.601
Burma,1811,Helm,6.0,6.2,4.5,5.2,10.3,17.579
Burma,1811,Shield,6.0,5.0,5.5,4.0,7.5,15.863
Burma,1811,Lore,5.8,5.8,3.2,4.8,10.8,17.842
Burma,1811,Stewards,4.2,5.8,6.2,4.0,5.8,12.289
Burma,1811,Craft,5.3,5.3,3.3,4.0,9.3,16.119
Burma,1811,Hands,6.0,5.4,4.2,2.8,8.6,15.619
Burma,1811,Archive,5.0,5.0,3.8,3.8,8.1,15.032
Burma,1811,Flow,5.0,5.2,4.2,3.8,7.9,14.773
Burma,1812,Helm,6.0,6.5,4.8,5.8,10.6,18.038
Burma,1812,Shield,6.0,5.0,5.3,3.7,7.6,15.972
Burma,1812,Lore,6.0,5.8,3.4,5.2,11.0,18.595
Burma,1812,Stewards,NA,NA,NA,NA,NA,NA
