Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Argentina,1950,Helm,7.0,6.4,4.2,6.0,12.2,23.305
Argentina,1950,Shield,6.0,6.0,4.0,5.0,10.5,20.481
Argentina,1950,Lore,6.2,6.0,4.0,6.0,11.2,22.037
Argentina,1950,Stewards,5.0,5.2,4.2,5.0,8.5,18.368
Argentina,1950,Craft,5.0,5.0,4.0,5.0,8.5,18.529
Argentina,1950,Hands,6.0,5.6,4.2,5.0,9.9,20.307
Argentina,1950,Archive,5.0,5.0,4.0,5.0,8.5,18.529
Argentina,1950,Flow,5.0,5.2,4.2,5.0,8.5,18.368
Argentina,1951,Helm,7.0,6.4,4.2,6.0,12.2,23.274
Argentina,1951,Shield,6.0,6.0,4.0,5.0,10.5,20.455
Argentina,1951,Lore,6.2,6.0,4.0,6.0,11.2,22.008
Argentina,1951,Stewards,5.0,5.2,4.2,5.0,8.5,18.345
Argentina,1951,Craft,5.0,5.0,4.0,5.0,8.5,18.506
Argentina,1951,Hands,6.0,6.0,4.2,5.0,10.3,20.281
Argentina,1951,Archive,5.0,5.0,4.0,5.0,8.5,18.506
Argentina,1951,Flow,5.0,5.0,4.4,5.0,8.1,18.186
Argentina,1952,Helm,6.0,6.0,6.0,5.0,8.5,15.728
Argentina,1952,Shield,5.8,6.0,5.0,5.0,9.3,16.107
Argentina,1952,Lore,5.0,5.0,5.0,5.0,7.5,14.889
Argentina,1952,Stewards,5.0,5.0,5.0,5.0,7.5,14.889
Argentina,1952,Craft,5.0,5.0,5.0,5.0,7.5,14.889
Argentina,1952,Hands,5.0,5.0,6.0,5.0,6.5,14.264
Argentina,1952,Archive,5.0,5.0,5.0,5.0,7.5,14.889
Argentina,1952,Flow,4.0,5.0,6.0,4.0,5.0,11.725
Argentina,1953,Helm,5.8,5.0,6.2,5.0,7.1,14.463
Argentina,1953,Shield,5.2,5.8,5.0,5.0,8.5,14.358
Argentina,1953,Lore,5.0,5.0,5.0,5.0,7.5,14.067
Argentina,1953,Stewards,4.0,5.0,5.2,4.0,5.8,11.499
Argentina,1953,Craft,5.0,5.0,5.0,5.0,7.5,14.067
Argentina,1953,Hands,4.8,5.0,5.6,4.0,6.2,12.493
Argentina,1953,Archive,5.0,5.0,5.0,5.0,7.5,14.067
Argentina,1953,Flow,4.0,4.6,5.6,4.0,5.0,11.297
Argentina,1954,Helm,5.6,5.0,6.0,5.0,7.1,14.211
Argentina,1954,Shield,5.0,5.6,5.0,5.0,8.1,13.975
Argentina,1954,Lore,5.0,5.0,5.0,5.0,7.5,13.975
Argentina,1954,Stewards,4.0,4.8,5.0,4.0,5.8,11.526
Argentina,1954,Craft,5.0,5.0,5.0,5.0,7.5,13.975
Argentina,1954,Hands,4.4,5.0,5.2,4.0,6.2,12.029
Argentina,1954,Archive,5.0,5.0,5.0,5.0,7.5,13.975
Argentina,1954,Flow,4.0,4.8,5.2,4.0,5.6,11.425
Argentina,1955,Helm,3.0,3.8,8.2,3.0,0.1,4.779
Argentina,1955,Shield,3.2,4.2,7.8,3.2,1.2,5.146
Argentina,1955,Lore,3.4,4.0,7.6,3.4,1.5,5.47
Argentina,1955,Stewards,3.2,4.0,6.8,3.2,2.0,5.374
Argentina,1955,Craft,4.0,4.0,6.2,4.0,3.8,6.647
Argentina,1955,Hands,4.0,4.0,7.0,4.0,3.0,6.433
Argentina,1955,Archive,3.2,4.0,7.6,3.2,1.2,5.191
Argentina,1955,Flow,3.0,4.0,7.2,3.0,1.3,4.994
Argentina,1956,Helm,4.0,4.0,7.0,4.0,3.0,8.668
Argentina,1956,Shield,5.0,5.0,6.0,4.0,6.0,10.201
Argentina,1956,Lore,4.0,4.0,6.0,4.0,4.0,9.051
Argentina,1956,Stewards,4.0,5.0,6.0,4.0,5.0,9.051
Argentina,1956,Craft,4.4,5.0,5.0,4.0,6.4,9.934
Argentina,1956,Hands,4.0,4.0,6.0,4.0,4.0,9.051
Argentina,1956,Archive,4.0,4.0,6.0,4.0,4.0,9.051
Argentina,1956,Flow,4.0,4.0,6.0,4.0,4.0,9.051
Argentina,1957,Helm,4.6,4.8,6.0,4.8,5.8,13.076
Argentina,1957,Shield,5.0,5.0,5.4,4.0,6.6,13.221
Argentina,1957,Lore,5.0,5.0,5.0,5.0,7.5,14.453
Argentina,1957,Stewards,4.8,5.0,5.0,4.8,7.2,13.958
Argentina,1957,Craft,5.0,5.0,5.0,5.0,7.5,14.453
Argentina,1957,Hands,5.0,5.0,5.0,5.0,7.5,14.453
Argentina,1957,Archive,4.8,5.0,5.0,4.8,7.2,13.958
Argentina,1957,Flow,4.8,5.0,5.0,4.8,7.2,13.958
