Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Australia,1895,Helm,4,5,4,6,8.0,1.991523
Australia,1895,Shield,5,4,3,5,8.5,2.199112
Australia,1895,Lore,6,6,4,7,11.5,2.244737
Australia,1895,Stewards,5,4,7,6,5.0,1.666167
Australia,1895,Craft,6,6,4,6,11.0,2.181434
Australia,1895,Hands,7,5,8,5,6.5,1.658263
Australia,1895,Archive,7,7,3,7,14.5,2.533111
Australia,1895,Flow,4,5,6,6,6.0,1.704134
Australia,1896,Helm,4,5,4,6,8.0,2.044615
Australia,1896,Shield,5,4,3,5,8.5,2.261183
Australia,1896,Lore,7,6,4,7,12.5,2.400269
Australia,1896,Stewards,5,5,6,6,7.0,1.830847
Australia,1896,Craft,6,6,4,6,11.0,2.238608
Australia,1896,Hands,7,6,7,5,8.5,1.811429
Australia,1896,Archive,7,7,3,7,14.5,2.603175
Australia,1896,Flow,4,5,6,6,6.0,1.745393
Australia,1897,Helm,5,5,5,7,8.5,2.110316
Australia,1897,Shield,5,4,3,5,8.5,2.352496
Australia,1897,Lore,7,7,4,7,13.5,2.487734
Australia,1897,Stewards,6,5,5,6,9.0,2.141292
Australia,1897,Craft,6,6,4,6,11.0,2.322511
Australia,1897,Hands,7,6,6,5,9.5,2.012155
Australia,1897,Archive,7,7,3,7,14.5,2.702857
Australia,1897,Flow,4,6,5,6,8.0,1.955438
Australia,1898,Helm,5,5,6,7,7.5,1.965777
Australia,1898,Shield,5,4,3,5,8.5,2.364921
Australia,1898,Lore,8,7,4,7,14.5,2.594055
Australia,1898,Stewards,6,6,5,6,10.0,2.152408
Australia,1898,Craft,6,7,4,6,12.0,2.33316
Australia,1898,Hands,7,6,6,5,9.5,2.023186
Australia,1898,Archive,8,7,3,7,15.5,2.813636
Australia,1898,Flow,4,6,5,6,8.0,1.968751
Australia,1899,Helm,6,6,5,7,10.5,2.319481
Australia,1899,Shield,6,5,5,6,9.0,2.257662
Australia,1899,Lore,8,7,3,7,15.5,2.949206
Australia,1899,Stewards,6,6,5,6,10.0,2.257662
Australia,1899,Craft,7,7,4,7,13.5,2.615296
Australia,1899,Hands,7,6,5,5,10.5,2.288571
Australia,1899,Archive,8,7,3,7,15.5,2.949206
Australia,1899,Flow,5,6,5,6,9.0,2.164935
Australia,1900,Helm,7,6,4,8,13.0,2.906609
Australia,1900,Shield,6,5,5,6,9.0,2.445455
Australia,1900,Lore,8,8,3,8,17.0,3.286984
Australia,1900,Stewards,7,7,4,7,13.5,2.837576
Australia,1900,Craft,7,7,4,7,13.5,2.837576
Australia,1900,Hands,7,7,5,6,12.0,2.542078
Australia,1900,Archive,8,8,3,8,17.0,3.286984
Australia,1900,Flow,6,7,4,7,12.5,2.734026
Australia,1901,Helm,8,7,5,8,14.0,2.85697
Australia,1901,Shield,7,6,4,6,12.0,2.866551
Australia,1901,Lore,8,8,3,8,17.0,3.395397
Australia,1901,Stewards,7,7,4,7,13.5,2.935584
Australia,1901,Craft,7,7,4,7,13.5,2.935584
Australia,1901,Hands,8,7,5,6,13.0,2.728139
Australia,1901,Archive,9,8,3,8,18.0,3.505873
Australia,1901,Flow,8,7,4,7,14.5,3.039134
Australia,1902,Helm,7,6,6,8,11.0,2.10892
Australia,1902,Shield,6,5,4,6,10.0,2.222787
Australia,1902,Lore,8,8,4,8,16.0,2.505574
Australia,1902,Stewards,5,4,8,7,4.5,1.675863
Australia,1902,Craft,7,7,5,7,12.5,2.202804
Australia,1902,Hands,7,5,9,6,6.0,1.667138
Australia,1902,Archive,8,8,3,8,17.0,2.685505
Australia,1902,Flow,5,4,8,7,4.5,1.675863
Australia,1903,Helm,6,6,6,8,10.0,2.138869
Australia,1903,Shield,6,5,4,6,10.0,2.354268
Australia,1903,Lore,8,8,4,8,16.0,2.656521
Australia,1903,Stewards,6,5,6,7,8.5,2.084858
Australia,1903,Craft,7,7,5,7,12.5,2.325703
Australia,1903,Hands,7,6,7,6,9.0,1.973448
Australia,1903,Archive,8,8,3,8,17.0,2.861039
Australia,1903,Flow,6,5,6,7,8.5,2.084858
Australia,1904,Helm,5,5,7,8,7.0,1.964846
Australia,1904,Shield,6,5,4,6,10.0,2.418204
Australia,1904,Lore,8,8,4,8,16.0,2.729115
Australia,1904,Stewards,6,6,5,7,10.5,2.296177
Australia,1904,Craft,7,7,5,7,12.5,2.384206
Australia,1904,Hands,8,7,6,7,12.5,2.299554
Australia,1904,Archive,8,8,3,8,17.0,2.9471
Australia,1904,Flow,6,6,5,7,10.5,2.296177
Australia,1905,Helm,6,6,5,8,11.0,2.596364
Australia,1905,Shield,6,5,4,6,10.0,2.688889
Australia,1905,Lore,8,8,3,8,17.0,3.313016
Australia,1905,Stewards,7,7,4,7,13.5,2.861472
Australia,1905,Craft,7,7,4,7,13.5,2.861472
Australia,1905,Hands,8,7,5,7,13.5,2.725195
Australia,1905,Archive,8,8,3,8,17.0,3.313016
Australia,1905,Flow,7,7,4,7,13.5,2.861472
Australia,1906,Helm,7,7,4,8,14.0,3.016277
Australia,1906,Shield,6,5,4,6,10.0,2.771025
Australia,1906,Lore,8,8,3,8,17.0,3.414762
Australia,1906,Stewards,7,7,4,7,13.5,2.946205
Australia,1906,Craft,7,7,4,7,13.5,2.946205
Australia,1906,Hands,8,7,5,7,13.5,2.800519
Australia,1906,Archive,9,8,3,9,18.5,3.602063
Australia,1906,Flow,7,7,4,7,13.5,2.946205
Australia,1907,Helm,7,7,5,8,13.0,2.734079
Australia,1907,Shield,6,6,4,7,11.5,2.802655
Australia,1907,Lore,8,8,3,8,17.0,3.347114
Australia,1907,Stewards,6,7,6,8,11.0,2.440593
Australia,1907,Craft,8,8,4,8,16.0,3.071169
Australia,1907,Hands,9,8,5,8,16.0,2.922531
Australia,1907,Archive,9,8,3,9,18.5,3.525469
Australia,1907,Flow,7,7,4,7,13.5,2.903348
Australia,1908,Helm,6,7,6,8,11.0,2.420342
Australia,1908,Shield,7,6,4,7,12.5,2.875036
Australia,1908,Lore,8,8,3,8,17.0,3.310577
Australia,1908,Stewards,6,7,6,8,11.0,2.420342
Australia,1908,Craft,8,8,4,8,16.0,3.040693
Australia,1908,Hands,9,8,5,8,16.0,2.895624
Australia,1908,Archive,9,8,3,9,18.5,3.486335
Australia,1908,Flow,7,7,4,7,13.5,2.875036
Australia,1909,Helm,7,7,5,8,13.0,2.76305
Australia,1909,Shield,7,7,4,7,13.5,2.935036
Australia,1909,Lore,8,8,3,8,17.0,3.382092
Australia,1909,Stewards,7,7,5,8,13.0,2.76305
Australia,1909,Craft,8,8,4,8,16.0,3.102857
Australia,1909,Hands,8,8,6,8,14.0,2.64359
Australia,1909,Archive,9,8,3,9,18.5,3.560447
Australia,1909,Flow,8,8,4,7,15.5,3.035729
Australia,1910,Helm,8,8,4,9,16.5,3.371154
Australia,1910,Shield,7,7,4,8,14.0,3.194603
Australia,1910,Lore,8,8,3,8,17.0,3.620862
Australia,1910,Stewards,7,7,5,8,13.0,2.926003
Australia,1910,Craft,8,8,4,8,16.0,3.300534
Australia,1910,Hands,9,8,5,8,16.0,3.123059
Australia,1910,Archive,9,9,2,9,20.5,4.180385
Australia,1910,Flow,8,8,4,7,15.5,3.229913
Australia,1911,Helm,8,8,4,9,16.5,3.384141
Australia,1911,Shield,8,8,4,8,16.0,3.313521
Australia,1911,Lore,8,8,3,8,17.0,3.635465
Australia,1911,Stewards,7,8,5,8,14.0,2.937691
Australia,1911,Craft,8,8,4,8,16.0,3.313521
Australia,1911,Hands,8,8,5,8,15.0,3.036219
Australia,1911,Archive,9,9,2,9,20.5,4.197052
Australia,1911,Flow,8,8,4,8,16.0,3.313521
Australia,1912,Helm,7,8,5,9,14.5,2.925088
Australia,1912,Shield,8,8,4,8,16.0,3.220707
Australia,1912,Lore,8,8,3,8,17.0,3.5247
Australia,1912,Stewards,7,8,5,8,14.0,2.861001
Australia,1912,Craft,8,8,4,8,16.0,3.220707
Australia,1912,Hands,8,8,6,8,14.0,2.72987
Australia,1912,Archive,9,9,2,9,20.5,4.054989
Australia,1912,Flow,8,8,4,8,16.0,3.220707
Australia,1913,Helm,7,8,5,9,14.5,2.925088
Australia,1913,Shield,8,8,4,8,16.0,3.220707
Australia,1913,Lore,8,8,3,8,17.0,3.5247
Australia,1913,Stewards,7,8,5,8,14.0,2.861001
Australia,1913,Craft,8,8,4,8,16.0,3.220707
Australia,1913,Hands,8,8,6,8,14.0,2.72987
Australia,1913,Archive,9,9,2,9,20.5,4.054989
Australia,1913,Flow,8,8,4,8,16.0,3.220707
Australia,1914,Helm,8,7,8,9,11.5,2.019691
Australia,1914,Shield,9,9,6,9,16.5,2.331407
Australia,1914,Lore,9,8,5,8,16.0,2.424262
Australia,1914,Stewards,7,7,7,8,11.0,2.024118
