Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Australia,1996,Helm,7.0,7.0,3.0,6.0,14.0,29.957
Australia,1996,Shield,6.2,6.0,2.8,5.0,11.9,26.808
Australia,1996,Lore,6.0,6.2,3.0,6.0,12.2,27.378
Australia,1996,Stewards,7.0,7.0,3.0,5.0,13.5,28.63
Australia,1996,Craft,7.0,7.0,3.0,5.0,13.5,28.63
Australia,1996,Hands,6.0,6.0,3.0,4.0,11.0,24.638
Australia,1996,Archive,7.0,7.0,2.0,6.0,15.0,31.244
Australia,1996,Flow,7.0,7.0,3.0,5.0,13.5,28.63
Australia,1997,Helm,6.8,7.0,4.0,6.0,12.8,25.468
Australia,1997,Shield,6.0,6.0,3.0,5.0,11.5,23.53
Australia,1997,Lore,5.0,6.0,4.8,5.0,8.7,19.534
Australia,1997,Stewards,6.2,7.0,4.0,5.0,11.7,22.984
Australia,1997,Craft,7.0,7.0,3.0,5.0,13.5,25.787
Australia,1997,Hands,6.0,6.0,4.0,4.0,10.0,21.288
Australia,1997,Archive,7.0,7.0,3.0,6.0,14.0,26.997
Australia,1997,Flow,6.2,7.0,4.0,5.0,11.7,22.984
Australia,1998,Helm,6.0,7.0,4.2,6.0,11.8,23.381
Australia,1998,Shield,6.0,6.0,3.0,5.0,11.5,23.389
Australia,1998,Lore,5.2,6.0,4.0,5.0,9.7,20.594
Australia,1998,Stewards,6.4,7.0,4.0,5.0,11.9,23.281
Australia,1998,Craft,7.0,7.0,3.0,5.0,13.5,25.618
Australia,1998,Hands,6.0,6.0,4.0,4.0,10.0,21.149
Australia,1998,Archive,7.0,7.0,3.0,6.0,14.0,26.834
Australia,1998,Flow,6.0,7.0,4.0,5.0,11.5,22.404
Australia,1999,Helm,7.0,7.4,4.0,6.0,13.4,28.783
Australia,1999,Shield,7.8,7.2,5.0,6.0,13.0,29.436
Australia,1999,Lore,6.0,6.0,3.0,6.0,12.0,27.434
Australia,1999,Stewards,7.0,7.0,3.0,5.0,13.5,28.714
Australia,1999,Craft,7.0,7.0,3.0,5.0,13.5,28.714
Australia,1999,Hands,6.2,6.0,3.0,4.0,11.2,25.243
Australia,1999,Archive,7.0,7.0,3.0,6.0,14.0,30.032
Australia,1999,Flow,7.0,7.8,3.0,5.0,14.3,28.714
Australia,2000,Helm,8.0,8.0,3.0,7.0,16.5,38.816
Australia,2000,Shield,7.0,7.0,3.0,6.0,14.0,34.432
Australia,2000,Lore,7.2,7.0,2.4,7.0,15.3,37.536
Australia,2000,Stewards,7.0,7.6,3.0,6.0,14.6,34.432
Australia,2000,Craft,7.0,7.0,3.0,5.8,13.9,34.104
Australia,2000,Hands,7.0,7.0,2.8,5.0,13.7,33.045
Australia,2000,Archive,7.0,7.0,2.0,7.0,15.5,37.589
Australia,2000,Flow,8.0,8.0,2.6,6.0,16.4,37.863
Australia,2001,Helm,7.0,7.4,4.2,6.0,13.2,26.468
Australia,2001,Shield,7.8,8.0,5.0,6.0,13.8,27.261
Australia,2001,Lore,6.0,6.0,5.0,6.0,10.0,23.396
Australia,2001,Stewards,7.0,7.0,4.0,5.0,12.5,25.479
Australia,2001,Craft,6.0,7.0,4.0,5.0,11.5,23.214
Australia,2001,Hands,6.0,6.0,4.0,4.0,10.0,21.925
Australia,2001,Archive,7.0,7.0,3.0,6.0,14.0,27.834
Australia,2001,Flow,6.0,7.0,4.0,5.0,11.5,23.214
Australia,2002,Helm,7.0,7.0,5.2,6.0,11.8,25.959
Australia,2002,Shield,7.0,7.8,6.8,6.0,11.0,24.227
Australia,2002,Lore,6.0,6.0,5.2,6.0,9.8,23.702
Australia,2002,Stewards,7.0,7.0,3.0,5.0,13.5,27.24
Australia,2002,Craft,7.0,7.0,3.0,5.0,13.5,27.24
Australia,2002,Hands,6.0,6.0,3.4,4.0,10.6,23.061
Australia,2002,Archive,7.0,7.0,3.0,6.0,14.0,28.494
Australia,2002,Flow,7.0,7.0,3.0,5.0,13.5,27.24
Australia,2003,Helm,7.0,7.0,4.2,6.0,12.8,27.582
Australia,2003,Shield,7.0,8.0,5.0,6.0,13.0,26.656
Australia,2003,Lore,5.0,6.0,5.0,6.0,9.0,21.968
Australia,2003,Stewards,7.0,7.0,3.0,5.4,13.7,28.238
Australia,2003,Craft,7.0,7.0,3.0,5.0,13.5,27.701
Australia,2003,Hands,6.2,6.0,3.0,4.0,11.2,24.346
Australia,2003,Archive,7.0,7.0,3.0,6.0,14.0,29.018
Australia,2003,Flow,7.0,7.0,3.0,5.2,13.6,27.971
Australia,2004,Helm,8.0,8.0,3.0,6.0,16.0,35.262
Australia,2004,Shield,7.0,7.0,3.8,6.0,13.2,31.427
Australia,2004,Lore,6.4,6.8,3.2,6.0,13.0,30.56
