Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Cambodia,1850,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1850,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1850,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1850,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1850,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1850,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1850,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1850,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1851,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1851,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1851,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1851,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1851,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1851,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1851,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1851,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1852,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1852,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1852,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1852,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1852,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1852,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1852,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1852,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1853,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1853,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1853,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1853,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1853,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1853,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1853,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1853,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1854,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1854,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1854,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1854,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1854,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1854,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1854,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1854,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1855,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1855,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1855,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1855,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1855,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1855,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1855,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1855,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1856,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1856,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1856,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1856,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1856,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1856,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1856,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1856,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1857,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1857,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1857,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1857,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1857,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1857,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1857,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1857,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1858,Helm,4,3.6,5.8,4.6,4.1,9.989
Cambodia,1858,Shield,3.2,3,5.8,3,1.9,7.687
Cambodia,1858,Lore,6,5,3.4,6,10.6,14.661
Cambodia,1858,Stewards,4.8,4,4.6,3.8,6.1,10.973
Cambodia,1858,Craft,3.8,3,3.6,3,4.7,9.371
Cambodia,1858,Hands,4.4,3.8,5,2.2,4.3,8.935
Cambodia,1858,Archive,3.4,3,4.2,3.8,4.1,9.216
Cambodia,1858,Flow,3.8,3.2,4.8,3,3.7,8.893
Cambodia,1859,Helm,4,3.6,5.8,4.6,4.1,9.989
