Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Canada,1850,Helm,,,,,,
Canada,1850,Shield,,,,,,
Canada,1850,Lore,,,,,,
Canada,1850,Stewards,,,,,,
Canada,1850,Craft,,,,,,
Canada,1850,Hands,,,,,,
Canada,1850,Archive,,,,,,
Canada,1850,Flow,,,,,,
Canada,1860,Helm,,,,,,
Canada,1860,Shield,,,,,,
Canada,1860,Lore,,,,,,
Canada,1860,Stewards,,,,,,
Canada,1860,Craft,,,,,,
Canada,1860,Hands,,,,,,
Canada,1860,Archive,,,,,,
Canada,1860,Flow,,,,,,
Canada,1867,Helm,,,,,,
Canada,1867,Shield,,,,,,
Canada,1867,Lore,,,,,,
Canada,1867,Stewards,,,,,,
Canada,1867,Craft,,,,,,
Canada,1867,Hands,,,,,,
Canada,1867,Archive,,,,,,
Canada,1867,Flow,,,,,,
Canada,1870,Helm,,,,,,
Canada,1870,Shield,,,,,,
Canada,1870,Lore,,,,,,
Canada,1870,Stewards,,,,,,
Canada,1870,Craft,,,,,,
Canada,1870,Hands,,,,,,
Canada,1870,Archive,,,,,,
Canada,1870,Flow,,,,,,
Canada,1880,Helm,,,,,,
Canada,1880,Shield,,,,,,
Canada,1880,Lore,,,,,,
Canada,1880,Stewards,,,,,,
Canada,1880,Craft,,,,,,
Canada,1880,Hands,,,,,,
Canada,1880,Archive,,,,,,
Canada,1880,Flow,,,,,,
Canada,1885,Helm,,,,,,
Canada,1885,Shield,,,,,,
Canada,1885,Lore,,,,,,
Canada,1885,Stewards,,,,,,
Canada,1885,Craft,,,,,,
Canada,1885,Hands,,,,,,
Canada,1885,Archive,,,,,,
Canada,1885,Flow,,,,,,
Canada,1900,Helm,,,,,,
Canada,1900,Shield,,,,,,
Canada,1900,Lore,,,,,,
Canada,1900,Stewards,,,,,,
Canada,1900,Craft,,,,,,
Canada,1900,Hands,,,,,,
Canada,1900,Archive,,,,,,
Canada,1900,Flow,,,,,,
Canada,1910,Helm,,,,,,
Canada,1910,Shield,,,,,,
Canada,1910,Lore,,,,,,
Canada,1910,Stewards,,,,,,
Canada,1910,Craft,,,,,,
Canada,1910,Hands,,,,,,
Canada,1910,Archive,,,,,,
Canada,1910,Flow,,,,,,
Canada,1914,Helm,,,,,,
Canada,1914,Shield,,,,,,
Canada,1914,Lore,,,,,,
Canada,1914,Stewards,,,,,,
Canada,1914,Craft,,,,,,
Canada,1914,Hands,,,,,,
Canada,1914,Archive,,,,,,
Canada,1914,Flow,,,,,,
Canada,1918,Helm,,,,,,
Canada,1918,Shield,,,,,,
Canada,1918,Lore,,,,,,
Canada,1918,Stewards,,,,,,
Canada,1918,Craft,,,,,,
Canada,1918,Hands,,,,,,
Canada,1918,Archive,,,,,,
Canada,1918,Flow,,,,,,
Canada,1921,Helm,,,,,,
Canada,1921,Shield,,,,,,
Canada,1921,Lore,,,,,,
Canada,1921,Stewards,,,,,,
Canada,1921,Craft,,,,,,
Canada,1921,Hands,,,,,,
Canada,1921,Archive,,,,,,
Canada,1921,Flow,,,,,,
Canada,1929,Helm,,,,,,
Canada,1929,Shield,,,,,,
Canada,1929,Lore,,,,,,
Canada,1929,Stewards,,,,,,
Canada,1929,Craft,,,,,,
Canada,1929,Hands,,,,,,
Canada,1929,Archive,,,,,,
Canada,1929,Flow,,,,,,
Canada,1933,Helm,,,,,,
Canada,1933,Shield,,,,,,
Canada,1933,Lore,,,,,,
Canada,1933,Stewards,,,,,,
Canada,1933,Craft,,,,,,
Canada,1933,Hands,,,,,,
Canada,1933,Archive,,,,,,
Canada,1933,Flow,,,,,,
Canada,1939,Helm,,,,,,
Canada,1939,Shield,,,,,,
Canada,1939,Lore,,,,,,
Canada,1939,Stewards,,,,,,
Canada,1939,Craft,,,,,,
Canada,1939,Hands,,,,,,
Canada,1939,Archive,,,,,,
Canada,1939,Flow,,,,,,
Canada,1945,Helm,,,,,,
Canada,1945,Shield,,,,,,
Canada,1945,Lore,,,,,,
Canada,1945,Stewards,,,,,,
Canada,1945,Craft,,,,,,
Canada,1945,Hands,,,,,,
Canada,1945,Archive,,,,,,
Canada,1945,Flow,,,,,,
Canada,1950,Helm,,,,,,
Canada,1950,Shield,,,,,,
Canada,1950,Lore,,,,,,
Canada,1950,Stewards,,,,,,
Canada,1950,Craft,,,,,,
Canada,1950,Hands,,,,,,
Canada,1950,Archive,,,,,,
Canada,1950,Flow,,,,,,
Canada,1960,Helm,,,,,,
Canada,1960,Shield,,,,,,
Canada,1960,Lore,,,,,,
Canada,1960,Stewards,,,,,,
Canada,1960,Craft,,,,,,
Canada,1960,Hands,,,,,,
Canada,1960,Archive,,,,,,
Canada,1960,Flow,,,,,,
Canada,1967,Helm,,,,,,
Canada,1967,Shield,,,,,,
Canada,1967,Lore,,,,,,
Canada,1967,Stewards,,,,,,
Canada,1967,Craft,,,,,,
Canada,1967,Hands,,,,,,
Canada,1967,Archive,,,,,,
Canada,1967,Flow,,,,,,
Canada,1970,Helm,,,,,,
Canada,1970,Shield,,,,,,
Canada,1970,Lore,,,,,,
Canada,1970,Stewards,,,,,,
Canada,1970,Craft,,,,,,
Canada,1970,Hands,,,,,,
Canada,1970,Archive,,,,,,
Canada,1970,Flow,,,,,,
Canada,1975,Helm,,,,,,
Canada,1975,Shield,,,,,,
Canada,1975,Lore,,,,,,
Canada,1975,Stewards,,,,,,
Canada,1975,Craft,,,,,,
Canada,1975,Hands,,,,,,
Canada,1975,Archive,,,,,,
Canada,1975,Flow,,,,,,
Canada,1980,Helm,,,,,,
Canada,1980,Shield,,,,,,
Canada,1980,Lore,,,,,,
Canada,1980,Stewards,,,,,,
Canada,1980,Craft,,,,,,
Canada,1980,Hands,,,,,,
Canada,1980,Archive,,,,,,
Canada,1980,Flow,,,,,,
Canada,1982,Helm,,,,,,
Canada,1982,Shield,,,,,,
Canada,1982,Lore,,,,,,
Canada,1982,Stewards,,,,,,
Canada,1982,Craft,,,,,,
Canada,1982,Hands,,,,,,
Canada,1982,Archive,,,,,,
Canada,1982,Flow,,,,,,
Canada,1988,Helm,,,,,,
Canada,1988,Shield,,,,,,
Canada,1988,Lore,,,,,,
Canada,1988,Stewards,,,,,,
Canada,1988,Craft,,,,,,
Canada,1988,Hands,,,,,,
Canada,1988,Archive,,,,,,
Canada,1988,Flow,,,,,,
