Society,Year,Node,Coherence,Capacity,Stress,Abstraction,Node Value,Bond Strength
Chile,1875,Helm,6.0,5.0,3.0,5.0,10.5,21.668
Chile,1875,Shield,5.8,4.8,2.8,4.4,10.0,20.709
Chile,1875,Lore,6.2,5.0,3.0,6.0,11.2,23.209
Chile,1875,Stewards,6.8,6.0,3.2,5.2,12.2,23.33
Chile,1875,Craft,5.0,5.0,2.8,4.0,9.2,18.475
Chile,1875,Hands,4.0,4.0,4.8,3.0,4.7,13.588
Chile,1875,Archive,5.2,5.0,2.8,5.0,9.9,20.137
Chile,1875,Flow,6.0,6.2,3.0,5.2,11.8,21.901
Chile,1876,Helm,5.8,5.0,2.8,5.2,10.6,21.408
Chile,1876,Shield,5.8,5.0,3.0,4.2,9.9,20.052
Chile,1876,Lore,6.0,5.0,3.0,5.8,10.9,22.305
Chile,1876,Stewards,6.8,6.2,3.0,5.0,12.5,23.014
Chile,1876,Craft,5.2,5.0,3.0,4.0,9.2,18.537
Chile,1876,Hands,3.8,4.0,4.6,3.0,4.7,13.126
Chile,1876,Archive,5.0,4.8,2.6,5.0,9.7,19.631
Chile,1876,Flow,6.0,6.2,2.8,5.0,11.9,21.593
Chile,1877,Helm,6.0,5.0,3.0,5.0,10.5,21.513
Chile,1877,Shield,6.2,5.0,3.0,4.2,10.3,20.975
Chile,1877,Lore,6.2,5.0,3.2,6.0,11.0,22.845
Chile,1877,Stewards,6.8,6.0,3.0,5.2,12.4,23.355
Chile,1877,Craft,5.0,5.0,3.0,4.0,9.0,18.187
Chile,1877,Hands,4.0,3.8,5.0,3.2,4.4,13.618
Chile,1877,Archive,5.0,5.0,3.0,5.0,9.5,19.382
Chile,1877,Flow,5.8,6.2,3.0,5.0,11.5,21.097
Chile,1878,Helm,6.2,5.2,4.0,4.8,9.8,20.471
Chile,1878,Shield,6.0,5.2,3.6,4.2,9.7,19.74
Chile,1878,Lore,6.0,5.0,2.6,6.2,11.5,22.827
Chile,1878,Stewards,6.6,5.8,3.2,5.0,11.7,22.189
Chile,1878,Craft,5.0,4.8,3.0,4.0,8.8,17.91
Chile,1878,Hands,4.2,4.2,4.8,3.0,5.1,13.727
Chile,1878,Archive,5.2,5.0,3.0,5.0,9.7,19.501
Chile,1878,Flow,6.0,6.2,4.0,5.0,10.7,20.296
Chile,1879,Helm,7.0,5.8,5.2,5.8,10.5,21.488
Chile,1879,Shield,7.0,6.2,5.8,4.6,9.7,19.771
Chile,1879,Lore,7.0,5.2,3.2,6.0,12.0,23.528
Chile,1879,Stewards,5.8,6.0,3.8,5.2,10.6,19.877
Chile,1879,Craft,5.0,5.2,3.8,4.0,8.4,16.951
Chile,1879,Hands,5.2,4.6,6.0,2.8,5.2,14.443
Chile,1879,Archive,4.8,5.0,4.0,5.2,8.4,17.704
